final_module_id	median_difference_bacterial_minus_viral	wilcox_p_BH	analysis	neg_log10_BH_P
BACT_M1	0.206714010970064	0.0799243564652853	Main projection	1.09732085189332
BACT_M1	0.221050110547876	0.077835567767349	Primary-only z-score sensitivity	1.10882190230017
BACT_M2	0.332836499835232	0.0202162734817903	Main projection	1.69429889599767
BACT_M2	0.350376861425001	0.0164898402861331	Primary-only z-score sensitivity	1.78278355073432
VIR_M1a	-0.462947452274773	4.76890073969705e-06	Main projection	5.3215817169141
VIR_M1a	-0.444144525548538	7.56725241421415e-06	Primary-only z-score sensitivity	5.12106177940999
VIR_M1b	-0.673898854038133	1.41174910314491e-06	Main projection	5.85024247948932
VIR_M1b	-0.644463765469218	2.22013891505127e-06	Primary-only z-score sensitivity	5.65361985070578
VIR_M2	-0.25955710262892	0.00848045641681196	Main projection	2.07158077345452
VIR_M2	-0.262575019596133	0.00795854367320857	Primary-only z-score sensitivity	2.099166396151
