document	results_heading_count_before	results_heading_count_after	results_positions_after	methods_anchor_paragraph	ai_heading_paragraph	ai_declaration_paragraph	main_results_heading_paragraph	heading_style_matches_methods_anchor
clean	2	2	15,50	45	48	49	50	True
marked	2	2	15,50	45	48	49	50	True
