final_module_id	ENTREZID	SYMBOL	final_module_label	module_direction	locked_entrez_present	any_ensembl_mapping	matched_by_ensembl	matched_by_symbol	matched_ensembl_ids	all_mapped_ensembl_ids
VIR_M1a	11040	PIM2	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000102096	ENSG00000102096;ENSG00000292210
VIR_M1a	11043	MID2	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000080561	ENSG00000080561
VIR_M2	11119	BTN3A1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000026950	ENSG00000026950
VIR_M2	11120	BTN2A1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000112763	ENSG00000112763;ENSG00000292170
VIR_M1a	11126	CD160	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000117281	ENSG00000117281
VIR_M1a	11277	TREX1	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	FALSE	FALSE	""	ENSG00000213689
VIR_M1b	11277	TREX1	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TRUE	TRUE	FALSE	FALSE	""	ENSG00000213689
BACT_M2	113115	MTFR2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	TRUE	TRUE	TRUE	FALSE	ENSG00000146410	ENSG00000146410
VIR_M2	114625	ERMAP	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000164010	ENSG00000164010
VIR_M1a	117157	SH2D1B	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000198574	ENSG00000198574
VIR_M1a	117854	TRIM6	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000121236	ENSG00000121236
VIR_M1b	117854	TRIM6	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000121236	ENSG00000121236
VIR_M1a	122618	PLD4	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000166428	ENSG00000166428
VIR_M2	1230	CCR1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000163823	ENSG00000163823
VIR_M2	1232	CCR3	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000183625	ENSG00000183625
VIR_M2	1233	CCR4	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000183813	ENSG00000183813
VIR_M2	1234	CCR5	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000160791	ENSG00000160791
VIR_M2	1235	CCR6	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000112486	ENSG00000112486
VIR_M2	1236	CCR7	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000126353	ENSG00000126353
VIR_M2	1240	CMKLR1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000174600	ENSG00000174600
VIR_M2	137209	ZNF572	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000180938	ENSG00000180938
BACT_M2	137682	NDUFAF6	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	TRUE	TRUE	TRUE	FALSE	ENSG00000156170	ENSG00000156170
VIR_M2	1380	CR2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000117322	ENSG00000117322
