final_module_id	final_module_label	final_module_status	module_direction	module_direction_sign	ENTREZID	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	pooled_logFC	pooled_adj.P.Val	Sri_Lanka_logFC	United_States_logFC	stability_tier	primary_scoring_weight	optional_abs_logFC_weight	scoring_role	primary_scoring_rule	optional_sensitivity_rule
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	higher_in_bacterial	1	1979	EIF4EBP2		eukaryotic translation initiation factor 4E binding protein 2		0.430813077546224	0.0159481940389967	0.5786135207367	0.12392004783902	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.544924367715208	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	higher_in_bacterial	1	100288805	HYDIN2		HYDIN axonemal central pair apparatus protein 2 (pseudogene)		0.796874082028632	0.0188338150260526	1.16728575253985	0.362084937938863	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	1.00794550567351	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	higher_in_bacterial	1	28998	MRPL13		mitochondrial ribosomal protein L13		0.814783290342086	0.00191519371102425	1.35644956007476	0.108149339703897	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	1.03059840208063	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	higher_in_bacterial	1	29093	MRPL22		mitochondrial ribosomal protein L22		0.64924288905948	0.000856662602886584	0.987213027065084	0.228282117143766	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.821210611408083	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	higher_in_bacterial	1	64963	MRPS11		mitochondrial ribosomal protein S11		0.467217494460289	0.00881364755419309	0.664298685989782	0.236804586737689	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.590971377202308	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	higher_in_bacterial	1	51023	MRPS18C		mitochondrial ribosomal protein S18C		0.574856545739653	0.00223379431478885	0.584641671864443	0.63590301296843	Tier_1_cross_site_FDR05_direction_concordant	1	0.727121241301034	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	higher_in_bacterial	1	6138	RPL15		ribosomal protein L15		0.863639333295638	2.17650988393705e-06	1.38247014501121	0.0890416144721429	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	1.09239515269732	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	higher_in_bacterial	1	6139	RPL17		ribosomal protein L17		0.712286424459672	3.03045047696842e-05	1.07033554518422	0.205826149841478	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.90095275587164	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	higher_in_bacterial	1	9349	RPL23		ribosomal protein L23		0.827962621973926	3.7390044691387e-07	1.26006602138652	0.247957375371383	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	1.04726859927449	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	higher_in_bacterial	1	6154	RPL26		ribosomal protein L26		0.463065114178104	0.00498938144636358	0.740703351984057	0.0768328197676927	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.585719138313297	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	higher_in_bacterial	1	51121	RPL26L1		ribosomal protein L26 like 1		1.01779142892669	4.13805853014388e-08	1.25389311074601	0.707176409124017	Tier_1_cross_site_FDR05_direction_concordant	1	1.28737816881691	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
