final_module_id	final_module_label	final_module_status	module_direction	module_direction_sign	ENTREZID	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	pooled_logFC	pooled_adj.P.Val	Sri_Lanka_logFC	United_States_logFC	stability_tier	primary_scoring_weight	optional_abs_logFC_weight	scoring_role	primary_scoring_rule	optional_sensitivity_rule
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	717	C2		complement C2		-1.05756400647641	6.21069038200163e-07	-1.20009691969648	-0.899306401630332	Tier_1_cross_site_FDR05_direction_concordant	1	1.06320249329142	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	64170	CARD9		caspase recruitment domain family member 9		-0.374873111849995	0.046295780615268	-0.526931119754242	-0.229110328888959	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.376871777732649	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	6355	CCL8		C-C motif chemokine ligand 8		-5.44504154250244	7.8645773041217e-25	-6.18408691468782	-4.86812262834191	Tier_1_cross_site_FDR05_direction_concordant	1	3	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	11126	CD160		CD160 molecule		-0.873985625513376	0.00218956688112626	-0.720125531432799	-1.19437015054893	Tier_1_cross_site_FDR05_direction_concordant	1	0.87864534955446	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	912	CD1D		CD1d molecule		-0.981484248345787	1.27825508673964e-06	-1.29649666520326	-0.585877251039094	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.986717109864848	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	958	CD40		CD40 molecule		-0.363037368647218	0.0334038062076125	-0.328711717867559	-0.417095905370194	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.364972931321379	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	1021	CDK6		cyclin dependent kinase 6		-0.474248853500893	0.0180640810284527	-0.365497617189642	-0.668094347891454	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.476777349072907	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	10462	CLEC10A		C-type lectin domain containing 10A		-0.935430766035213	0.00049515949860341	-1.05525983271543	-0.802043374812847	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.940418089741714	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	58487	CREBZF		CREB/ATF bZIP transcription factor		-0.82092991614167	0.000569666084260289	-1.06219378315001	-0.589539079004416	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.825306769438363	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	1435	CSF1		colony stimulating factor 1		-0.915134100845478	0.000496226861166644	-1.367463684442	-0.335221952108809	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.920013211263364	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	10521	DDX17		DEAD-box helicase 17		-0.363512051653266	0.0261455091444421	-0.576034957977209	-0.127554680048752	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.365450145137718	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	9188	DDX21		DExD-box helicase 21		-0.529515097513435	0.0137293553459512	-0.672585123754733	-0.336375804267949	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.532338249471513	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	1654	DDX3X		DEAD-box helicase 3 X-linked		-0.708960416718184	3.58601062077933e-05	-1.00487133913141	-0.314078614668025	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.712740295701912	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	55601	DDX60		DExD/H-box helicase 60		-2.50454134216044	1.21232619432445e-15	-3.07387140056261	-1.82267156505646	Tier_1_cross_site_FDR05_direction_concordant	1	2.51789450400117	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	91351	DDX60L		DExD/H-box 60 like		-1.20508440594436	3.42175872153614e-10	-1.8072464416292	-0.426740430057744	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	1.21150940953022	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	1672	DEFB1		defensin beta 1		-3.5917500836365	4.57996772986168e-14	-4.64099727601923	-2.35139510210496	Tier_1_cross_site_FDR05_direction_concordant	1	3	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
