final_module_id	final_module_label	final_module_status	module_direction	module_direction_sign	primary_scoring_rule	optional_sensitivity_rule	n_genes	n_symbols	median_pooled_logFC	top_symbols
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	higher_in_bacterial	1	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	25	25	0.790592425426969	RPS15A;RPS3A;RPS9;RPL27;RPL26L1;RPLP0;RPS7;RPL23;RPS27;RPL15;RPL9;RPL31;RPL17;RPL34;RPS24;RPL29;MRPL22;RPS4Y1;MRPL13;MRPS18C;UBA52;RPL26;MRPS11;EIF4EBP2;HYDIN2
BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	primary_discovery_module	higher_in_bacterial	1	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	21	21	0.758511889822559	NDUFB1;NDUFA4;ATP5MF;NDUFC2;ATP5ME;NDUFAF1;NDUFB3;NDUFAF8;MDH2;NDUFA3;ATP5F1A;NDUFAF2;NDUFS4;NDUFAF7;TMEM186;MTFR2;TMEM126A;NDUFAF6;CAT;SLC25A14;NDUFV3
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	128	128	-0.994696695266815	IFI27;IFIT1;OAS2;RSAD2;AXL;OAS3;CCL8;IFIT2;IFI44L;MX1;IFIT3;OASL;TRIM14;ISG15;IFI44;HERC5;EIF2AK2;ZBP1;DHX58;OAS1;TRIM5;SAMD9;TLR7;IFIT5;DDX60;RIGI;IFIH1;MX2;NT5C3A;RTP4;DEFB1;TREX1;IRF7;TLR3;BCL2;MOV10;PMAIP1;TRIM6;STAT2;SRC;TRIM22;PLSCR1;TRIM38;DTX3L;DDX60L;ENDOD1;IFI6;ISG20;PARP9;PML
VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	primary_discovery_submodule	higher_in_viral	-1	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	33	33	-1.41816802582432	IFI27;IFIT1;OAS2;RSAD2;OAS3;MX1;OASL;ISG15;EIF2AK2;OAS1;TLR7;IFIT5;RIGI;IFIH1;TREX1;IRF7;TLR3;TRIM6;STAT2;PLSCR1;ISG20;STAT1;ZC3HAV1;AZI2;TANK;DDX3X;APOBEC3F;ZBTB20;IFITM3;TOMM70;RIPK2;FAM111A;PTPN11
VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	106	106	-0.880284395050156	IFI44L;IFI44;CMKLR1;BTN2A2;TLR7;LIF;DEFB1;TNFSF10;SMAD3;TLR3;IL7R;TRIM22;TNFSF8;BTN3A1;ELF1;CCR1;CYSLTR2;IFI6;CCR3;PANX1;JPH4;CCR9;ICOSLG;CD80;CCL28;P2RX7;IL1RN;CTSL;TCF7;SOCS1;PATZ1;CCR7;CD1D;ETS1;MARCHF1;LAX1;ZBTB39;TCF12;FCGR2B;HIC2;GATA3;CCRL2;AIRE;BTN2A3P;CCR6;GPR183;MS4A2;IL15;RGS1;KIR2DS2
