analysis_level	accepted_probe_count	count
module_gene_instance	0	10
module_gene_instance	1	165
module_gene_instance	2	82
module_gene_instance	3	37
module_gene_instance	4	15
module_gene_instance	5	2
module_gene_instance	6	1
module_gene_instance	7	1
unique_entrez_gene	1	136
unique_entrez_gene	2	71
unique_entrez_gene	3	34
unique_entrez_gene	4	11
unique_entrez_gene	5	2
unique_entrez_gene	6	1
unique_entrez_gene	7	1
