requested_entrez	final_module_id	final_module_label	module_direction	requested_symbol	mapped	mapping_rule	rescued_by_entrez	accepted_probe_count	accepted_probe_ids	selected_probe_id	selected_platform_symbol	selected_platform_entrez	selected_probe_mean_expression	selected_probe_median_expression	selected_probe_expression_variance	selected_probe_expression_sd	median_tie_count	selection_rule	selection_reference_population	representative_probe_frozen
6164	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPL34	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	ILMN_1706873;ILMN_1774823	ILMN_1706873	RPL34	6164	6.87970058014384	6.763284268	0.306364867310282	0.553502364322215	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
6133	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPL9	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	3	ILMN_1729033;ILMN_1750507;ILMN_2408415	ILMN_1750507	RPL9	6133	10.9614888771849	11.03159204	1.52608665327778	1.23534879822574	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
6175	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPLP0	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	3	ILMN_1709880;ILMN_1745075;ILMN_2402090	ILMN_1709880	RPLP0	6175	12.0474644327123	12.10260945	0.571178214958841	0.755763332637169	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
6210	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPS15A	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	3	ILMN_1787949;ILMN_2255310;ILMN_2337241	ILMN_1787949	RPS15A	6210	12.112776862	12.27097554	0.926353310579098	0.962472498609232	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
6229	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPS24	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	ILMN_1656625;ILMN_2399893	ILMN_1656625	RPS24	6229	9.56069312516438	9.403291381	1.33091797872517	1.15365418506811	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
6232	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPS27	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	3	ILMN_1660498;ILMN_1696839;ILMN_2160819	ILMN_1660498	RPS27	6232	12.9703597667123	13.16999273	0.544554485459612	0.737939350800329	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
6189	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPS3A	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	3	ILMN_1657722;ILMN_1673638;ILMN_2139943	ILMN_2139943	RPS3A	6189	10.4847239843082	10.625575865	1.62862511874222	1.2761759748335	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
6192	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPS4Y1	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_1783142	ILMN_1783142	RPS4Y1	6192	8.34442780395206	9.305845109	4.76581742440643	2.18307522188459	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
6201	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPS7	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	ILMN_1750722;ILMN_2070072	ILMN_1750722	RPS7	6201	6.32976912114384	6.2772790565	0.0739305960740217	0.271901813296678	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
6203	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPS9	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	ILMN_1749447;ILMN_2038772	ILMN_1749447	RPS9	6203	11.9569646447945	11.97457271	0.300172967571853	0.547880431820533	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
7311	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	UBA52	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	ILMN_1782977;ILMN_2368576	ILMN_1782977	UBA52	7311	13.6747407232192	13.693099075	0.0984694134070568	0.313798364251723	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
498	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	ATP5F1A	TRUE	EXACT_ENTREZ_HISTORICAL_OR_ALTERNATE_SYMBOL	TRUE	2	ILMN_1764494;ILMN_2341363	ILMN_1764494	ATP5A1	498	11.2271065141096	11.244324385	0.14593952704552	0.382020322817413	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
