requested_entrez	requested_symbol	module_memberships	candidate_probe_count	median_rule_probe_id	median_rule_probe_median	median_rule_probe_variance	median_rule_tie_count	variance_rule_probe_id	variance_rule_probe_median	variance_rule_probe_variance	variance_rule_tie_count	same_probe_selected
57007	ACKR3	VIR_M2	2	ILMN_1798360	6.3785237495	0.0774575808801816	1	ILMN_1798360	6.3785237495	0.0774575808801816	1	TRUE
59	ACTA2	VIR_M1a	1	ILMN_1671703	7.833043507	0.605151195866906	1	ILMN_1671703	7.833043507	0.605151195866906	1	TRUE
575	ADGRB1	VIR_M1a	4	ILMN_1729529	5.995753761	0.0195509202876653	1	ILMN_1729529	5.995753761	0.0195509202876653	1	TRUE
326	AIRE	VIR_M2	3	ILMN_2261519	11.991846635	0.148579323601384	1	ILMN_2261519	11.991846635	0.148579323601384	1	TRUE
9582	APOBEC3B	VIR_M1a	1	ILMN_2219466	6.1318542415	0.0795069358436498	1	ILMN_2219466	6.1318542415	0.0795069358436498	1	TRUE
200316	APOBEC3F	VIR_M1a;VIR_M1b	4	ILMN_2296950	7.2473279915	0.184768144506427	1	ILMN_2296950	7.2473279915	0.184768144506427	1	TRUE
164668	APOBEC3H	VIR_M1a	1	ILMN_1664828	6.2526991435	0.0985723301067922	1	ILMN_1664828	6.2526991435	0.0985723301067922	1	TRUE
481	ATP1B1	VIR_M1a	3	ILMN_2407824	6.2306481195	0.0209006699653696	1	ILMN_1730291	6.1146184085	0.0243265422475014	1	FALSE
498	ATP5F1A	BACT_M2	2	ILMN_1764494	11.244324385	0.14593952704552	1	ILMN_2341363	10.979470265	0.182580142204591	1	FALSE
521	ATP5ME	BACT_M2	3	ILMN_1726603	9.969166049	0.541313703785408	1	ILMN_1726603	9.969166049	0.541313703785408	1	TRUE
9551	ATP5MF	BACT_M2	2	ILMN_2310621	9.50998724	0.194166374308169	1	ILMN_2310621	9.50998724	0.194166374308169	1	TRUE
558	AXL	VIR_M1a	2	ILMN_2364521	6.0000838655	0.0695869719897528	1	ILMN_2364521	6.0000838655	0.0695869719897528	1	TRUE
64343	AZI2	VIR_M1a;VIR_M1b	1	ILMN_1733680	6.7058752865	0.12806197289559	1	ILMN_1733680	6.7058752865	0.12806197289559	1	TRUE
596	BCL2	VIR_M1a	4	ILMN_2246956	7.784811615	0.382450510814014	1	ILMN_2246956	7.784811615	0.382450510814014	1	TRUE
640	BLK	VIR_M1a	1	ILMN_1668277	8.072631763	0.454333401427731	1	ILMN_1668277	8.072631763	0.454333401427731	1	TRUE
654	BMP6	VIR_M2	1	ILMN_1747650	6.3153029055	0.0905311178253947	1	ILMN_1747650	6.3153029055	0.0905311178253947	1	TRUE
657	BMPR1A	VIR_M2	2	ILMN_1706957	6.093692378	0.00576655550592943	1	ILMN_2095577	5.9054400555	0.0179117939404158	1	FALSE
665	BNIP3L	VIR_M1a	2	ILMN_1718961	8.5249448305	1.6955601540651	1	ILMN_1718961	8.5249448305	1.6955601540651	1	TRUE
11120	BTN2A1	VIR_M2	2	ILMN_2364852	8.4438183595	0.314638455800429	1	ILMN_2364852	8.4438183595	0.314638455800429	1	TRUE
10385	BTN2A2	VIR_M2	2	ILMN_1752758	6.2512318605	0.0124405754003831	1	ILMN_2256894	6.0367452215	0.0187712584233982	1	FALSE
54718	BTN2A3P	VIR_M2	1	ILMN_1721813	5.7909341495	0.0134018492624584	1	ILMN_1721813	5.7909341495	0.0134018492624584	1	TRUE
11119	BTN3A1	VIR_M2	2	ILMN_1802708	8.1913783965	0.391862771596207	1	ILMN_1802708	8.1913783965	0.391862771596207	1	TRUE
717	C2	VIR_M1a	1	ILMN_1710740	6.1950881985	0.0718457280563097	1	ILMN_1710740	6.1950881985	0.0718457280563097	1	TRUE
64170	CARD9	VIR_M1a;VIR_M2	1	ILMN_1712532	7.5047268655	0.193423254803039	1	ILMN_1712532	7.5047268655	0.193423254803039	1	TRUE
841	CASP8	VIR_M2	5	ILMN_1673757	6.435945578	0.0817564308746507	1	ILMN_1673757	6.435945578	0.0817564308746507	1	TRUE
847	CAT	BACT_M2	2	ILMN_1651705	9.1563273015	0.468467845523244	1	ILMN_1651705	9.1563273015	0.468467845523244	1	TRUE
868	CBLB	VIR_M2	1	ILMN_1685580	8.211643281	0.411214670935026	1	ILMN_1685580	8.211643281	0.411214670935026	1	TRUE
56477	CCL28	VIR_M2	3	ILMN_1774087	6.1905413785	0.0138409680887194	1	ILMN_2228845	6.0609393195	0.0151816665324907	1	FALSE
6355	CCL8	VIR_M1a	1	ILMN_1772964	6.105062017	1.25623603789467	1	ILMN_1772964	6.105062017	1.25623603789467	1	TRUE
1230	CCR1	VIR_M2	1	ILMN_1678833	8.504277685	0.689474464086939	1	ILMN_1678833	8.504277685	0.689474464086939	1	TRUE
1232	CCR3	VIR_M2	2	ILMN_1763322	6.9431633855	0.627024079522719	1	ILMN_1763322	6.9431633855	0.627024079522719	1	TRUE
1233	CCR4	VIR_M2	1	ILMN_2086143	5.9583057685	0.0267439525914152	1	ILMN_2086143	5.9583057685	0.0267439525914152	1	TRUE
1234	CCR5	VIR_M2	2	ILMN_2145033	6.0148344385	0.0183150275371369	1	ILMN_2145033	6.0148344385	0.0183150275371369	1	TRUE
1235	CCR6	VIR_M2	3	ILMN_2387696	13.13694687	0.0756476056065983	1	ILMN_1690907	7.798099416	0.465397433344958	1	FALSE
1236	CCR7	VIR_M2	1	ILMN_1715131	10.18743138	0.832194396426812	1	ILMN_1715131	10.18743138	0.832194396426812	1	TRUE
10803	CCR9	VIR_M2	2	ILMN_2337386	6.1331452905	0.0456563383964988	1	ILMN_2337386	6.1331452905	0.0456563383964988	1	TRUE
11126	CD160	VIR_M1a	1	ILMN_1742001	6.2096576925	0.147010855841454	1	ILMN_1742001	6.2096576925	0.147010855841454	1	TRUE
8763	CD164	VIR_M2	1	ILMN_1783852	6.46360656	0.0668792218072775	1	ILMN_1783852	6.46360656	0.0668792218072775	1	TRUE
912	CD1D	VIR_M1a;VIR_M2	2	ILMN_1719433	7.9028132765	0.364997871298303	1	ILMN_1719433	7.9028132765	0.364997871298303	1	TRUE
958	CD40	VIR_M1a	2	ILMN_1779257	6.4802504895	0.103305504201061	1	ILMN_1779257	6.4802504895	0.103305504201061	1	TRUE
941	CD80	VIR_M2	1	ILMN_1716736	5.97178377	0.0198996938581603	1	ILMN_1716736	5.97178377	0.0198996938581603	1	TRUE
10225	CD96	VIR_M2	2	ILMN_2415786	8.2222081285	0.553956188200721	1	ILMN_2415786	8.2222081285	0.553956188200721	1	TRUE
1021	CDK6	VIR_M1a	1	ILMN_1802615	7.267569543	0.204295652321077	1	ILMN_1802615	7.267569543	0.204295652321077	1	TRUE
10462	CLEC10A	VIR_M1a	3	ILMN_2415303	6.1578535405	0.0497739869322472	1	ILMN_2415303	6.1578535405	0.0497739869322472	1	TRUE
1240	CMKLR1	VIR_M2	1	ILMN_1673030	6.1435028455	0.0744762824933935	1	ILMN_1673030	6.1435028455	0.0744762824933935	1	TRUE
1380	CR2	VIR_M2	3	ILMN_2369666	6.3610282685	0.05848251176341	1	ILMN_2369666	6.3610282685	0.05848251176341	1	TRUE
58487	CREBZF	VIR_M1a	1	ILMN_1784847	6.220460872	0.0222501391565595	1	ILMN_1784847	6.220460872	0.0222501391565595	1	TRUE
1435	CSF1	VIR_M1a	3	ILMN_1733402	5.922732855	0.0168231907343316	1	ILMN_2302947	5.7176756615	0.0196732996906212	1	FALSE
1514	CTSL	VIR_M2	3	ILMN_1812995	7.433952966	0.651018931928879	1	ILMN_2374036	7.416407898	0.668972469693792	1	FALSE
643	CXCR5	VIR_M2	3	ILMN_2337928	8.1087731785	0.568672854059551	1	ILMN_2337928	8.1087731785	0.568672854059551	1	TRUE
57105	CYSLTR2	VIR_M2	1	ILMN_1773204	5.9131507715	0.0203324806699342	1	ILMN_1773204	5.9131507715	0.0203324806699342	1	TRUE
10521	DDX17	VIR_M1a	3	ILMN_2371590	9.38906371	0.285532452521969	1	ILMN_1675124	8.781524467	0.620075383240098	1	FALSE
9188	DDX21	VIR_M1a	1	ILMN_1735461	8.0183419185	0.213073274739157	1	ILMN_1735461	8.0183419185	0.213073274739157	1	TRUE
1654	DDX3X	VIR_M1a;VIR_M1b	2	ILMN_1794392	9.4184411585	0.284084250410274	1	ILMN_1794392	9.4184411585	0.284084250410274	1	TRUE
55601	DDX60	VIR_M1a	1	ILMN_1795181	7.158817507	0.697310426027222	1	ILMN_1795181	7.158817507	0.697310426027222	1	TRUE
1672	DEFB1	VIR_M1a;VIR_M2	1	ILMN_1686573	6.0162290905	0.363290492320262	1	ILMN_1686573	6.0162290905	0.363290492320262	1	TRUE
79132	DHX58	VIR_M1a	1	ILMN_1678422	6.920298322	0.869109626208126	1	ILMN_1678422	6.920298322	0.869109626208126	1	TRUE
151636	DTX3L	VIR_M1a	1	ILMN_1784380	6.4026804975	0.118048075111669	1	ILMN_1784380	6.4026804975	0.118048075111669	1	TRUE
5610	EIF2AK2	VIR_M1a;VIR_M1b	1	ILMN_1706502	10.11177749	1.11314668186409	1	ILMN_1706502	10.11177749	1.11314668186409	1	TRUE
1979	EIF4EBP2	BACT_M1	1	ILMN_1728083	8.183865873	0.144931991258486	1	ILMN_1728083	8.183865873	0.144931991258486	1	TRUE
1997	ELF1	VIR_M2	1	ILMN_1664010	9.79833636	0.376432409211298	1	ILMN_1664010	9.79833636	0.376432409211298	1	TRUE
23052	ENDOD1	VIR_M1a	1	ILMN_1699022	6.576309099	0.107974774049966	1	ILMN_1699022	6.576309099	0.107974774049966	1	TRUE
5167	ENPP1	VIR_M2	1	ILMN_1700888	6.126395471	0.00922017434704047	1	ILMN_1700888	6.126395471	0.00922017434704047	1	TRUE
