final_module_id	scoring_population	rank_biserial_effect_Mean_z	rank_biserial_effect_GSVA	wilcoxon_q_Mean_z	wilcoxon_q_GSVA	fdr_significant_Mean_z	fdr_significant_GSVA	rank_biserial_ci_excludes_zero_Mean_z	rank_biserial_ci_excludes_zero_GSVA	significance_discordant	ci_support_discordant	method_interpretation
VIR_M2	main_all_projected_reference	-0.280687397708674	-0.0335515548281505	0.00848045641681196	0.739088131179405	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	Mean-z supported the expected viral-higher effect, whereas GSVA was near zero and statistically unsupported.
VIR_M2	primary_only_reference	-0.282733224222586	-0.114157119476268	0.00795854367320857	0.255066546945129	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	Mean-z supported the expected viral-higher effect, whereas GSVA was near zero and statistically unsupported.
VIR_M1b	main_all_projected_reference	-0.514320785597381	-0.496317512274959	1.41174910314491e-06	1.20519040008203e-06	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	Mean-z and GSVA retained concordant inferential support.
VIR_M1b	primary_only_reference	-0.505728314238953	-0.501636661211129	2.22013891505127e-06	9.15799699115782e-07	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	Mean-z and GSVA retained concordant inferential support.
VIR_M1a	main_all_projected_reference	-0.47708674304419	-0.638707037643208	4.76890073969705e-06	4.50883177662468e-10	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	Mean-z and GSVA retained concordant inferential support.
VIR_M1a	primary_only_reference	-0.467675941080196	-0.637888707037643	7.56725241421415e-06	7.07900967453348e-10	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	Mean-z and GSVA retained concordant inferential support.
BACT_M2	main_all_projected_reference	0.240998363338789	0.653436988543372	0.0202162734817903	3.41552756535771e-10	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	Mean-z and GSVA retained concordant inferential support.
BACT_M2	primary_only_reference	0.248363338788871	0.631751227495908	0.0164898402861331	7.07900967453348e-10	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	Mean-z and GSVA retained concordant inferential support.
BACT_M1	main_all_projected_reference	0.175531914893617	0.466448445171849	0.0799243564652853	4.01596928756726e-06	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	BACT_M1 was borderline under mean-z scoring but statistically supported under GSVA.
BACT_M1	primary_only_reference	0.176759410801964	0.465220949263502	0.077835567767349	4.26196286917565e-06	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	BACT_M1 was borderline under mean-z scoring but statistically supported under GSVA.
