figure_role	file_path	file_format	width_inches	height_inches	dpi	panel_count	file_exists	file_size_bytes	md5	svg_contains_raster_image	svg_path_elements
publication_png	results/revision_round1/GSE73461_GSE72810_supplementary_robustness/figures/Figure_S1_fixed_module_sensitivity_and_robustness.png	PNG	10	12	1200	3	TRUE	2934374	ab0e9e476d52cca85ecd9b63f58fa21a	NA	NA
editable_vector_svg	results/revision_round1/GSE73461_GSE72810_supplementary_robustness/figures/Figure_S1_fixed_module_sensitivity_and_robustness.svg	SVG	10	12	NA	3	TRUE	345203	1871cfdc544029370ea7816688300803	FALSE	613
vector_pdf	results/revision_round1/GSE73461_GSE72810_supplementary_robustness/figures/Figure_S1_fixed_module_sensitivity_and_robustness.pdf	PDF	10	12	NA	3	TRUE	36181	748e37afaf4c841289f631c15d6e4367	NA	NA
