base_sample_id	final_module_id	final_module_label	final_module_direction	module_score	matched_genes_n	locked_genes_n	coverage_fraction	sample_group	projection_role
DefiniteBacterial_01	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	2.48629745558884	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_02	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.831294631231276	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_03	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.163418271792012	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_04	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.753985016147687	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_05	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.254168514166068	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_06	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.0145317559964668	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_07	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.0494883798662934	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_08	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.256195733654733	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_09	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.274500943169108	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_10	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.611732271858489	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_11	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.0266646925935306	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_12	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.343735782138177	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_13	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.147962157556027	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_14	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.0066158780655404	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_15	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.866531076854534	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_16	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.61570501102644	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_17	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	1.33794242785179	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_18	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.667564359742199	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_19	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	3.06622827370128	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_20	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.361582075327121	24	25	0.96	DefiniteBacterial	primary_bacterial
