SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
ABHD17B	ABHD17B	51104	6180470	ILMN_1785661	101.7193
ABHD17C	ABHD17C	58489	4150519	ILMN_1788416	70.80586
ABHD18	ABHD18	80167	5810192	ILMN_1761963	154.8235
ABHD2	ABHD2	11057	6900475	ILMN_1723662	136.875
ABHD3	ABHD3	171586	5050241	ILMN_1801767	258.9629
ABHD4	ABHD4	63874	3120014	ILMN_1700633	79.08021
ABHD5	ABHD5	51099	5860215	ILMN_1655702	369.4492
ABHD6	ABHD6	57406	2690402	ILMN_1706344	105.7577
ABHD8	ABHD8	79575	4880288	ILMN_1712707	285.2142
ABI1	ABI1	10006	5130725	ILMN_2329958	492.7184
ABI2	ABI2	10152	2000100	ILMN_1724497	153.9733
ABI3	ABI3	51225	3840717	ILMN_1755658	333.1996
ABI3BP	ABI3BP	25890	6980739	ILMN_1673639	-3.477379
ABITRAM	ABITRAM	54942	3140280	ILMN_2191929	135.284
ABL1	ABL1	25	4180088	ILMN_1713732	120.1624
ABL2	ABL2	27	1990288	ILMN_1741628	8.83452
ABLIM1	ABLIM1	3983	2570112	ILMN_1785424	1578.4
ABLIM2	ABLIM2	84448	2260471	ILMN_1758825	0.3767725
ABLIM3	ABLIM3	22885	2350747	ILMN_1656940	7.043233
ABO	ABO	28	1240575	ILMN_1656979	-14.22656
ABR	ABR	29	620240	ILMN_1672878	1217.658
ABRA	ABRA	137735	3610382	ILMN_1766991	-11.27933
ABRACL	ABRACL	58527	6020681	ILMN_1720858	914.9976
ABRAXAS1	ABRAXAS1	84142	990332	ILMN_3237177	3765.033
ABRAXAS2	ABRAXAS2	23172	510471	ILMN_1762615	330.0974
ABT1	ABT1	29777	6480392	ILMN_1658083	54.91371
ABTB1	ABTB1	80325	2970044	ILMN_1802096	2334.467
ABTB2	ABTB2	25841	940148	ILMN_1753370	15.85128
ABTB3	ABTB3	121551	6510608	ILMN_1705066	278.025
ACAA1	ACAA1	30	3520753	ILMN_1738921	537.2391
ACAA2	ACAA2	10449	1450093	ILMN_1660199	278.4655
ACACA	ACACA	31	2190414	ILMN_2331636	76.64032
ACACB	ACACB	32	2230678	ILMN_1763852	45.7609
ACAD10	ACAD10	80724	6560327	ILMN_1687303	125.9487
ACAD11	ACAD11	84129	3370136	ILMN_1761058	103.757
ACAD8	ACAD8	27034	730671	ILMN_2225595	205.6839
ACAD9	ACAD9	28976	5340561	ILMN_1775579	205.6877
ACADL	ACADL	33	130193	ILMN_1660890	-1.867401
ACADM	ACADM	34	2470279	ILMN_2053679	348.0318
ACADS	ACADS	35	110441	ILMN_1795104	54.61711
ACADSB	ACADSB	36	3610136	ILMN_1740920	7.026234
ACADVL	ACADVL	37	1170647	ILMN_1806408	1396.831
ACAN	ACAN	176	4480747	ILMN_1777182	-4.880358
ACAP1	ACAP1	9744	7210682	ILMN_1808395	889.8469
ACAP2	ACAP2	23527	60746	ILMN_2088825	526.7667
ACAP3	ACAP3	116983	4850215	ILMN_1743847	-5.040148
ACAT1	ACAT1	38	2070605	ILMN_1800008	309.4937
ACAT2	ACAT2	39	7330753	ILMN_1708672	279.5448
ACBD3	ACBD3	64746	5890112	ILMN_1665945	361.2006
ACBD4	ACBD4	79777	70068	ILMN_1676288	35.88507
ACBD5	ACBD5	91452	4060435	ILMN_2410362	4.066203
