comparison	n_features	n_concordant	pct_concordant
pooled_vs_Sri_Lanka_all_features	19999	17439	87.2
pooled_vs_United_States_all_features	19999	15468	77.34
Sri_Lanka_vs_United_States_all_features	19999	12916	64.58
all_three_all_features	19999	12912	64.56
pooled_FDR05_vs_Sri_Lanka	9999	9913	99.14
pooled_FDR05_vs_United_States	9999	9310	93.11
pooled_FDR05_site_concordant_all_three	9999	9224	92.25
