site	n_samples	bacterial_samples	viral_samples	model_formula	n_columns	rank	full_rank	design_columns
Sri_Lanka	141	60	81	~ discovery_group + sequencing_batch	3	3	TRUE	(Intercept);discovery_groupbacterial;sequencing_batch2
United_States	83	41	42	~ discovery_group + sequencing_batch	3	3	TRUE	(Intercept);discovery_groupbacterial;sequencing_batch2
