feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	site	contrast	logFC_direction
NM_001288960	-4.14967904484638	4.36089732486724	-8.24693667359942	1.22654929159125e-12	1.28316085745183e-08	18.3440698729089	United_States	bacterial_vs_viral	higher_in_viral
NM_001256254	1.62372497707961	3.83666985730145	8.10803202156238	2.12798421657989e-12	1.28316085745183e-08	17.8155126467919	United_States	bacterial_vs_viral	higher_in_bacterial
NM_001256255	1.62437367526325	3.8280937868852	8.0797438102366	2.43740132857055e-12	1.28316085745183e-08	17.6859375356236	United_States	bacterial_vs_viral	higher_in_bacterial
NM_001256252	1.60961277544131	3.877986471146	8.06898989290976	2.56645003740553e-12	1.28316085745183e-08	17.6366949019468	United_States	bacterial_vs_viral	higher_in_bacterial
NM_020415	2.60561945545615	5.1396884997206	7.94894486232342	4.56189622379015e-12	1.74458049638651e-08	17.0876379682066	United_States	bacterial_vs_viral	higher_in_bacterial
NM_138693	4.06758885508711	-2.73533896671512	7.92022086961379	5.23400318931899e-12	1.74458049638651e-08	16.9564433839145	United_States	bacterial_vs_viral	higher_in_bacterial
NM_005621	2.57998561078915	10.0553038952048	7.78595544233265	9.93946982192054e-12	2.8397065281227e-08	16.3442157318868	United_States	bacterial_vs_viral	higher_in_bacterial
NM_001288958	-4.044047991394	3.96717066895889	-7.76366497900779	1.29376855067014e-11	2.84690777765825e-08	16.0973496328144	United_States	bacterial_vs_viral	higher_in_viral
NM_001193374	2.730132976192	3.54285694323036	7.72344528315483	1.33892197004785e-11	2.84690777765825e-08	16.0597926750984	United_States	bacterial_vs_viral	higher_in_bacterial
NM_000714	1.69770212539421	6.95294991556168	7.70549005470161	1.45843248524161e-11	2.84690777765825e-08	15.9781723517035	United_States	bacterial_vs_viral	higher_in_bacterial
NM_001288957	-3.97796822635342	3.8837218421319	-7.71689070390533	1.56587757159062e-11	2.84690777765825e-08	15.914230868523	United_States	bacterial_vs_viral	higher_in_viral
NM_001039570	2.15199830018387	5.444786206974	7.656894065776	1.83781056121018e-11	2.86526813314588e-08	15.757443623619	United_States	bacterial_vs_viral	higher_in_bacterial
NM_001974	1.56405816109934	4.06112982292097	7.65408554240648	1.86251741241544e-11	2.86526813314588e-08	15.7446950480482	United_States	bacterial_vs_viral	higher_in_bacterial
NM_005532	-4.08381079202037	4.79400596296291	-7.6466195318358	2.32844691018481e-11	3.32618641119901e-08	15.5376428804352	United_States	bacterial_vs_viral	higher_in_viral
NM_001171158	1.73155617204012	3.91290470764122	7.57905792447083	2.65998247097807e-11	3.5464659624727e-08	15.4044638717199	United_States	bacterial_vs_viral	higher_in_bacterial
NM_001288954	-4.00041609587743	4.20303390473278	-7.59470323245602	2.92054425583901e-11	3.65049778578278e-08	15.3208355021627	United_States	bacterial_vs_viral	higher_in_viral
NM_001256531	1.80504116413191	6.6307979751892	7.49921720365732	3.88373108296381e-11	4.23045626754071e-08	15.0431510042726	United_States	bacterial_vs_viral	higher_in_bacterial
NM_001171161	1.73245341581878	3.7530031542373	7.49792982052514	3.9074782731904e-11	4.23045626754071e-08	15.0373315940061	United_States	bacterial_vs_viral	higher_in_bacterial
NM_001171159	1.71897435548361	3.89848598390012	7.48417965804379	4.17029649280364e-11	4.23045626754071e-08	14.9751894297041	United_States	bacterial_vs_viral	higher_in_bacterial
NM_001256530	1.80283329444839	6.5995807626022	7.48114295394672	4.23066780093075e-11	4.23045626754071e-08	14.9614687018927	United_States	bacterial_vs_viral	higher_in_bacterial
NM_001288959	-4.17428204668895	4.54227602374005	-7.48234799894141	5.03354231568128e-11	4.2652973328083e-08	14.8019050034149	United_States	bacterial_vs_viral	higher_in_viral
NM_001171157	1.68538496882169	4.08521780031733	7.44160149368376	5.10079197797724e-11	4.2652973328083e-08	14.782918568507	United_States	bacterial_vs_viral	higher_in_bacterial
NM_174918	2.44428826189625	7.62312275173677	7.43888512285925	5.16671325953675e-11	4.2652973328083e-08	14.7706603241572	United_States	bacterial_vs_viral	higher_in_bacterial
NM_001130080	-4.05157977528598	4.91947921176686	-7.47640990143811	5.17488839301945e-11	4.2652973328083e-08	14.7754715275014	United_States	bacterial_vs_viral	higher_in_viral
NM_001288995	-4.16272445652732	4.55263098790654	-7.47000036496641	5.33188826042339e-11	4.2652973328083e-08	14.7469440482101	United_States	bacterial_vs_viral	higher_in_viral
NM_033130	1.66822702308721	4.29093721618931	7.41527219623159	5.776613930496e-11	4.42956103056677e-08	14.6641432662386	United_States	bacterial_vs_viral	higher_in_bacterial
NM_001322105	1.70681462376828	3.96098320553991	7.40793882959899	5.98020640158522e-11	4.42956103056677e-08	14.6310780474667	United_States	bacterial_vs_viral	higher_in_bacterial
NM_001366993	-3.93298987664924	4.11947729384706	-7.42197565284725	6.58074475159412e-11	4.60060672692056e-08	14.5455958833246	United_States	bacterial_vs_viral	higher_in_viral
