subject_id	n_samples_in_count_matrix	rna_ids
0B943B	3	DU18-02S0011603,DU18-02S0011605,DU18-02S0011623
0D76FC	3	DU18-02S0011606,DU18-02S0011617,DU18-02S0011630
0E1F8E	3	DU18-02S0011610,DU18-02S0011655,DU18-02S0011661
180E1A	3	DU18-02S0011607,DU18-02S0011658,DU18-02S0011678
1A9B20	3	DU18-02S0011635,DU18-02S0011673,DU18-02S0011674
2096A5	2	DU14-02S0000003,DU14-02S0000004
318281	3	DU18-02S0011609,DU18-02S0011616,DU18-02S0011628
35D90D	3	DU18-02S0011644,DU18-02S0011659,DU18-02S0011663
450905	7	DU18-02S0011619,DU18-02S0011620,DU18-02S0011621,DU18-02S0011622,DU18-02S0011624,DU18-02S0011625,DU18-02S0011626
45FBA5	2	DU18-02S0011618,DU18-02S0011669
693EE8	2	234376,234377
6ED61C	3	434557,434567,434570
7085CA	3	DU18-02S0011627,DU18-02S0011671,DU18-02S0011672
7190A0	3	DU14-02S0000005,DU14-02S0000006,DU14-02S0000008
82CCF5	3	DU18-02S0011608,DU18-02S0011657,DU18-02S0011680
A34BBC	2	234326,DU09-02S0000105
C90C79	3	DU18-02S0011604,DU18-02S0011632,DU18-02S0011656
CEFC9F	2	434735,434757
DFC78E	2	DU14-02S0000007,DU14-02S0000009
E2CEAC	2	234435,DU09-02S0000145
E4B8AD	3	DU18-02S0011614,DU18-02S0011615,DU18-02S0011643
E77BE3	2	DU09-02S0000114,DU09-02S0000146
FA9A61	3	DU18-02S0011638,DU18-02S0011660,DU18-02S0011665
FB8714	2	DU14-02S0000001,DU14-02S0000002
