field	n_nonempty
channel_count	291
characteristics_age	291
characteristics_gender	291
characteristics_infection_type	291
characteristics_pathogen	291
characteristics_race	150
characteristics_sequencing_batch	291
characteristics_site	291
contact_address	291
contact_city	291
contact_country	291
contact_department	291
contact_email	291
contact_institute	291
contact_name	291
contact_state	291
contact_zip/postal_code	291
data_processing	291
data_row_count	291
extract_protocol_ch1	291
geo_accession	291
instrument_model	291
last_update_date	291
library_selection	291
library_source	291
library_strategy	291
molecule_ch1	291
organism_ch1	291
platform_id	291
relation	291
series_id	291
source_name_ch1	291
status	291
submission_date	291
supplementary_file_1	291
taxid_ch1	291
title	291
type	291
