expression_sample_id	matched_geo_accessions	n_matched_geo_accessions	matched_metadata_fields	mapping_status
DU16-02S0004826	GSM6480130 | GSM6480130	1	title_contains	unique_metadata_match
DU09-03S0000009	GSM6479904 | GSM6479904	1	title_contains	unique_metadata_match
DU16-02S0004770	GSM6480085 | GSM6480085	1	title_contains	unique_metadata_match
DU10-01S0000005	GSM6479951 | GSM6479951	1	title_contains	unique_metadata_match
DU16-02S0004819	GSM6480124 | GSM6480124	1	title_contains	unique_metadata_match
DU10-01S0000011	GSM6479957 | GSM6479957	1	title_contains	unique_metadata_match
DU16-02S0004840	GSM6480141 | GSM6480141	1	title_contains	unique_metadata_match
DU16-02S0004767	GSM6480082 | GSM6480082	1	title_contains	unique_metadata_match
DU16-02S0004768	GSM6480083 | GSM6480083	1	title_contains	unique_metadata_match
DU16-02S0004793	GSM6480105 | GSM6480105	1	title_contains	unique_metadata_match
DU16-02S0004807	GSM6480117 | GSM6480117	1	title_contains	unique_metadata_match
DU09-03S0000034	GSM6479929 | GSM6479929	1	title_contains	unique_metadata_match
DU16-02S0004769	GSM6480084 | GSM6480084	1	title_contains	unique_metadata_match
DU16-02S0004864	GSM6480161 | GSM6480161	1	title_contains	unique_metadata_match
DU16-02S0004773	GSM6480088 | GSM6480088	1	title_contains	unique_metadata_match
DU16-02S0004898	GSM6480178 | GSM6480178	1	title_contains	unique_metadata_match
DU16-02S0004835	GSM6480137 | GSM6480137	1	title_contains	unique_metadata_match
DU10-01S0000010	GSM6479956 | GSM6479956	1	title_contains	unique_metadata_match
DU16-02S0004868	GSM6480163 | GSM6480163	1	title_contains	unique_metadata_match
DU16-02S0004869	GSM6480164 | GSM6480164	1	title_contains	unique_metadata_match
DU16-02S0004827	GSM6480131 | GSM6480131	1	title_contains	unique_metadata_match
DU14-03S0000019	GSM6479996 | GSM6479996	1	title_contains	unique_metadata_match
DU16-02S0004792	GSM6480104 | GSM6480104	1	title_contains	unique_metadata_match
DU14-03S0000011	GSM6479988 | GSM6479988	1	title_contains	unique_metadata_match
DU16-02S0004771	GSM6480086 | GSM6480086	1	title_contains	unique_metadata_match
DU14-03S0000015	GSM6479992 | GSM6479992	1	title_contains	unique_metadata_match
DU09-03S0000012	GSM6479907 | GSM6479907	1	title_contains	unique_metadata_match
DU09-03S0000039	GSM6479934 | GSM6479934	1	title_contains	unique_metadata_match
DU16-02S0004902	GSM6480179 | GSM6480179	1	title_contains	unique_metadata_match
DU16-02S0004828	GSM6480132 | GSM6480132	1	title_contains	unique_metadata_match
DU09-03S0000024	GSM6479919 | GSM6479919	1	title_contains	unique_metadata_match
DU16-02S0004845	GSM6480146 | GSM6480146	1	title_contains	unique_metadata_match
DU16-02S0004843	GSM6480144 | GSM6480144	1	title_contains	unique_metadata_match
DU10-01S0000022	GSM6479967 | GSM6479967	1	title_contains	unique_metadata_match
DU10-01S0000013	GSM6479959 | GSM6479959	1	title_contains	unique_metadata_match
DU10-01S0000019	GSM6479965 | GSM6479965	1	title_contains	unique_metadata_match
DU14-03S0000014	GSM6479991 | GSM6479991	1	title_contains	unique_metadata_match
DU09-03S0000014	GSM6479909 | GSM6479909	1	title_contains	unique_metadata_match
