scoring_population	final_module_id	sample_count	max_abs_score_difference	submitted_median_difference	reconstructed_median_difference	abs_median_difference_difference	submitted_wilcox_p	reconstructed_wilcox_p	abs_wilcox_p_difference	submitted_expected_direction_match	reconstructed_expected_direction_match	reconstruction_pass
main_all_projected_reference	BACT_M1	201	5.32907051820075e-15	0.206714010970064	0.206714010970064	8.32667268468867e-17	0.0799243564652853	0.0799243564652853	1.38777878078145e-17	TRUE	TRUE	TRUE
main_all_projected_reference	BACT_M2	201	4.66293670342566e-15	0.332836499835232	0.332836499835232	3.33066907387547e-16	0.0161730187854322	0.0161730187854322	3.46944695195361e-18	TRUE	TRUE	TRUE
main_all_projected_reference	VIR_M1a	201	4.88498130835069e-15	-0.462947452274773	-0.462947452274773	4.9960036108132e-16	1.90756029587882e-06	1.90756029587882e-06	1.27054942088145e-21	TRUE	TRUE	TRUE
main_all_projected_reference	VIR_M1b	201	4.88498130835069e-15	-0.673898854038133	-0.673898854038133	4.44089209850063e-16	2.82349820628983e-07	2.82349820628983e-07	5.29395592033938e-22	TRUE	TRUE	TRUE
main_all_projected_reference	VIR_M2	201	3.99680288865056e-15	-0.25955710262892	-0.25955710262892	3.88578058618805e-16	0.00508827385008718	0.00508827385008718	3.46944695195361e-18	TRUE	TRUE	TRUE
primary_only_reference	BACT_M1	146	4.88498130835069e-15	0.221050110547876	0.221050110547876	1.11022302462516e-16	0.077835567767349	0.077835567767349	1.38777878078145e-17	TRUE	TRUE	TRUE
primary_only_reference	BACT_M2	146	4.44089209850063e-15	0.350376861425001	0.350376861425001	4.9960036108132e-16	0.0131918722289065	0.0131918722289065	1.38777878078145e-17	TRUE	TRUE	TRUE
primary_only_reference	VIR_M1a	146	4.88498130835069e-15	-0.444144525548538	-0.444144525548538	1.11022302462516e-16	3.02690096568566e-06	3.02690096568566e-06	8.470329472543e-22	TRUE	TRUE	TRUE
primary_only_reference	VIR_M1b	146	3.99680288865056e-15	-0.644463765469218	-0.644463765469218	3.33066907387547e-16	4.44027783010254e-07	4.44027783010254e-07	3.70576914423756e-22	TRUE	TRUE	TRUE
primary_only_reference	VIR_M2	146	2.88657986402541e-15	-0.262575019596133	-0.262575019596133	1.66533453693773e-16	0.00477512620392515	0.00477512620392515	6.07153216591883e-18	TRUE	TRUE	TRUE
