cohort	metadata_rows	dedicated_participant_identifier_column_count	dedicated_participant_identifier_columns	participant_identifier_key_value_match_count	participant_identifier_available	participant_overlap_assessable	interpretation
GSE72810	146	0	none	0	FALSE	FALSE	No dedicated participant identifier was recovered; participant overlap cannot be directly assessed.
GSE73461	459	0	none	0	FALSE	FALSE	No dedicated participant identifier was recovered; participant overlap cannot be directly assessed.
