direction_set	candidate_groups	total_terms_in_groups	FDR05_terms_in_groups	median_unique_overlap_genes_per_group	max_unique_overlap_genes_per_group
bacterial_higher_site_aware_eligible	4	8	7	16	25
viral_higher_site_aware_eligible	31	35	23	19	214
