direction_set	candidate_group_id	representative_GO	representative_TERM	representative_FDR	representative_enrichment_ratio	n_terms	n_FDR05_terms	n_unique_overlap_genes	group_GO_terms	group_terms	group_overlap_gene_ids	top_overlap_symbols
bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation	3.38676488373384e-07	4.61460446247465	2	2	25	GO:0002181;GO:0006412	cytoplasmic translation | translation	100288805;1979;28998;29093;51023;51121;6133;6138;6139;6154;6155;6159;6160;6164;6175;6189;6192;6201;6203;6210;6229;6232;64963;7311;9349	RPS15A;RPS3A;RPS9;RPL27;RPL26L1;RPLP0;RPS7;RPL23;RPS27;RPL15;RPL9;RPL31;RPL17;RPL34;RPS24;RPL29;MRPL22;RPS4Y1;MRPL13;MRPS18C;UBA52;RPL26;MRPS11;EIF4EBP2;HYDIN2
bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly	0.00668877450834312	3.5158891142664	4	4	21	GO:0032981;GO:0042776;GO:0009060;GO:0006120	mitochondrial respiratory chain complex I assembly | proton motive force-driven mitochondrial ATP synthesis | aerobic respiration | mitochondrial electron transport, NADH to ubiquinone	113115;137682;25880;284184;4191;4696;4697;4707;4709;4718;4724;4731;498;51103;521;55471;84233;847;9016;91942;9551	NDUFB1;NDUFA4;ATP5MF;NDUFC2;ATP5ME;NDUFAF1;NDUFB3;NDUFAF8;MDH2;NDUFA3;ATP5F1A;NDUFAF2;NDUFS4;NDUFAF7;TMEM186;MTFR2;TMEM126A;NDUFAF6;CAT;SLC25A14;NDUFV3
bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_02	GO:0006749	glutathione metabolic process	0.00668877450834312	3.7600480805349	1	1	11	GO:0006749	glutathione metabolic process	10550;23657;26873;2936;2941;2948;2949;2954;3029;51022;6648	OPLAH;GSTZ1;GSR;SOD2;GLRX2;GSTM4;SLC7A11;HAGH;ARL6IP5;GSTM5;GSTA4
bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_04	GO:0006096	glycolytic process	0.0784796515590579	3.9154219681603	1	0	7	GO:0006096	glycolytic process	2027;226;2821;5208;5224;5236;8870	IER3;PGM1;ALDOA;GPI;PFKFB2;ENO3;PGAM2
viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II	5.09627531059979e-09	1.50828901988266	1	1	193	GO:0000122	negative regulation of transcription by RNA polymerase II	10009;100128927;10013;1017;10174;1021;1028;10443;10499;10773;10782;10795;10915;11080;11218;11244;11278;11279;117608;126070;127396;137209;1386;1390;140685;1407;146540;162972;163126;165;166793;166968;167465;170959;171392;1876;1958;197320;200014;2004;2005;201163;2117;221656;221937;22797;22849;22890;2296;23019;23119;23411;23512;23515;2354;23598;2444;253639;25850;26137;26152;2624;2625;30812;3096;3213;3214;322;339559;342371;3429;342908;356;359948;3665;4017;4084;4088;4092;4094;4194;4208;4591;4609;467;4773;4784;4799;49854;5079;50943;51176;51513;51523;51562;51742;5325;53335;5463;54880;55170;55183;55506;55689;56160;56950;571;57325;57343;57473;57600;57621;57684;57692;57708;57711;5813;58516;5933;59348;60468;6097;6239;6304;639;641339;64376;64750;648;654;65986;6670;6772;6872;688;7050;7067;7071;7157;7181;7182;7528;7541;7556;7567;7597;7627;7639;7678;7690;7693;7695;7699;7700;7753;7767;7799;79648;80014;80110;8204;8320;8328;83666;84295;84458;84524;84527;84614;8462;84627;84678;8473;84792;84924;8553;8725;8726;8820;8850;90594;9093;9205;9241;93;9314;9580;9603;9730;9880;9925;9935;9975	IFI27;HESX1;ZNF684;IRF7;SMAD3;PAX5;FLCN;NFX1;TFEC;KLF12;ZNF366;KLF11;BACH2;PARP9;KDM2B;GATA2;TGIF1;ZNF550;STAT1;MAFB;NRIP1;ZNF136;NSMCE3;CREM;ZNF274;CPEB3;DNAJB4;ZNF224;ZNF440;PATZ1;NR1D2;MYC;ZNF124;SMAD7;ZNF439;LEF1;ZNF337;ZNF350;MAGEE1;MEF2C
viral_higher_site_aware_eligible	Viral_higher_GO_group_02	GO:0045944	positive regulation of transcription by RNA polymerase II	7.70495635365926e-09	1.4611147208396	1	1	214	GO:0045944	positive regulation of transcription by RNA polymerase II	100131827;10153;10168;10379;10499;10514;10521;10600;10795;10915;110354863;114803;126626;1316;133522;135112;136051;1385;1386;1390;146434;152485;153222;158431;162966;163131;1654;166793;170960;1901;1958;196;1960;1997;199704;2004;2005;201163;205717;2074;2113;221656;22797;22806;22809;22847;22885;2296;23076;23081;2313;23175;23300;23361;23411;23451;23522;2353;2354;23586;253461;25850;259307;26053;2624;2625;27316;284371;284443;28514;2969;30812;3096;3164;3198;3213;3214;322;3221;326;3298;339488;3627;3655;3662;3664;3665;3728;375790;388558;3976;4088;4094;4208;4211;4603;4609;466;467;4773;4784;4824;4863;5079;5090;50943;51176;51193;51284;51427;51741;51742;5295;5311;5324;5325;5359;5393;54790;54897;55683;55734;55922;571;57343;58487;58490;58491;58508;5994;6095;6239;63977;64127;64375;643836;64919;65056;654;657;659;6596;65981;6670;6689;6772;6773;6872;688;6925;6938;7008;7023;7067;7071;7098;7157;7158;7182;7294;730051;7337;7342;7476;7528;7543;7572;7582;7690;7767;7768;7770;7799;7913;7988;80173;80237;8028;8202;8204;8320;8328;83744;84327;84441;84622;8473;8536;85441;8573;860;8658;8767;8850;8976;90;905;91664;9188;92;9241;9252;9314;940;94104;944;9575;958;9643;9663;9935;9969;9975;9988	AGRN;JUP;IL4I1;TLR7;MAML2;HELZ2;RIGI;LIF;IRF7;SMAD3;TLR3;NCOA7;PAX5;FLCN;LPIN2;BMPR2;STAT2;ZNF600;PLSCR1;DLL1;MYBL1;TNFSF8;ELF1;TFEC;CXCL10;GPBP1;TCF4;KLF6;LPIN1;TXK;GATA2;UBP1;STAT1;MAFB;ZNF33B;NRIP1;ZFP64;ZNF841;CREM;MLLT10
viral_higher_site_aware_eligible	Viral_higher_GO_group_03	GO:0006355	regulation of DNA-templated transcription	4.88267274391743e-08	1.60040909865717	1	1	130	GO:0006355	regulation of DNA-templated transcription	10346;10499;10514;10772;10782;10793;10795;10847;10927;109504726;124751;133522;1386;1389;1390;144348;147947;148203;162998;163115;163227;168374;168850;169981;170959;171392;196;199777;221037;22809;22823;2296;23509;23522;23598;23774;253461;255403;26009;27097;27245;322;326;339500;340252;342371;342909;3899;4088;4208;440515;442319;4664;474343;4773;4824;50943;51351;5151;51562;51701;5324;5371;5462;54811;54816;55209;55422;55634;55689;5588;55904;56242;56946;571;57325;57708;57786;59348;60313;6049;6095;6239;64769;65056;6670;675;6871;6932;7157;7182;728927;7549;7562;7570;7596;7617;7639;7643;7673;7700;7705;7741;7748;7766;7773;7799;79101;7978;7988;79986;80014;80063;81488;8464;8553;8850;90649;91120;91750;9252;93;9310;9392;9575;9580;9767;9935;9975;9988	SMAD3;TRIM22;ZNF702P;BRCA2;SPIN3;GPBP1;ZNF146;PML;ZNF506;MAFB;KMT2E;PDE8A;CREM;ZNF331;ATF5;ZNF274;ZNF736;TCF7;PATZ1;ZSCAN26;NR1D2;ZNF92;TAF5L;ZNF235;ZNF350;MEF2C;NCOA2;ZNF45;ZBTB38;ZZZ3;ZNF284;FOXC1;POLR2M;AHDC1;ZNF223;PRKCQ;AIRE;ZNF738;DMTF1;SPIN1
viral_higher_site_aware_eligible	Viral_higher_GO_group_04	GO:0051607	defense response to virus	1.07328337969612e-06	1.84597794415963	3	3	128	GO:0051607;GO:0009615;GO:0045087	defense response to virus | response to virus | innate immune response	10010;100507436;10146;1021;10219;10346;10379;10410;10417;10462;10475;10521;10527;10561;10771;10892;10964;11040;11043;11126;11277;117157;117854;122618;1435;146857;151636;164668;1654;1672;200316;22890;22954;23052;23087;23138;23547;23586;24138;2444;246778;2537;255231;256987;2625;2633;2635;27293;3429;3430;3433;3434;3437;353376;3665;3669;403313;4063;4210;4343;439996;4599;4600;481;4938;4939;4940;50943;51191;51251;51284;5359;5366;5371;54625;54726;54809;5551;55601;55718;558;5610;56829;575;58487;59;596;6355;639;640;64108;64127;64135;64170;64343;665;6714;6772;6773;7098;710;717;7292;79132;81030;83666;84851;85363;85364;8575;8638;8725;8767;912;91351;91543;91607;9188;9213;9246;9258;958;9582;9618;9636;9782;9830;9908	IFI27;IFIT1;OAS2;RSAD2;AXL;OAS3;CCL8;IFIT2;IFI44L;MX1;IFIT3;OASL;TRIM14;ISG15;IFI44;HERC5;EIF2AK2;ZBP1;DHX58;OAS1;TRIM5;SAMD9;TLR7;IFIT5;DDX60;RIGI;IFIH1;MX2;NT5C3A;RTP4;DEFB1;TREX1;IRF7;TLR3;BCL2;MOV10;PMAIP1;TRIM6;STAT2;SRC
viral_higher_site_aware_eligible	Viral_higher_GO_group_05	GO:0001817	regulation of cytokine production	0.000537965439937907	2.15224246671338	1	1	27	GO:0001817	regulation of cytokine production	10009;10385;10643;10773;11119;11120;114625;137209;166793;1997;22890;23119;23308;23598;26137;2625;54718;57621;57684;7597;7690;7693;841;84502;84614;8651;9880	BTN2A2;BTN3A1;ELF1;JPH4;ICOSLG;SOCS1;PATZ1;ZBTB39;HIC2;GATA3;BTN2A3P;ZBTB25;ZBTB1;ZNF131;ZBTB20;CASP8;ZBTB26;ZNF134;ZBTB6;ZBTB33;IGF2BP3;ZNF572;ZBTB49;ZBTB2;ZBTB37;ERMAP;BTN2A1
viral_higher_site_aware_eligible	Viral_higher_GO_group_06	GO:0045893	positive regulation of DNA-templated transcription	0.000868715475065189	1.39154788480387	1	1	127	GO:0045893	positive regulation of DNA-templated transcription	1017;1028;10346;10475;10600;10743;10847;10927;11040;11043;117143;1316;133746;1385;1389;149628;151636;1859;1875;1950;1958;196;1997;1998;2113;221937;22809;22954;2296;2313;23269;23300;23450;23506;23522;2353;23598;25805;26098;26122;2625;27000;27097;285704;29969;3038;30812;322;326;329;3662;3664;3665;4088;4192;4208;4591;4603;4609;4773;4824;4862;4863;50943;51176;51322;5155;5253;54700;54851;54891;54897;54934;55167;55683;55835;55904;56981;57492;57826;60313;6049;6095;6097;6239;6314;64769;6670;675;6772;6787;6871;6873;6874;6877;6925;7019;7023;7157;7158;7476;7528;7789;79612;80184;814;81550;81606;8320;83666;8464;8473;84838;84851;85363;860;8850;90;9314;941;952;9575;9643;9830;9935;9969;9975	TRIM14;TRIM5;IRF7;SMAD3;HAS3;TRIM22;MYBL1;TRIM38;DTX3L;BRCA2;MDK;ELF1;TCF4;KLF6;PARP9;ZNF496;STAT1;MAFB;MGA;CD80;KMT2E;ATF5;RGMB;ATXN7;KANSL2;CEP290;RRN3;PATZ1;NR1D2;ATMIN;MYC;TAF5L;ETS1;LEF1;MDFIC;FOS;MEF2C;ACVR1;KANSL3;FLI1
