ENTREZID	SYMBOL	GENENAME	pooled_logFC	pooled_adj.P.Val	Sri_Lanka_logFC	United_States_logFC	stability_tier	recommended_use	direction_set	candidate_group_id	representative_GO	representative_TERM
51023	MRPS18C	mitochondrial ribosomal protein S18C	0.574856545739653	0.00223379431478885	0.584641671864443	0.63590301296843	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
7311	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	0.910256124093008	0.00353385187521303	1.47392239844432	0.0235960780065729	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
6154	RPL26	ribosomal protein L26	0.463065114178104	0.00498938144636358	0.740703351984057	0.0768328197676927	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
64963	MRPS11	mitochondrial ribosomal protein S11	0.467217494460289	0.00881364755419309	0.664298685989782	0.236804586737689	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
1979	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	0.430813077546224	0.0159481940389967	0.5786135207367	0.12392004783902	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
100288805	HYDIN2	HYDIN axonemal central pair apparatus protein 2 (pseudogene)	0.796874082028632	0.0188338150260526	1.16728575253985	0.362084937938863	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation
26873	OPLAH	5-oxoprolinase, ATP-hydrolysing	1.75028658520476	7.79478030231174e-14	1.76253496629144	1.85474223568417	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_02	GO:0006749	glutathione metabolic process
2954	GSTZ1	glutathione S-transferase zeta 1	0.839272733022438	2.01023557271888e-08	1.18310501256531	0.384427971001276	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_02	GO:0006749	glutathione metabolic process
2936	GSR	glutathione-disulfide reductase	1.11361429863029	1.2121911982929e-07	0.947571067692691	1.38241107410225	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_02	GO:0006749	glutathione metabolic process
6648	SOD2	superoxide dismutase 2	0.816783922913247	4.35138377749418e-07	0.755201391954987	0.967300544348114	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_02	GO:0006749	glutathione metabolic process
51022	GLRX2	glutaredoxin 2	0.784592498511114	0.00016831205865469	0.810827184017537	0.722799268686493	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_02	GO:0006749	glutathione metabolic process
2948	GSTM4	glutathione S-transferase mu 4	0.726798807677712	0.00255272659791585	0.853977829336985	0.573481313503696	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_02	GO:0006749	glutathione metabolic process
23657	SLC7A11	solute carrier family 7 member 11	0.451197555022439	0.00897092244629019	0.605826335023823	0.282244322020465	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_02	GO:0006749	glutathione metabolic process
3029	HAGH	hydroxyacylglutathione hydrolase	0.445688961538199	0.0118073964680682	0.641315888789064	0.218715396989413	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_02	GO:0006749	glutathione metabolic process
10550	ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5	0.41427126058783	0.0208550180712332	0.203422860583518	0.729309029574967	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_02	GO:0006749	glutathione metabolic process
2949	GSTM5	glutathione S-transferase mu 5	0.7720812326094	0.028155702551936	0.680688714174043	1.00083675777333	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_02	GO:0006749	glutathione metabolic process
2941	GSTA4	glutathione S-transferase alpha 4	0.702897432467717	0.0381306765044044	1.0283904331643	0.428754732411694	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_02	GO:0006749	glutathione metabolic process
4707	NDUFB1	NADH:ubiquinone oxidoreductase subunit B1	1.13040482082355	1.42028645004313e-13	1.33302678510374	0.907185513689181	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
4697	NDUFA4	NDUFA4 mitochondrial complex associated	1.43990870418483	6.83851168380457e-10	1.80560661979092	0.976466432194883	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
9551	ATP5MF	ATP synthase membrane subunit f	0.902637706698252	3.36721317372946e-09	0.898902675239108	0.948244177526573	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
4718	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2	1.01958619210785	1.61824000924309e-07	1.06331966099925	1.02362076498133	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
521	ATP5ME	ATP synthase membrane subunit e	0.854381487138956	1.94247709485523e-07	1.11944082086528	0.536979774943048	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
51103	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1	0.787345494836507	1.41133962424495e-06	0.623040737784162	1.05771697821451	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
4709	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3	0.741485853942643	3.04199410838174e-06	0.737152234652674	0.778148344490649	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
284184	NDUFAF8	NADH:ubiquinone oxidoreductase complex assembly factor 8	0.877025274263644	1.35087745689756e-05	1.51808180451778	0.0428620743118842	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
4191	MDH2	malate dehydrogenase 2	0.889557533443158	4.2259004662702e-05	1.34372990347824	0.220607022777692	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
4696	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3	0.547547173818523	0.000766103014087434	0.666404302924705	0.366683242193272	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
498	ATP5F1A	ATP synthase F1 subunit alpha	0.758511889822559	0.000849765529150216	1.10125686173979	0.210439375149438	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
91942	NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	0.93421758325215	0.000950076710939535	1.41038787615625	0.248037153525855	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
