direction_set	candidate_group_id	GO	TERM	overlap_genes	p_value	p_adj_BH	enrichment_ratio	FDR05	overlap_gene_ids	overlap_symbols
bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation	18	2.86770946971536e-10	3.38676488373384e-07	4.61460446247465	TRUE	51121;6133;6138;6139;6154;6155;6159;6160;6164;6175;6189;6201;6203;6210;6229;6232;7311;9349	RPL26L1;RPL9;RPL15;RPL17;RPL26;RPL27;RPL29;RPL31;RPL34;RPLP0;RPS3A;RPS7;RPS9;RPS15A;RPS24;RPS27;UBA52;RPL23
bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0006412	translation	23	1.15079274699679e-05	0.00668877450834312	2.48271117279338	TRUE	100288805;1979;28998;29093;51023;6133;6138;6139;6154;6155;6159;6160;6164;6175;6189;6192;6201;6203;6210;6229;6232;64963;9349	HYDIN2;EIF4EBP2;MRPL13;MRPL22;MRPS18C;RPL9;RPL15;RPL17;RPL26;RPL27;RPL29;RPL31;RPL34;RPLP0;RPS3A;RPS4Y1;RPS7;RPS9;RPS15A;RPS24;RPS27;MRPS11;RPL23
bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_02	GO:0006749	glutathione metabolic process	11	2.10916965964174e-05	0.00668877450834312	3.7600480805349	TRUE	10550;23657;26873;2936;2941;2948;2949;2954;3029;51022;6648	ARL6IP5;SLC7A11;OPLAH;GSR;GSTA4;GSTM4;GSTM5;GSTZ1;HAGH;GLRX2;SOD2
bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly	12	2.26546130680546e-05	0.00668877450834312	3.5158891142664	TRUE	137682;25880;284184;4696;4707;4709;4718;4724;51103;55471;84233;91942	NDUFAF6;TMEM186;NDUFAF8;NDUFA3;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFAF1;NDUFAF7;TMEM126A;NDUFAF2
bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	9	2.96003740808074e-05	0.0069916083578867	4.25963488843813	TRUE	4696;4707;4709;4718;4724;4731;498;521;9551	NDUFA3;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFV3;ATP5F1A;ATP5ME;ATP5MF
bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0009060	aerobic respiration	10	3.88332249322631e-05	0.00764367310750045	3.84550371872887	TRUE	113115;4191;4696;4707;4709;4718;4724;4731;847;9016	MTFR2;MDH2;NDUFA3;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFV3;CAT;SLC25A14
bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	8	0.000127727861894537	0.0215495149853497	4.1018706333108	TRUE	4696;4697;4707;4709;4718;4724;4731;51103	NDUFA3;NDUFA4;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFV3;NDUFAF1
bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_04	GO:0006096	glycolytic process	7	0.000531614913185829	0.0784796515590579	3.9154219681603	FALSE	2027;226;2821;5208;5224;5236;8870	ENO3;ALDOA;GPI;PFKFB2;PGAM2;PGM1;IER3
viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II	193	4.31522041541049e-12	5.09627531059979e-09	1.50828901988266	TRUE	10009;100128927;10013;1017;10174;1021;1028;10443;10499;10773;10782;10795;10915;11080;11218;11244;11278;11279;117608;126070;127396;137209;1386;1390;140685;1407;146540;162972;163126;165;166793;166968;167465;170959;171392;1876;1958;197320;200014;2004;2005;201163;2117;221656;221937;22797;22849;22890;2296;23019;23119;23411;23512;23515;2354;23598;2444;253639;25850;26137;26152;2624;2625;30812;3096;3213;3214;322;339559;342371;3429;342908;356;359948;3665;4017;4084;4088;4092;4094;4194;4208;4591;4609;467;4773;4784;4799;49854;5079;50943;51176;51513;51523;51562;51742;5325;53335;5463;54880;55170;55183;55506;55689;56160;56950;571;57325;57343;57473;57600;57621;57684;57692;57708;57711;5813;58516;5933;59348;60468;6097;6239;6304;639;641339;64376;64750;648;654;65986;6670;6772;6872;688;7050;7067;7071;7157;7181;7182;7528;7541;7556;7567;7597;7627;7639;7678;7690;7693;7695;7699;7700;7753;7767;7799;79648;80014;80110;8204;8320;8328;83666;84295;84458;84524;84527;84614;8462;84627;84678;8473;84792;84924;8553;8725;8726;8820;8850;90594;9093;9205;9241;93;9314;9580;9603;9730;9880;9925;9935;9975	ZBTB33;ZBTB42;HDAC6;CDK2;SORBS3;CDK6;CDKN1C;N4BP2L2;NCOA2;ZBTB6;ZNF274;ZNF268;TCERG1;DNAJB4;DDX20;ZHX1;KLF12;KLF8;ZNF354B;ZNF440;ZNF684;ZNF572;ATF2;CREM;ZBTB46;CRY1;ZNF785;ZNF550;EID2;AEBP1;ZBTB49;MIER3;ZNF366;ZNF431;ZNF675;E2F6;EGR1;ZNF778;CC2D1B;ELK3;ELK4;FLCN;ETV3;KDM1B;FOXK1;TFEC;CPEB3;ZBTB1;FOXC1;CNOT1;HIC2;SIRT1;SUZ12;MORC3;FOSB;PATZ1;FRK;ZNF620;ZNF345;ZBTB20;ZNF337;GATA2;GATA3;SOX8;HIVEP1;HOXB3;HOXB4;APBB1;ZFP69;ATXN1L;IFI27;ZNF404;FASLG;IRF2BP2;IRF7;LOXL2;MXD1;SMAD3;SMAD7;MAF;MDM4;MEF2C;TRIM37;MYC;ATF3;NFATC2;NFIX;NFX1;ZBTB21;PAX5;FOXP3;LEF1;ETV7;CXXC5;MBIP;ARID4B;PLAGL1;BCL11A;POU6F1;BCOR;PRMT6;RIF1;MACROH2A2;YEATS2;NSMCE3;SMYD2;BACH1;KAT14;ZNF304;ZNF512B;FNIP2;ZBTB2;ZBTB26;MAGEE1;MIER1;ZNF529;PURA;SINHCAF;RBL1;ZNF350;BACH2;RORC;RREB1;SATB1;PRDM1;ZNF674;IKZF5;SMURF2;BMI1;BMP6;ZBTB10;SP3;STAT1;TAF1;KLF5;TGIF1;THRA;KLF10;TP53;NR2C1;NR2C2;YY1;ZBTB14;ZNF10;ZNF19;ZBTB25;ZNF75A;ZNF85;ZNF124;ZNF131;ZNF134;ZNF136;ZNF140;ZNF141;ZNF202;ZNF224;PRDM2;MCPH1;WWC2;ZNF614;NRIP1;EOMES;GFI1B;PARP9;PHF6;LCOR;ZC3H8;ZNF559;ZBTB37;KLF11;ZNF469;KDM2B;OGT;FAM220A;ZNF566;BHLHE40;URI1;EED;HESX1;KAT2B;ZNF439;DNAJA3;ZMYM5;NOG;ACVR2B;KLF4;SOX13;NFE2L3;DCAF1;ZBTB39;ZBTB5;MAFB;NR1D2
viral_higher_site_aware_eligible	Viral_higher_GO_group_02	GO:0045944	positive regulation of transcription by RNA polymerase II	214	1.30481902686863e-11	7.70495635365926e-09	1.4611147208396	TRUE	100131827;10153;10168;10379;10499;10514;10521;10600;10795;10915;110354863;114803;126626;1316;133522;135112;136051;1385;1386;1390;146434;152485;153222;158431;162966;163131;1654;166793;170960;1901;1958;196;1960;1997;199704;2004;2005;201163;205717;2074;2113;221656;22797;22806;22809;22847;22885;2296;23076;23081;2313;23175;23300;23361;23411;23451;23522;2353;2354;23586;253461;25850;259307;26053;2624;2625;27316;284371;284443;28514;2969;30812;3096;3164;3198;3213;3214;322;3221;326;3298;339488;3627;3655;3662;3664;3665;3728;375790;388558;3976;4088;4094;4208;4211;4603;4609;466;467;4773;4784;4824;4863;5079;5090;50943;51176;51193;51284;51427;51741;51742;5295;5311;5324;5325;5359;5393;54790;54897;55683;55734;55922;571;57343;58487;58490;58491;58508;5994;6095;6239;63977;64127;64375;643836;64919;65056;654;657;659;6596;65981;6670;6689;6772;6773;6872;688;6925;6938;7008;7023;7067;7071;7098;7157;7158;7182;7294;730051;7337;7342;7476;7528;7543;7572;7582;7690;7767;7768;7770;7799;7913;7988;80173;80237;8028;8202;8204;8320;8328;83744;84327;84441;84622;8473;8536;85441;8573;860;8658;8767;8850;8976;90;905;91664;9188;92;9241;9252;9314;940;94104;944;9575;958;9643;9663;9935;9969;9975;9988	ZNF717;CEBPZ;ZNF197;IRF9;NCOA2;MYBBP1A;DDX17;USP16;ZNF268;TCERG1;ZNF660-ZNF197;MYSM1;GABPB2;KLF6;PPARGC1B;NCOA7;ZNF786;CREB1;ATF2;CREM;ZNF597;ZNF827;CREBRF;ZNF782;ZNF600;ZNF780B;DDX3X;ZBTB49;ZNF721;S1PR1;EGR1;AHR;EGR3;ELF1;ZNF585A;ELK3;ELK4;FLCN;USF3;ERCC6;ETS1;KDM1B;TFEC;IKZF3;ATF5;ZNF507;ABLIM3;FOXC1;RRP1B;KDM4C;FLI1;LPIN1;ATMIN;ZNF629;SIRT1;SF3B1;KAT6B;FOS;FOSB;RIGI;ZBTB38;ZNF345;IL4I1;AUTS2;GATA2;GATA3;RBMX;ZNF841;ZNF493;DLL1;GTF2I;SOX8;HIVEP1;NR4A1;HOXA1;HOXB3;HOXB4;APBB1;HOXC4;AIRE;HSF2;TFAP2E;CXCL10;ITGA6;IRF4;IRF6;IRF7;JUP;AGRN;ZNF808;LIF;SMAD3;MAF;MEF2C;MEIS1;MYBL1;MYC;ATF1;ATF3;NFATC2;NFIX;NKX3-1;NPAT;PAX5;PBX3;FOXP3;LEF1;ZNF639;TLR7;ZNF107;WWOX;ARID4B;PIK3R1;PKD2;PLAG1;PLAGL1;PLSCR1;EXOSC9;TET2;CASZ1;KANSL3;ZFP64;NKRF;BACH1;ZNF304;CREBZF;RPRD1B;ZNF71;KMT2C;RFXAP;RORA;RREB1;PRDM15;NOD2;IKZF4;ZFP62;BCL11B;GPBP1;BMP6;BMPR1A;BMPR2;HLTF;CAPRIN2;SP3;SPIB;STAT1;STAT2;TAF1;KLF5;TCF4;TCF12;TEF;TFAP4;THRA;KLF10;TLR3;TP53;TP53BP1;NR2C2;TXK;ZNF814;UBE3A;UBP1;WNT7A;YY1;ZFX;ZNF24;ZNF33B;ZNF131;ZNF224;ZNF225;ZNF227;PRDM2;DEK;ZNF212;IFT74;ELL3;MLLT10;NCOA3;NRIP1;EOMES;GFI1B;ZNF484;ZBED3;MAML2;ZNF594;OGT;CAMK1;HELZ2;CASK;RUNX2;TNKS;RIPK2;KAT2B;WASL;ACVR1;CCNT2;ZNF845;DDX21;ACVR2A;NOG;RPS6KA5;KLF4;CD28;PAXBP1;TNFSF8;CLOCK;CD40;MORF4L2;LPIN2;MAFB;MED13;NR1D2;DMTF1
