GO	TERM	query_genes	universe_genes	term_genes_in_universe	overlap_genes	p_value	overlap_gene_ids	p_adj_BH	gene_ratio	background_ratio	enrichment_ratio	direction_set	overlap_symbols
GO:0051123	RNA polymerase II preinitiation complex assembly	1479	9100	23	1	0.983174205030404	51003	1	0.000676132521974307	0.00252747252747253	0.267513302172443	bacterial_higher_site_aware_eligible	MED31
GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	1479	9100	23	1	0.983174205030404	57165	1	0.000676132521974307	0.00252747252747253	0.267513302172443	bacterial_higher_site_aware_eligible	GJC2
GO:0010628	positive regulation of gene expression	1479	9100	182	20	0.983452029970335	1053;1265;128239;1432;284;2852;2934;3249;338773;3687;389125;4037;5468;54997;5530;57165;6201;6556;79924;9349	1	0.0135226504394861	0.02	0.676132521974307	bacterial_higher_site_aware_eligible	CEBPE;CNN2;IQGAP3;MAPK14;ANGPT1;GPER1;GSN;HPN;TMEM119;ITGAX;MUSTN1;LRP3;PPARG;TESC;PPP3CA;GJC2;RPS7;SLC11A1;ADM2;RPL23
GO:0043547	positive regulation of GTPase activity	1479	9100	72	6	0.983655208370906	23329;266747;51195;51256;5909;8502	1	0.00405679513184584	0.00791208791208791	0.51273382916385	bacterial_higher_site_aware_eligible	TBC1D30;RGL4;RAPGEFL1;TBC1D7;RAP1GAP;PKP4
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	1479	9100	90	8	0.985479999714092	137886;23327;5682;5718;7326;7428;79718;84937	1	0.00540906017579446	0.00989010989010989	0.54691608444144	bacterial_higher_site_aware_eligible	UBXN2B;NEDD4L;PSMA1;PSMD12;UBE2G1;VHL;TBL1XR1;ZNRF1
GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	1479	9100	24	1	0.985915788236312	554251	1	0.000676132521974307	0.00263736263736264	0.256366914581925	bacterial_higher_site_aware_eligible	FBXO48
GO:0032722	positive regulation of chemokine production	1479	9100	24	1	0.985915788236312	3566	1	0.000676132521974307	0.00263736263736264	0.256366914581925	bacterial_higher_site_aware_eligible	IL4R
GO:0042149	cellular response to glucose starvation	1479	9100	24	1	0.985915788236312	7378	1	0.000676132521974307	0.00263736263736264	0.256366914581925	bacterial_higher_site_aware_eligible	UPP1
GO:0045747	positive regulation of Notch signaling pathway	1479	9100	24	1	0.985915788236312	81619	1	0.000676132521974307	0.00263736263736264	0.256366914581925	bacterial_higher_site_aware_eligible	TSPAN14
GO:0050680	negative regulation of epithelial cell proliferation	1479	9100	24	1	0.985915788236312	3249	1	0.000676132521974307	0.00263736263736264	0.256366914581925	bacterial_higher_site_aware_eligible	HPN
GO:0006366	transcription by RNA polymerase II	1479	9100	99	9	0.986539002713618	1432;1990;246721;51621;548644;604;6910;79724;8861	1	0.00608519269776876	0.0108791208791209	0.559345995451472	bacterial_higher_site_aware_eligible	MAPK14;CELA1;POLR2J2;KLF13;POLR2J3;BCL6;TBX5;ZNF768;LDB1
GO:0071347	cellular response to interleukin-1	1479	9100	36	2	0.986658834016976	820;8372	1	0.00135226504394861	0.00395604395604396	0.3418225527759	bacterial_higher_site_aware_eligible	CAMP;HYAL3
GO:0007165	signal transduction	1479	9100	430	54	0.987891351674209	10135;10562;1089;109;11333;1145;1382;139716;1432;146225;214;2201;2209;2258;23601;2567;26578;2790;2821;284415;3094;3480;3489;3566;3586;3613;3622;4043;4046;4059;4283;4651;51719;53944;5443;5468;56729;56882;57053;57522;5909;5957;632;660;7038;718;7531;83478;84867;84986;8660;8993;9536;9770	1	0.0365111561866126	0.0472527472527473	0.772677956507383	bacterial_higher_site_aware_eligible	NAMPT;OLFM4;CEACAM4;ADCY3;PDAP1;CHRNE;CRABP2;GAB3;MAPK14;CMTM2;ALCAM;FBN2;FCGR1A;FGF13;CLEC5A;GABRG3;OSTF1;GNG10;GPI;VSTM1;HINT1;IGF1R;IGFBP6;IL4R;IL10;IMPA2;ING2;LRPAP1;LSP1;BCAM;CXCL9;MYO10;CAB39;CSNK1G1;POMC;PPARG;RETN;CDC42SE1;CHRNA10;SRGAP1;RAP1GAP;RCVRN;BGLAP;BMX;TG;C3;YWHAE;ARHGAP24;PTPN5;ARHGAP19;IRS2;PGLYRP1;PTGES;RASSF2
GO:0018107	peptidyl-threonine phosphorylation	1479	9100	25	1	0.988210912652189	8798	1	0.000676132521974307	0.00274725274725275	0.246112237998648	bacterial_higher_site_aware_eligible	DYRK4
GO:0030216	keratinocyte differentiation	1479	9100	25	1	0.988210912652189	5530	1	0.000676132521974307	0.00274725274725275	0.246112237998648	bacterial_higher_site_aware_eligible	PPP3CA
GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	1479	9100	25	1	0.988210912652189	2322	1	0.000676132521974307	0.00274725274725275	0.246112237998648	bacterial_higher_site_aware_eligible	FLT3
GO:0000723	telomere maintenance	1479	9100	26	1	0.99013224159846	641	1	0.000676132521974307	0.00285714285714286	0.236646382691007	bacterial_higher_site_aware_eligible	BLM
GO:0045444	fat cell differentiation	1479	9100	39	2	0.991609255980135	56729;582	1	0.00135226504394861	0.00428571428571429	0.315528510254677	bacterial_higher_site_aware_eligible	RETN;BBS1
