primary_module_key	module_direction	provisional_module_id	provisional_module_label	evidence_grade	review_decision_tier	final_claim_status	gene_rows	unique_entrez	unique_symbols	median_pooled_logFC	min_pooled_logFC	max_pooled_logFC	median_Sri_Lanka_logFC	median_United_States_logFC	all_three_concordant_genes	tier1_genes	tier2_genes	tier3_genes	pct_all_three_concordant	pct_tier1	pct_tier1_to_3	top_30_symbols	top_30_entrez	n_GO_terms	n_FDR05_GO_terms	GO_terms	best_GO_FDR	inspection_flag	final_module_id	final_module_label	final_module_status	final_label_rationale	antiviral_submodule_relationship
higher_in_bacterial | Bacterial_higher_translation_ribosomal_programme | Cytoplasmic translation / ribosomal protein programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_translation_ribosomal_programme	Cytoplasmic translation / ribosomal protein programme	A_strong_GO_support	primary_candidate_module	eligible_for_primary_manual_biological_review_not_final_claim	25	25	25	0.790592425426969	0.430813077546224	3.09978077536379	1.1905994104294	0.233746652189371	25	3	22	0	100	12	100	RPS15A;RPS3A;RPS9;RPL27;RPL26L1;RPLP0;RPS7;RPL23;RPS27;RPL15;RPL9;RPL31;RPL17;RPL34;RPS24;RPL29;MRPL22;RPS4Y1;MRPL13;MRPS18C;UBA52;RPL26;MRPS11;EIF4EBP2;HYDIN2	6210;6189;6203;6155;51121;6175;6201;9349;6232;6138;6133;6160;6139;6164;6229;6159;29093;6192;28998;51023;7311;6154;64963;1979;100288805	2	2	GO:0002181:cytoplasmic translation | GO:0006412:translation	3.38676488373384e-07	passes_initial_gene_level_inspection	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	Retained as a compact bacterial-higher discovery module supported by cytoplasmic translation/ribosomal GO terms and ribosomal overlap genes.	
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	primary_candidate_module	eligible_for_primary_manual_biological_review_not_final_claim	21	21	21	0.758511889822559	-0.724220963534201	1.43990870418483	0.898902675239108	0.515053945104625	21	7	13	1	100	33.33	100	NDUFB1;NDUFA4;ATP5MF;NDUFC2;ATP5ME;NDUFAF1;NDUFB3;NDUFAF8;MDH2;NDUFA3;ATP5F1A;NDUFAF2;NDUFS4;NDUFAF7;TMEM186;MTFR2;TMEM126A;NDUFAF6;CAT;SLC25A14;NDUFV3	4707;4697;9551;4718;521;51103;4709;284184;4191;4696;498;91942;4724;55471;25880;113115;84233;137682;847;9016;4731	4	4	GO:0032981:mitochondrial respiratory chain complex I assembly | GO:0042776:proton motive force-driven mitochondrial ATP synthesis | GO:0009060:aerobic respiration | GO:0006120:mitochondrial electron transport, NADH to ubiquinone	0.00668877450834312	passes_initial_gene_level_inspection	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	primary_discovery_module	Retained as a compact bacterial-higher discovery module supported by respiratory-chain/oxidative phosphorylation GO terms and NDUF/ATP synthase-associated overlap genes.	
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support	higher_in_viral	Viral_higher_antiviral_interferon_programme	Antiviral / interferon-response programme	A_strong_GO_support	primary_candidate_module	eligible_for_primary_manual_biological_review_not_final_claim	128	128	128	-0.994696695266815	-5.44504154250244	-0.316844333295578	-1.23332981246014	-0.960772989538888	128	71	51	6	100	55.47	100	IFI27;IFIT1;OAS2;RSAD2;AXL;OAS3;CCL8;IFIT2;IFI44L;MX1;IFIT3;OASL;TRIM14;ISG15;IFI44;HERC5;EIF2AK2;ZBP1;DHX58;OAS1;TRIM5;SAMD9;TLR7;IFIT5;DDX60;RIGI;IFIH1;MX2;NT5C3A;RTP4	3429;3434;4939;91543;558;4940;6355;3433;10964;4599;3437;8638;9830;9636;10561;51191;5610;81030;79132;4938;85363;54809;51284;24138;55601;23586;64135;4600;51251;64108	3	3	GO:0051607:defense response to virus | GO:0009615:response to virus | GO:0045087:innate immune response	1.07328337969612e-06	passes_initial_gene_level_inspection	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	Retained as the broader antiviral/interferon discovery submodule with strong GO support and canonical ISG/antiviral overlap genes.	Related antiviral/interferon submodules retained separately; pairwise Jaccard=0.2197; shared genes=29; recommendation=retain_as_related_antiviral_interferon_submodules_pending_manual_review
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | B_moderate_GO_support	higher_in_viral	Viral_higher_antiviral_interferon_programme	Antiviral / interferon-response programme	B_moderate_GO_support	primary_candidate_module	eligible_for_primary_manual_biological_review_not_final_claim	33	33	33	-1.41816802582432	-4.76772856416775	-0.431456780335223	-1.74117673023092	-1.08194037568067	33	22	11	0	100	66.67	100	IFI27;IFIT1;OAS2;RSAD2;OAS3;MX1;OASL;ISG15;EIF2AK2;OAS1;TLR7;IFIT5;RIGI;IFIH1;TREX1;IRF7;TLR3;TRIM6;STAT2;PLSCR1;ISG20;STAT1	3429;3434;4939;91543;4940;4599;8638;9636;5610;4938;51284;24138;23586;64135;11277;3665;7098;117854;6773;5359;3669;6772	3	3	GO:0045071:negative regulation of viral genome replication | GO:0032728:positive regulation of interferon-beta production | GO:0060337:type I interferon-mediated signaling pathway	0.00199381796006168	passes_initial_gene_level_inspection	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	primary_discovery_submodule	Retained as a related but not force-merged antiviral/interferon subgroup because gene overlap with the broader antiviral module was below the merge threshold.	Related antiviral/interferon submodules retained separately; pairwise Jaccard=0.2197; shared genes=29; recommendation=retain_as_related_antiviral_interferon_submodules_pending_manual_review
higher_in_viral | Viral_higher_cytokine_innate_immune_regulation_programme | Cytokine and innate immune regulation programme | B_moderate_GO_support	higher_in_viral	Viral_higher_cytokine_innate_immune_regulation_programme	Cytokine and innate immune regulation programme	B_moderate_GO_support	primary_candidate_module	eligible_for_primary_manual_biological_review_not_final_claim	106	106	106	-0.880284395050156	-3.68463042150361	-0.374873111849995	-0.984283026036078	-0.949116371683591	106	49	54	3	100	46.23	100	IFI44L;IFI44;CMKLR1;BTN2A2;TLR7;LIF;DEFB1;TNFSF10;SMAD3;TLR3;IL7R;TRIM22;TNFSF8;BTN3A1;ELF1;CCR1;CYSLTR2;IFI6;CCR3;PANX1;JPH4;CCR9;ICOSLG;CD80;CCL28;P2RX7;IL1RN;CTSL;TCF7;SOCS1	10964;10561;1240;10385;51284;3976;1672;8743;4088;7098;3575;10346;944;11119;1997;1230;57105;2537;1232;24145;84502;10803;23308;941;56477;5027;3557;1514;6932;8651	3	3	GO:0001817:regulation of cytokine production | GO:0006955:immune response | GO:0060907:positive regulation of macrophage cytokine production	0.000537965439937907	passes_initial_gene_level_inspection	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	Retained as a viral-higher discovery module supported by cytokine/immune-response GO terms and immune-regulatory overlap genes.	
