final_module_id	final_module_label	final_module_direction	projection_role	sample_group	n	mean_score	median_score	sd_score	q25	q75
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	primary_bacterial	DefiniteBacterial	52	0.10767001504321	-0.0450663457424796	0.81195125460008	-0.337105187889673	0.410669505868005
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	primary_viral	DefiniteViral	94	-0.05956213598135	-0.266116456290355	0.832164650564958	-0.608364557297978	0.248536451790895
BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	primary_bacterial	DefiniteBacterial	52	0.14301656558463	0.185092537524498	0.656071507396928	-0.197843438268514	0.387390425794836
BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	primary_viral	DefiniteViral	94	-0.0791155469191572	-0.165284323900502	0.681613005039785	-0.593990948628513	0.253432278705929
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	primary_bacterial	DefiniteBacterial	52	-0.291021792650443	-0.342404685772091	0.36143695943924	-0.521339146146145	-0.0455085849571359
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	primary_viral	DefiniteViral	94	0.160990778913011	0.101739839776447	0.575653391998176	-0.272060605685256	0.510799245102383
VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	primary_bacterial	DefiniteBacterial	52	-0.370855863642177	-0.472668589939535	0.40728579401892	-0.626337001336888	-0.157608221881745
VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	primary_viral	DefiniteViral	94	0.205154307546736	0.171795175529683	0.708554937908916	-0.25992893967198	0.555580417769422
VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	primary_bacterial	DefiniteBacterial	52	-0.166997474876352	-0.219640485336016	0.392417567136509	-0.374201248889106	0.0556295079599217
VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	primary_viral	DefiniteViral	94	0.0923815818464926	0.0429345342601169	0.497681220578191	-0.293009076340892	0.445334987073579
