base_sample_id	sample_group	projection_role	BACT_M1	BACT_M2	VIR_M1a	VIR_M1b	VIR_M2
DefiniteBacterial_01	DefiniteBacterial	primary_bacterial	2.60735663433824	1.67753118512858	0.262775986443028	0.0709121632020255	0.580244612421112
DefiniteBacterial_02	DefiniteBacterial	primary_bacterial	-0.849232776982914	-1.13451943579909	-0.959758181870515	-0.854564418001147	-0.984294745737874
DefiniteBacterial_03	DefiniteBacterial	primary_bacterial	0.189597302159481	0.374465858942368	0.00617892482447554	0.147657053268136	-0.0410110801168973
DefiniteBacterial_04	DefiniteBacterial	primary_bacterial	-0.761804803390448	-0.594714561544721	0.3752145730634	0.955707699770809	-0.235654603177116
DefiniteBacterial_05	DefiniteBacterial	primary_bacterial	-0.255133690603273	-0.149756383437109	0.189221631498965	0.338434771791557	0.113169800743616
DefiniteBacterial_06	DefiniteBacterial	primary_bacterial	0.017844614236141	0.234772750235478	0.547500037782538	0.611248482344061	0.363537086294715
DefiniteBacterial_07	DefiniteBacterial	primary_bacterial	-0.052180220429805	0.298243894157371	-0.337501390607425	-0.62835075308506	-0.0293916340049501
DefiniteBacterial_08	DefiniteBacterial	primary_bacterial	-0.25921804989844	0.0618144083445979	-0.637842433324766	-0.529653978889769	-0.510381249332079
DefiniteBacterial_09	DefiniteBacterial	primary_bacterial	-0.284056669735409	0.288437993806103	-0.101278065858953	0.0124035738643126	-0.432559869535729
DefiniteBacterial_10	DefiniteBacterial	primary_bacterial	0.655573101218973	-0.145283303299037	-0.461976651458609	-0.570967608247402	-0.420680463683391
DefiniteBacterial_11	DefiniteBacterial	primary_bacterial	0.0425520094513683	0.128876663637016	-0.278700800541489	-0.598747770453505	-0.024139766179706
DefiniteBacterial_12	DefiniteBacterial	primary_bacterial	-0.346787176428979	-0.157974181317582	-0.658373786112726	-0.759301301171211	-0.617074786543143
DefiniteBacterial_13	DefiniteBacterial	primary_bacterial	-0.13619843531726	0.421901505009859	-0.43633523431379	-0.483075579422903	-0.372980186064997
DefiniteBacterial_14	DefiniteBacterial	primary_bacterial	0.00774525219530273	0.412416771398355	-0.0467513862973382	-0.358830779024932	0.244256333054766
DefiniteBacterial_15	DefiniteBacterial	primary_bacterial	0.922345853647015	0.190606677441174	-0.138334324021263	-0.424761231856758	-0.0767041805787151
DefiniteBacterial_16	DefiniteBacterial	primary_bacterial	0.64610970257567	1.10556046451468	0.531995397486429	0.136308324058467	0.723974482028934
DefiniteBacterial_17	DefiniteBacterial	primary_bacterial	1.42224496141278	0.96572411640829	-0.118792215678299	-0.2277186283337	-0.183946411002802
DefiniteBacterial_18	DefiniteBacterial	primary_bacterial	-0.679203529987456	-0.857583040411632	-0.694343967540947	-0.77913983860844	-0.549528931606871
DefiniteBacterial_19	DefiniteBacterial	primary_bacterial	3.1721471245093	1.98526871180949	0.113339831989892	-0.0807904239815625	0.355348070633898
DefiniteBacterial_20	DefiniteBacterial	primary_bacterial	0.392390360345842	0.249299384678613	-0.0417801809365289	0.17426953276985	0.00177327659371084
DefiniteBacterial_21	DefiniteBacterial	primary_bacterial	0.15825763720739	-0.0576141982290635	0.0597429846930246	-0.10640385118729	0.533759707896214
DefiniteBacterial_22	DefiniteBacterial	primary_bacterial	-0.125591626426533	0.179578397607823	0.127763364899462	-0.0878613841478722	0.380910721912236
DefiniteBacterial_23	DefiniteBacterial	primary_bacterial	-0.712788264760794	-1.04057771970866	-1.01426600256514	-1.12754526356343	-1.07453596693611
DefiniteBacterial_24	DefiniteBacterial	primary_bacterial	1.7424357402415	1.63774713071744	0.19350273256953	0.188256776257269	0.548014036134304
DefiniteBacterial_25	DefiniteBacterial	primary_bacterial	-0.0151911584855914	-0.253456055799347	-0.64629740871422	-0.740721028489834	-0.540615592308525
DefiniteBacterial_26	DefiniteBacterial	primary_bacterial	-0.0379524710551541	0.282542620939154	-0.216384102747538	-0.174676345446563	-0.225362721381605
