SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
ABHD17B	ABHD17B	51104	6180470	ILMN_1785661	100.4966
ABHD17C	ABHD17C	58489	4150519	ILMN_1788416	72.860565
ABHD18	ABHD18	80167	5810192	ILMN_1761963	151.48805
ABHD2	ABHD2	11057	6900475	ILMN_1723662	155.1739
ABHD3	ABHD3	171586	5050241	ILMN_1801767	286.0954
ABHD4	ABHD4	63874	3120014	ILMN_1700633	82.299085
ABHD5	ABHD5	51099	5860215	ILMN_1655702	417.20775
ABHD6	ABHD6	57406	2690402	ILMN_1706344	99.327745
ABHD8	ABHD8	79575	4880288	ILMN_1712707	307.47705
ABI1	ABI1	10006	5130725	ILMN_2329958	510.96625
ABI2	ABI2	10152	2000100	ILMN_1724497	163.38145
ABI3	ABI3	51225	3840717	ILMN_1755658	329.0244
ABI3BP	ABI3BP	25890	6980739	ILMN_1673639	-3.966463
ABITRAM	ABITRAM	54942	3140280	ILMN_2191929	147.80935
ABL1	ABL1	25	4180088	ILMN_1713732	119.48975
ABL2	ABL2	27	1990288	ILMN_1741628	10.186665
ABLIM1	ABLIM1	3983	2570112	ILMN_1785424	1429.173
ABLIM2	ABLIM2	84448	2260471	ILMN_1758825	-0.4531021
ABLIM3	ABLIM3	22885	2350747	ILMN_1656940	9.6870545
ABO	ABO	28	1240575	ILMN_1656979	-14.107215
ABR	ABR	29	620240	ILMN_1672878	1342.4025
ABRA	ABRA	137735	3610382	ILMN_1766991	-11.24031
ABRACL	ABRACL	58527	6020681	ILMN_1720858	987.0443
ABRAXAS1	ABRAXAS1	84142	990332	ILMN_3237177	3788.4715
ABRAXAS2	ABRAXAS2	23172	510471	ILMN_1762615	343.07735
ABT1	ABT1	29777	6480392	ILMN_1658083	51.953625
ABTB1	ABTB1	80325	2970044	ILMN_1802096	2610.6225
ABTB2	ABTB2	25841	940148	ILMN_1753370	15.884575
ABTB3	ABTB3	121551	6510608	ILMN_1705066	248.01735
ACAA1	ACAA1	30	3520753	ILMN_1738921	609.6408
ACAA2	ACAA2	10449	1450093	ILMN_1660199	298.1797
ACACA	ACACA	31	2190414	ILMN_2331636	77.002015
ACACB	ACACB	32	2230678	ILMN_1763852	34.311395
ACAD10	ACAD10	80724	6560327	ILMN_1687303	124.6472
ACAD11	ACAD11	84129	3370136	ILMN_1761058	87.813785
ACAD8	ACAD8	27034	730671	ILMN_2225595	204.1213
ACAD9	ACAD9	28976	5340561	ILMN_1775579	205.0878
ACADL	ACADL	33	130193	ILMN_1660890	-1.736504
ACADM	ACADM	34	2470279	ILMN_2053679	368.0761
ACADS	ACADS	35	110441	ILMN_1795104	52.804745
ACADSB	ACADSB	36	3610136	ILMN_1740920	6.511959
ACADVL	ACADVL	37	1170647	ILMN_1806408	1557.6315
ACAN	ACAN	176	4480747	ILMN_1777182	-4.2230635
ACAP1	ACAP1	9744	7210682	ILMN_1808395	941.44985
ACAP2	ACAP2	23527	60746	ILMN_2088825	551.7341
ACAP3	ACAP3	116983	4850215	ILMN_1743847	-5.3652305
ACAT1	ACAT1	38	2070605	ILMN_1800008	335.3464
