ID_REF	ARRAY_ID	SYMBOL	ENTREZID	ENSEMBL	SYMBOL_UPPER
ILMN_1651506	2100279	TGS1	96764	ENSG00000137574	TGS1
ILMN_1651507	7150692	PYROXD1	79912	ENSG00000121350	PYROXD1
ILMN_1651508	5220468				
ILMN_1651513	1450463	MTREX	23517	ENSG00000039123	MTREX
ILMN_1651520	630372				
ILMN_1651532	3190341				
ILMN_1651535	6040553	TMEM217	221468	ENSG00000172738	TMEM217
ILMN_1651536	610075				
ILMN_1651538	4200121	NUMBL	9253	ENSG00000105245	NUMBL
ILMN_1651543	6940575	GRM5P1	440040	ENSG00000290401	GRM5P1
ILMN_1651543	6940575	GRM5P1	440040	ENSG00000285164	GRM5P1
ILMN_1651543	6940575	GRM5P1	440040	ENSG00000205035	GRM5P1
ILMN_1651544	4760241	HDAC8	55869	ENSG00000147099	HDAC8
ILMN_1651547	2190243	SEMA3E	9723	ENSG00000170381	SEMA3E
ILMN_1651554	160445	RGS5	8490	ENSG00000143248	RGS5
ILMN_1651557	6110301	POGLUT3	143888	ENSG00000178202	POGLUT3
ILMN_1651563	610343	MYO15B	80022	ENSG00000266714	MYO15B
ILMN_1651565	1050164	LINC00452	643365	ENSG00000229373	LINC00452
ILMN_1651567	2230739				
ILMN_1651568	6940270	MUC13	56667	ENSG00000173702	MUC13
ILMN_1651569	7320243	XRCC2	7516	ENSG00000196584	XRCC2
ILMN_1651574	1050040	AQP3	360	ENSG00000165272	AQP3
ILMN_1651576	1240364				
ILMN_1651582	5420543				
ILMN_1651584	5360538				
ILMN_1651597	6980440	FBXO44	93611	ENSG00000132879	FBXO44
ILMN_1651599	6580138	ENTPD2	954	ENSG00000054179	ENTPD2
ILMN_1651604	3520309	MARK4	57787	ENSG00000007047	MARK4
ILMN_1651606	520270				
ILMN_1651608	2710333	KIAA0825	285600	ENSG00000185261	KIAA0825
ILMN_1651609	1740603	SPRED3	399473	ENSG00000188766	SPRED3
ILMN_1651610	730709	SPRY1	10252	ENSG00000164056	SPRY1
ILMN_1651617	7210095	CTNNB1	1499	ENSG00000168036	CTNNB1
ILMN_1651624	70187	TEX56P	404220	ENSG00000185689	TEX56P
ILMN_1651628	7330196	EXOC6	54536	ENSG00000138190	EXOC6
ILMN_1651636	7210086	CYP2A13	1553	ENSG00000197838	CYP2A13
ILMN_1651637	60435				
ILMN_1651641	2070497				
ILMN_1651642	3390328	GPC2	221914	ENSG00000213420	GPC2
ILMN_1651643	4640152	ASB11	140456	ENSG00000165192	ASB11
ILMN_1651652	2640170	RTN3	10313	ENSG00000133318	RTN3
ILMN_1651656	6760253	PSG7	5676	ENSG00000221878	PSG7
ILMN_1651657	1440224	ADAM33	80332	ENSG00000149451	ADAM33
ILMN_1651660	4040288	TMEM191A	84222	ENSG00000291085	TMEM191A
ILMN_1651660	4040288	TMEM191C	645426	ENSG00000206140	TMEM191C
ILMN_1651660	4040288	TMEM191B	728229	ENSG00000278558	TMEM191B
ILMN_1651662	5270240				
ILMN_1651664	6620672	SDHA	6389	ENSG00000073578	SDHA
ILMN_1651664	6620672	SDHAP4	220729	ENSG00000291091	SDHAP4
ILMN_1651664	6620672	SDHAP1	255812	ENSG00000290763	SDHAP1
ILMN_1651664	6620672	SDHAP2	727956	ENSG00000242086	SDHAP2
ILMN_1651672	5260152				
ILMN_1651680	4060446	EEF1A1	1915	ENSG00000156508	EEF1A1
ILMN_1651681	2140072				
