final_module_id	final_module_label	final_module_direction	ENTREZID	SYMBOL	SYMBOL_UPPER	symbol_match	entrez_match	any_match
BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	100288805	HYDIN2	HYDIN2	FALSE	FALSE	FALSE
VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	54718	BTN2A3P	BTN2A3P	FALSE	FALSE	FALSE
