ID_REF	ARRAY_ID
ILMN_2268241	4880170
ILMN_1741628	1990288
ILMN_1657870	2510520
ILMN_2240003	4670717
ILMN_1785424	2570112
ILMN_1731610	3610315
ILMN_1696682	6130162
ILMN_2396672	6400243
ILMN_1758825	2260471
ILMN_1656940	2350747
ILMN_1656979	1240575
ILMN_1731433	5420440
ILMN_1672878	620240
ILMN_1655114	5860431
ILMN_1657045	6270753
ILMN_1766991	3610382
ILMN_1658083	6480392
ILMN_1802096	2970044
ILMN_2367165	6620609
ILMN_1753370	940148
ILMN_1738921	3520753
ILMN_1660199	1450093
ILMN_2331636	2190414
ILMN_1772123	2630692
ILMN_1667641	6650328
ILMN_1763852	2230678
ILMN_1687303	6560327
ILMN_1761058	3370136
ILMN_2225595	730671
ILMN_1724699	2650324
ILMN_1775579	5340561
ILMN_1660890	130193
ILMN_1778104	430139
ILMN_2053679	2470279
ILMN_1795104	110441
ILMN_1740920	3610136
ILMN_2263466	610093
ILMN_1806408	1170647
ILMN_2352009	1240551
ILMN_1693148	6770470
ILMN_1808395	7210682
ILMN_3236270	4280026
ILMN_1743847	4850215
ILMN_1800008	2070605
ILMN_2133799	6420056
ILMN_1708672	7330753
ILMN_1665945	5890112
ILMN_1676288	70068
ILMN_1693250	150156
ILMN_2295980	3390228
ILMN_2410362	4060435
ILMN_1684271	870349
ILMN_1726388	630678
ILMN_2106002	1410367
ILMN_1779685	240592
ILMN_1665932	2100255
ILMN_1769694	1690050
ILMN_1727251	3290445
ILMN_1734479	6110482
ILMN_2368728	6130451
ILMN_2394897	2850341
ILMN_2394902	3190082
ILMN_2287535	6130408
ILMN_1750295	3310397
ILMN_3187680	3390379
ILMN_3242266	4880612
ILMN_1780630	6130291
ILMN_1716480	1300154
ILMN_1715192	3060725
ILMN_2339410	3460364
ILMN_1779984	3830398
ILMN_1667018	7100468
ILMN_1773243	650131
ILMN_3241214	3360019
ILMN_3235340	520500
ILMN_1761000	1010307
ILMN_3237774	2360228
ILMN_2333219	1170594
ILMN_1780485	1710500
ILMN_1735471	2190168
ILMN_1699636	4860204
ILMN_2371379	4200259
ILMN_1749014	4290279
ILMN_1727091	7040450
ILMN_1771348	520575
ILMN_2134039	6040088
ILMN_1750800	2450608
ILMN_1654861	3930639
ILMN_2121389	4810471
ILMN_1715543	4900438
ILMN_1739594	1050253
ILMN_2353978	7400315
ILMN_1785474	2070181
ILMN_2188959	1230189
ILMN_1716237	6290059
ILMN_1764321	4780709
ILMN_2156699	4920072
ILMN_1784756	2320553
ILMN_1728883	3460681
ILMN_1740265	4290050
ILMN_1788078	5290564
ILMN_2252621	6040403
ILMN_2332250	6580639
ILMN_1719178	7610044
ILMN_1679600	2900291
ILMN_2367070	5220497
ILMN_1658995	7160592
ILMN_1750158	1190327
ILMN_1668839	3940408
ILMN_1765767	6180324
ILMN_1685703	1010114
ILMN_1743396	4540010
ILMN_1743680	1300300
ILMN_1669633	1500152
ILMN_2344956	6110672
ILMN_2104830	2480025
ILMN_2078599	7050082
ILMN_2234343	4670671
ILMN_1706598	3800538
ILMN_2306955	5720537
ILMN_1758323	2680725
ILMN_1728331	2690369
ILMN_2351906	6280204
ILMN_1705637	6900576
ILMN_1784203	7510253
ILMN_1666690	3850192
ILMN_1654468	2570576
ILMN_2320277	5550075
ILMN_2227011	2480730
ILMN_1730002	1660376
ILMN_3236756	2810253
ILMN_1716832	5820142
ILMN_1684585	1030431
ILMN_2360705	1580524
ILMN_1654414	3440367
ILMN_1666096	3930593
ILMN_2391458	130131
ILMN_2285506	3800133
ILMN_1691714	6580411
ILMN_1683598	7000307
ILMN_2370882	620577
ILMN_2273911	2320332
ILMN_1807914	6380228
ILMN_1678517	6400707
ILMN_1705247	7040286
ILMN_1737418	1190746
ILMN_2278242	5570477
ILMN_1730025	5890040
ILMN_2378555	6770255
ILMN_1661434	5870669
ILMN_1809623	6550452
ILMN_1657592	630228
ILMN_1765912	3390280
ILMN_1746128	4760202
ILMN_1685952	3840632
ILMN_1662738	4180292
ILMN_1771084	6580735
ILMN_1791923	6980181
ILMN_1801698	520364
ILMN_1766966	4850092
ILMN_2070792	4880736
ILMN_1752269	5220377
ILMN_1697510	1980709
ILMN_2254962	3310019
ILMN_2336595	4490524
ILMN_1714197	4670544
ILMN_1742859	5570059
ILMN_1659885	2810154
ILMN_2125869	5080132
ILMN_1671703	6480059
ILMN_2152131	4610390
ILMN_1777296	5270730
ILMN_2038777	5570132
ILMN_3246895	6100600
ILMN_1658660	4260201
ILMN_1829919	6940739
ILMN_2053178	3310424
ILMN_1704961	6510072
ILMN_1795325	4610431
ILMN_1749297	5080603
ILMN_2328280	5220358
ILMN_1657855	5390008
ILMN_1717900	6960669
ILMN_1796088	7550092
ILMN_1704078	1450100
ILMN_2232177	5080364
ILMN_1654422	3400110
ILMN_1665691	830348
ILMN_1725534	270437
ILMN_1798254	2630064
ILMN_1792314	4280561
ILMN_1695821	2120088
ILMN_2388605	5570196
ILMN_1657153	6940176
ILMN_2260392	2750403
ILMN_2346451	4010066
ILMN_1787513	5490278
ILMN_1680941	6180603
ILMN_1652594	2690670
ILMN_1697585	1580168
ILMN_1689162	270278
ILMN_1815392	2710368
ILMN_3241416	7100201
ILMN_1760490	6940360
ILMN_1786544	1410132
ILMN_1763916	2060615
ILMN_2243308	4570240
ILMN_1766723	6510717
ILMN_1689217	450064
ILMN_1670912	4260681
ILMN_2152711	4590349
ILMN_1668983	610564
ILMN_1824337	1450253
ILMN_1807493	4610746
ILMN_3250257	5910451
ILMN_1683883	1400341
ILMN_1670193	1170228
ILMN_2319825	3440689
ILMN_1694233	5910148
ILMN_1686432	5960142
ILMN_1697550	130367
ILMN_2158705	5290672
ILMN_1803686	7210192
ILMN_1745580	3140326
ILMN_1745108	3400424
ILMN_1725043	5910554
ILMN_2148360	3130364
ILMN_1718946	5290300
ILMN_1711374	1260661
ILMN_1726266	520689
ILMN_1705689	6180392
ILMN_1785393	6420692
ILMN_2384544	1980553
ILMN_1756920	3440452
ILMN_1799728	3990626
ILMN_1751500	6480131
ILMN_2121068	5260546
ILMN_1765779	5420762
ILMN_2201386	6560010
ILMN_1682225	4920692
ILMN_1788481	5220341
ILMN_1713751	6900209
ILMN_1662675	6110315
ILMN_1737629	2320270
ILMN_1812112	2690368
ILMN_3241313	5310202
ILMN_1675210	1470039
ILMN_1706302	2490255
ILMN_2351754	7400600
ILMN_2060086	110731
ILMN_1664236	290451
ILMN_1664631	6180491
ILMN_1802100	7330333
ILMN_2194158	1770672
ILMN_2100871	830601
ILMN_1806841	5050328
ILMN_1798045	5860541
ILMN_2293012	6450164
ILMN_1703383	7550491
ILMN_1651657	1440224
ILMN_1671297	3420025
ILMN_1669486	1170390
ILMN_1795204	1430241
ILMN_2223911	4150292
ILMN_1685531	1770082
ILMN_1764554	3850379
ILMN_2302214	540195
ILMN_1783312	6480634
ILMN_2143210	7040601
ILMN_1750294	1260424
ILMN_1708348	780725
ILMN_1727524	2940730
ILMN_1716909	1690192
ILMN_2103107	2470184
ILMN_1673566	6900086
ILMN_1751168	840370
ILMN_1660970	4060682
ILMN_1787386	1030253
ILMN_2286570	1240470
ILMN_2413732	4200735
ILMN_1873412	2000538
ILMN_1676452	4230341
ILMN_2358134	7610372
ILMN_1683781	6520458
ILMN_1726247	7320519
ILMN_1682989	4040494
ILMN_1739872	2030487
ILMN_1770152	3290133
ILMN_1656171	70487
ILMN_1796628	3400600
ILMN_1811765	7150609
ILMN_1791795	2650592
ILMN_1787908	4010035
ILMN_1651717	4060747
ILMN_1703803	2120364
