clean_paragraph_index	response_ids	alignment_class	best_submitted_paragraph_index	similarity_score	sequence_ratio	redline_action	tracked_insert_wrappers	tracked_delete_wrappers	clean_excerpt	submitted_excerpt
1	TITLE_REFRAME	REVISION_ADDITION_CANDIDATE	2	0.568333	0.562500	TRACKED_REPLACE_TITLE	3	4	External transportability of bacterial- and viral-associated host-response modules across public transcriptomic cohorts	Cross-cohort transportability of bacterial- and viral-associated host-response modules in public infection transcriptomic datasets
2	TITLE_REFRAME	REVISION_ADDITION_CANDIDATE	2	0.373000	0.320000	TRACKED_REPLACE_SHORT_TITLE	1	2	Short title: Transportable infection modules	Short title: Transportability of infection host-response modules
11	REVISION_OBJECTIVES	REVISION_ADDITION_CANDIDATE	1	0.000000	0.000000	TRACKED_INSERT_PARAGRAPH	1	0	Objectives	Manuscript Click here to access/download;Manuscript;PLOS_ONE_manuscript_18_6_202
12	REVISION_OBJECTIVES	REVISION_ADDITION_CANDIDATE	24	0.219780	0.219780	TRACKED_INSERT_PARAGRAPH	1	0	To determine whether bacterial- and viral-associated whole-blood host-response modules discovered in GSE211567 retain their prespecified directions when applied unchanged to two...	Figure captions Figure 1. Site-aware discovery and conservative locking of bacterial- and viral-associated host- response modules in GSE211567. (A) Primary bacterial-versus-vira...
14	RR05|RR06|RR07|RR08|RR09|RR11|RR14|RR16	REVISION_ADDITION_CANDIDATE	41	0.241546	0.241546	TRACKED_INSERT_PARAGRAPH	1	0	Five biologically guided modules were defined and fixed in GSE211567 before external analysis. The same modules were applied unchanged to GSE73461 and GSE72810 using an unweight...	Locked modules were scored in GSE73461 using a predefined unweighted mean z-score rule. The primary projection contrast compared DefiniteBacterial and DefiniteViral samples; Con...
16	RR05|RR07|RR08|RR09|RR11	REVISION_ADDITION_CANDIDATE	45	0.207368	0.018692	TRACKED_INSERT_PARAGRAPH	1	0	All five modules retained their expected directions in both projection cohorts. BACT_M2, VIR_M1a, VIR_M1b and VIR_M2 had confidence intervals excluding zero and passed false-dis...	Declarations and availability statements
18	RR07	REVISION_ADDITION_CANDIDATE	45	0.208830	0.035088	TRACKED_INSERT_PARAGRAPH	1	0	The predefined host-response modules retained their expected directions across two external cohorts measured on different Illumina platforms, with the strongest reproducible sup...	Declarations and availability statements
23	RR05	REVISION_ADDITION_CANDIDATE	10	0.463576	0.463576	TRACKED_INSERT_PARAGRAPH	1	0	Here, GSE211567 was used to discover bacterial- and viral-associated host-response programmes while requiring cross-site directional support. Five conservative modules were defi...	Here, GSE211567 was used for site-aware discovery of bacterial- and viral-associated host-response programmes. Five conservative modules were locked and then projected into GSE7...
27	RR05|RR10	MODIFIED_CANDIDATE	36	0.648649	0.648649	TRACKED_WORD_LEVEL_REVISION	14	16	This study used a staged design that kept discovery separate from external testing. GSE211567 was used for discovery, biological interpretation and definition of the five module...	Study design and datasets This study used a staged transcriptomic transportability design with a strict discovery/projection firewall. GSE211567 was used for discovery, biologic...
28	RR05	MODIFIED_CANDIDATE	37	0.634731	0.634731	TRACKED_WORD_LEVEL_REVISION	6	8	Public host-transcriptomic datasets were considered if they contained infection-relevant human transcriptomic data, recoverable sample metadata, interpretable pathogen-class lab...	Public host-transcriptomic datasets were considered for discovery, rehearsal or external projection if they contained infection-relevant human transcriptomic data, recoverable s...
30	RR13	REVISION_ADDITION_CANDIDATE	45	0.207000	0.014184	TRACKED_INSERT_PARAGRAPH	1	0	GSE211567 provided the discovery dataset and contained whole-blood transcriptomic samples from Sri Lanka and the United States [12]. After metadata and expression-quality auditi...	Declarations and availability statements
31	RR06	NEAR_UNCHANGED	11	0.822022	0.016129	TRACKED_INSERT_PARAGRAPH	1	0	Differential-expression results were treated as a discovery-ranking layer rather than a diagnostic signature [15]. Positive log2 fold-change values were interpreted as bacterial...	Results
33	RR10|RR11	REVISION_ADDITION_CANDIDATE	16	0.295858	0.295858	TRACKED_INSERT_PARAGRAPH	1	0	GSE73461 expression, annotation, metadata and group labels were audited independently of module discovery [13]. The cohort was measured on the Illumina GPL10558 platform. The 52...	GSE73461 was locked as an independent external projection cohort After module locking, independent external projection required a cohort with compatible host- transcriptomic dat...
35	RR05	REVISION_ADDITION_CANDIDATE	40	0.279649	0.053333	TRACKED_INSERT_PARAGRAPH	1	0	GSE72810 cross-platform validation and probe selection	GSE73461 projection and statistical analysis GSE73461 expression and annotation files were audited independently (National Center for Biotechnology Information, n.d.-b). Illumin...
36	RR05|RR11	REVISION_ADDITION_CANDIDATE	45	0.208051	0.023529	TRACKED_INSERT_PARAGRAPH	1	0	GSE72810 contained 146 paediatric whole-blood samples measured using the Illumina HumanHT-12 v3 platform [14]. All 146 samples were retained in the main z-score reference popula...	Declarations and availability statements
37	RR05	REVISION_ADDITION_CANDIDATE	45	0.207432	0.021739	TRACKED_INSERT_PARAGRAPH	1	0	Predefined module genes were reconciled to the GSE72810 platform through Entrez identifiers. Of 313 module-gene instances, 303 were mapped and 10 were unmapped. Module coverage ...	Declarations and availability statements
39	RR11|RR14	REVISION_ADDITION_CANDIDATE	45	0.207903	0.022989	TRACKED_INSERT_PARAGRAPH	1	0	For the primary mean-z analyses, expression for each mapped gene g in sample i was standardised within the prespecified reference population as z_gi = (x_gi - mean_g) / SD_g. Fo...	Declarations and availability statements
40	RR08|RR16	REVISION_ADDITION_CANDIDATE	45	0.208673	0.032787	TRACKED_INSERT_PARAGRAPH	1	0	Wilcoxon rank-sum tests compared bacterial and viral module scores, with Benjamini-Hochberg correction across the five modules [18]. Positive effects denote bacterial-higher sco...	Declarations and availability statements
42	RR05|RR11	REVISION_ADDITION_CANDIDATE	45	0.209091	0.034483	TRACKED_INSERT_PARAGRAPH	1	0	Z-reference sensitivity was evaluated by repeating scoring using only the primary bacterial and viral samples as the reference population. GSE72810 sensitivity analyses addition...	Declarations and availability statements
43	RR07|RR08|RR11|RR16	REVISION_ADDITION_CANDIDATE	45	0.208673	0.036364	TRACKED_INSERT_PARAGRAPH	1	0	A GSVA sensitivity analysis was performed in GSE73461 using the unchanged module gene sets and both z-reference populations. Because mean-z and GSVA scores have different numeri...	Declarations and availability statements
44	RR16	NEAR_UNCHANGED	11	0.824865	0.043478	TRACKED_INSERT_PARAGRAPH	1	0	Gene-deletion robustness was assessed exhaustively in GSE73461 by recalculating every module after removal of each individual gene and every pair of genes. Variant scores were c...	Results
46	LIMITATION|RR05	REVISION_ADDITION_CANDIDATE	45	0.208333	0.028169	TRACKED_INSERT_PARAGRAPH	1	0	The GSE72810 and GSE73461 GEO sample accession sets were disjoint and the cohorts were measured on different Illumina array platforms. However, direct participant overlap could ...	Declarations and availability statements
51	RR12_LEGENDS	REVISION_ADDITION_CANDIDATE	2	0.439939	0.400000	TRACKED_INSERT_PARAGRAPH	1	0	Fig 1. Discovery and conservative definition of bacterial- and viral-associated host-response modules in GSE211567	Cross-cohort transportability of bacterial- and viral-associated host-response modules in public infection transcriptomic datasets Short title: Transportability of infection hos...
52	RR12_LEGENDS	REVISION_ADDITION_CANDIDATE	45	0.209500	0.040816	TRACKED_INSERT_PARAGRAPH	1	0	(A) Primary bacterial-versus-viral discovery analysis in GSE211567. The volcano-style plot summarises the limma-ranked host-transcriptomic contrast used as the discovery startin...	Declarations and availability statements
53	RR12_LEGENDS|RR13	REVISION_ADDITION_CANDIDATE	13	0.248366	0.248366	TRACKED_INSERT_PARAGRAPH	1	0	(B) Cross-site concordance of the GSE211567 bacterial-versus-viral discovery contrast. Spearman correlations summarise ranked agreement of log2 fold changes between the pooled, ...	The site-stratified concordance analysis showed that the pooled bacterial-versus-viral contrast was strongly concordant with the Sri Lanka stratum and moderately concordant with...
