sample_id_for_scoring	BACT_M1	BACT_M2	VIR_M1a	VIR_M1b	VIR_M2
00943	1.32121429162232	0.639919395495478	-0.0136690799279146	-0.111631144745533	-0.0681858021186074
105791	-0.0186048262569273	-0.0510110693057289	0.365703682577823	0.367911606877886	0.245040675755396
105824	-0.277637148600165	-0.130731681442809	-0.0434672915114475	-0.012368249787143	0.00187197558058555
105834	-0.408973290491875	0.00930960352826601	0.652187720892003	0.872251425667333	0.324744681207395
105841	-0.331202684999506	-0.0370801636535109	0.199399270126362	0.159331681522883	0.192472582740353
105842	-0.691942154056437	0.0120121848294264	0.331392518168056	0.443094915444865	0.123729980867667
105847	-0.353282657755042	0.00961945704948355	0.0672299631128218	-0.158630384140096	0.135239606394279
105848	-0.835655661991772	-0.542936908809958	0.430935623277131	0.678852682659793	-0.0879494794169708
105853	-0.334615276183047	0.0749303208444898	0.595779989950994	0.762052751891398	0.410916173459082
105861	-1.16351466582536	-0.375622689608018	0.980067775959988	1.69612449083294	0.439851146581658
105920	-0.70386467269938	-0.280223188177137	0.530549684946521	0.589818037787057	0.300550092318885
105927	-0.299461475258147	-0.0245168800193394	0.801725490134593	1.28796276769836	0.353510761860185
105929	-0.251063377259936	0.162461833547384	0.632586962181539	1.15305690527146	0.0645792807497182
234301	-0.157963504870596	0.0866079304051097	0.519131863155491	0.657327511377724	0.494674139075512
234326	-0.18670258698677	-0.121972312636793	0.107486312721082	-0.0233508133628202	0.219661569722773
234330	-0.292419100249653	-0.12324185824063	-0.0749930305623176	-0.293177554422065	-0.0667821831179368
234376	-0.651673870966136	-0.244947106112783	0.301230626071613	0.264439087266205	0.118552446000605
234377	-0.473942257127479	0.0331341491348326	0.164198804171254	0.10327745707245	0.0636630188626771
234432	-1.07828362980489	-0.461921104538466	0.386063731123085	0.474809632636067	0.143249595223279
234435	-0.260226228206901	0.0522637102354379	0.351407955315665	0.575317338848912	0.0948266621119043
434294	-0.485500443308756	-0.229602760131146	0.202011651601907	0.0791048061317166	0.237317178598544
