source_feature_set	ENTREZID	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	n_refseq_features_for_entrez_in_input	pooled_rank	pooled_logFC	pooled_P.Value	pooled_adj.P.Val	Sri_Lanka_logFC	Sri_Lanka_adj.P.Val	United_States_logFC	United_States_adj.P.Val	all_three_concordant	stability_tier	recommended_use
site_aware_eligible	200728	TMEM17	ENSG00000186889	transmembrane protein 17	NM_198276	1	8225	0.460623411858383	0.00714229797880457	0.0173656797867508	0.675671995997797	0.00717007836066805	0.240121911926043	0.546332559365817	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	7699	ZNF140	ENSG00000196387	zinc finger protein 140	NM_001300778	3	8233	-0.491244728330433	0.00717618138888937	0.0174318537102391	-0.513953080370127	0.0809674349769574	-0.560086693401493	0.0839307271924293	TRUE	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	284119	CAVIN1	ENSG00000177469	caveolae associated protein 1	NM_012232	1	8235	0.656431819101507	0.0071923571401475	0.0174669035149739	0.593642926267985	0.101928169240623	0.746893093351647	0.141887676426543	TRUE	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	64081	PBLD	ENSG00000108187	phenazine biosynthesis like protein domain containing	NM_022129	1	8236	-0.5126122914839	0.00720147778048192	0.0174869298363111	-0.524788637563154	0.0676057726530735	-0.524528922928112	0.185041305193538	TRUE	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	391123	VSIG8	ENSG00000243284	V-set and immunoglobulin domain containing 8	NM_001013661	1	8237	0.873017977948305	0.00721631700429991	0.017520835713123	1.45553066201753	0.00247868351812452	0.0295896936931876	0.971451671754586	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	100129482	ZNF37BP	ENSG00000234420	zinc finger protein 37B, pseudogene	NR_026777	1	8239	-0.531899859545426	0.00722422284285188	0.0175357728649344	-0.679654935191053	0.0204277822957211	-0.431627898470556	0.29733228215459	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	2110	ETFDH	ENSG00000171503	electron transfer flavoprotein dehydrogenase	NM_001281737	2	8241	0.436720747129907	0.0072296404054063	0.017544664296532	0.227912258779686	0.418522228612104	0.705840212583797	0.0107773590130717	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	3954	LETM1	ENSG00000168924	leucine zipper and EF-hand containing transmembrane protein 1	NM_012318	1	8243	-0.478972940636083	0.00726353791320005	0.0176226488810006	-0.318906024065161	0.268534249818114	-0.815356551145846	0.0123404446102349	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	10884	MRPS30	ENSG00000112996	mitochondrial ribosomal protein S30	NM_016640	1	8245	-0.440392451037116	0.00727242031817076	0.0176399192168705	-0.169610247411093	0.52636597163851	-0.859629909970021	0.00748242684976858	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	84224	NBPF3	ENSG00000142794	NBPF member 3	NM_001256416	2	8247	-0.535569213671523	0.00728758503907376	0.0176722878287927	-0.619634908623918	0.0349553414353087	-0.475258685759988	0.271543857159142	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	6348	CCL3	ENSG00000277632	C-C motif chemokine ligand 3	NM_002983	3	8248	-0.696099067305782	0.00728841592139018	0.0176722878287927	-0.738281925252669	0.0623750004380653	-0.636450066290424	0.209101927990027	TRUE	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	166968	MIER3	ENSG00000155545	MIER family member 3	NM_001297599	2	8250	-0.758550413579592	0.00731185184810068	0.0177248151648685	-1.14868840228187	0.00556904884284745	-0.207795290368518	0.755877735032874	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
