source_feature_set	ENTREZID	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	n_refseq_features_for_entrez_in_input	pooled_rank	pooled_logFC	pooled_P.Value	pooled_adj.P.Val	Sri_Lanka_logFC	Sri_Lanka_adj.P.Val	United_States_logFC	United_States_adj.P.Val	all_three_concordant	stability_tier	recommended_use
all_modelled_features	23708	GSPT2	ENSG00000189369	G1 to S phase transition 2	NM_018094	1	14075	-0.34423343909593	0.186477685623349	0.264963924318391	-0.0389252169474098	0.934722059399857	-0.918484500979157	0.0590379763855307	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	26191	PTPN22	ENSG00000134242	protein tyrosine phosphatase non-receptor type 22	NM_015967	4	14077	0.216699914031617	0.186629640041961	0.265142158925849	0.105843877584051	0.706005796622062	0.384147594096739	0.263364305986612	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	105374042	LOC105374042	ENSG00000239482	uncharacterized LOC105374042	NR_147411	1	14080	0.236862913787227	0.186726683306967	0.265223504222729	0.504338456101757	0.0514109575640579	-0.0393178408999537	0.934160617452674	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	79844	ZDHHC11	ENSG00000188818	zinc finger DHHC-type containing 11	NM_024786	1	14081	0.327650389739134	0.186755313175882	0.265245331169979	0.329635068447968	0.412974588787899	0.377722017200965	0.477993622004762	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	55345	ZGRF1	ENSG00000138658	zinc finger GRF-type containing 1	NM_018392	2	14085	-0.350625979968494	0.187833998783497	0.26670160750239	0.0927000577895478	0.837703390116973	-1.09221375845911	0.0348767556894846	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	23499	MACF1	ENSG00000127603	microtubule actin crosslinking factor 1	NM_015038	1	14086	0.217984798945173	0.187895660621042	0.266770219846672	0.316397553960084	0.214419927663733	0.0708242388160927	0.867464996370144	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	160428	ALDH1L2	ENSG00000136010	aldehyde dehydrogenase 1 family member L2	NR_027752	2	14087	-0.292758884895107	0.187911858092108	0.266774277701716	-0.0800557545532226	0.830998213247239	-0.553398891421321	0.246333608985968	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	387723	C10orf143	ENSG00000237489	chromosome 10 open reading frame 143	NR_034125	3	14088	-0.240311000730901	0.187963687165009	0.266828916781162	0.20100319078737	0.502178703118322	-0.910077229927754	0.00900964930641316	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	3674	ITGA2B	ENSG00000005961	integrin subunit alpha 2b	NM_000419	1	14091	0.26950717346981	0.188125837321952	0.267002244028225	-0.0394911422678205	0.91667278603318	0.750624633283321	0.0412997116972463	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	100128233	LINC02324	ENSG00000255002	long intergenic non-protein coding RNA 2324	NR_103769	1	14094	0.281308083289549	0.188207266944576	0.267049707239052	0.542386999024167	0.095500179137358	-0.120580928781971	0.813367232781535	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
