feature_id	SYMBOL	ENTREZID	ENSEMBL	GENENAME	mapped_any	mapped_symbol	mapped_entrez	mapped_ensembl
NM_000016	ACADM	34	ENSG00000117054	acyl-CoA dehydrogenase medium chain	TRUE	TRUE	TRUE	TRUE
NM_000019	ACAT1	38	ENSG00000075239	acetyl-CoA acetyltransferase 1	TRUE	TRUE	TRUE	TRUE
NM_000020	ACVRL1	94	ENSG00000139567	activin A receptor like type 1	TRUE	TRUE	TRUE	TRUE
NM_000027	AGA	175	ENSG00000038002	aspartylglucosaminidase	TRUE	TRUE	TRUE	TRUE
NM_000028	AGL	178	ENSG00000162688	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	TRUE	TRUE	TRUE	TRUE
NM_000030	AGXT	189	ENSG00000172482	alanine--glyoxylate aminotransferase	TRUE	TRUE	TRUE	TRUE
NM_000032	ALAS2	212	ENSG00000158578	5'-aminolevulinate synthase 2	TRUE	TRUE	TRUE	TRUE
NM_000037	ANK1	286	ENSG00000029534	ankyrin 1	TRUE	TRUE	TRUE	TRUE
NM_000038	APC	324	ENSG00000134982	APC regulator of WNT signaling pathway	TRUE	TRUE	TRUE	TRUE
NM_000043	FAS	355	ENSG00000026103	Fas cell surface death receptor	TRUE	TRUE	TRUE	TRUE
NM_000045	ARG1	383	ENSG00000118520	arginase 1	TRUE	TRUE	TRUE	TRUE
NM_000046	ARSB	411	ENSG00000113273	arylsulfatase B	TRUE	TRUE	TRUE	TRUE
NM_000049	ASPA	443	ENSG00000108381	aspartoacylase	TRUE	TRUE	TRUE	TRUE
NM_000050	ASS1	445	ENSG00000130707	argininosuccinate synthase 1	TRUE	TRUE	TRUE	TRUE
NM_000052	ATP7A	538	ENSG00000165240	ATPase copper transporting alpha	TRUE	TRUE	TRUE	TRUE
NM_000056	BCKDHB	594	ENSG00000083123	branched chain keto acid dehydrogenase E1 subunit beta	TRUE	TRUE	TRUE	TRUE
NM_000059	BRCA2	675	ENSG00000139618	BRCA2 DNA repair associated	TRUE	TRUE	TRUE	TRUE
NM_000060					FALSE	FALSE	FALSE	FALSE
NM_000062	SERPING1	710	ENSG00000149131	serpin family G member 1	TRUE	TRUE	TRUE	TRUE
NM_000063	C2	717	ENSG00000166278	complement C2	TRUE	TRUE	TRUE	TRUE
NM_000063	C2	717	ENSG00000231543	complement C2	TRUE	TRUE	TRUE	TRUE
NM_000063	C2	717	ENSG00000204364	complement C2	TRUE	TRUE	TRUE	TRUE
NM_000063	C2	717	ENSG00000235017	complement C2	TRUE	TRUE	TRUE	TRUE
NM_000063	C2	717	ENSG00000226560	complement C2	TRUE	TRUE	TRUE	TRUE
NM_000063	C2	717	ENSG00000206372	complement C2	TRUE	TRUE	TRUE	TRUE
NM_000063	C2	717	ENSG00000235696	complement C2	TRUE	TRUE	TRUE	TRUE
NM_000064	C3	718	ENSG00000125730	complement C3	TRUE	TRUE	TRUE	TRUE
NM_000067	CA2	760	ENSG00000104267	carbonic anhydrase 2	TRUE	TRUE	TRUE	TRUE
NM_000068	CACNA1A	773	ENSG00000141837	calcium voltage-gated channel subunit alpha1 A	TRUE	TRUE	TRUE	TRUE
NM_000071	CBS	875	ENSG00000160200	cystathionine beta-synthase	TRUE	TRUE	TRUE	TRUE
NM_000072	CD36	948	ENSG00000135218	CD36 molecule	TRUE	TRUE	TRUE	TRUE
NM_000073	CD3G	917	ENSG00000160654	CD3 gamma subunit of T-cell receptor complex	TRUE	TRUE	TRUE	TRUE
NM_000074	CD40LG	959	ENSG00000102245	CD40 ligand	TRUE	TRUE	TRUE	TRUE
NM_000075	CDK4	1019	ENSG00000135446	cyclin dependent kinase 4	TRUE	TRUE	TRUE	TRUE
NM_000076	CDKN1C	1028	ENSG00000129757	cyclin dependent kinase inhibitor 1C	TRUE	TRUE	TRUE	TRUE
NM_000076	CDKN1C	1028	ENSG00000273707	cyclin dependent kinase inhibitor 1C	TRUE	TRUE	TRUE	TRUE
NM_000077	CDKN2A	1029	ENSG00000147889	cyclin dependent kinase inhibitor 2A	TRUE	TRUE	TRUE	TRUE
NM_000078	CETP	1071	ENSG00000087237	cholesteryl ester transfer protein	TRUE	TRUE	TRUE	TRUE
NM_000080	CHRNE	1145	ENSG00000108556	cholinergic receptor nicotinic epsilon subunit	TRUE	TRUE	TRUE	TRUE
NM_000081	LYST	1130	ENSG00000143669	lysosomal trafficking regulator	TRUE	TRUE	TRUE	TRUE
NM_000082	ERCC8	1161	ENSG00000049167	ERCC excision repair 8, CSA ubiquitin ligase complex subunit	TRUE	TRUE	TRUE	TRUE
NM_000083	CLCN1	1180	ENSG00000188037	chloride voltage-gated channel 1	TRUE	TRUE	TRUE	TRUE
NM_000084	CLCN5	1184	ENSG00000171365	chloride voltage-gated channel 5	TRUE	TRUE	TRUE	TRUE
NM_000091	COL4A3	1285	ENSG00000169031	collagen type IV alpha 3 chain	TRUE	TRUE	TRUE	TRUE
NM_000092	COL4A4	1286	ENSG00000081052	collagen type IV alpha 4 chain	TRUE	TRUE	TRUE	TRUE
NM_000094	COL7A1	1294	ENSG00000114270	collagen type VII alpha 1 chain	TRUE	TRUE	TRUE	TRUE
NM_000097	CPOX	1371	ENSG00000080819	coproporphyrinogen oxidase	TRUE	TRUE	TRUE	TRUE
NM_000104	CYP1B1	1545	ENSG00000138061	cytochrome P450 family 1 subfamily B member 1	TRUE	TRUE	TRUE	TRUE
NM_000106	CYP2D6	1565	ENSG00000100197	cytochrome P450 family 2 subfamily D member 6	TRUE	TRUE	TRUE	TRUE
NM_000106	CYP2D6	1565	ENSG00000283284	cytochrome P450 family 2 subfamily D member 6	TRUE	TRUE	TRUE	TRUE
NM_000106	CYP2D6	1565	ENSG00000272532	cytochrome P450 family 2 subfamily D member 6	TRUE	TRUE	TRUE	TRUE
NM_000106	CYP2D6	1565	ENSG00000280905	cytochrome P450 family 2 subfamily D member 6	TRUE	TRUE	TRUE	TRUE
NM_000106	CYP2D6	1565	ENSG00000275211	cytochrome P450 family 2 subfamily D member 6	TRUE	TRUE	TRUE	TRUE
NM_000106	CYP2D6	1565	ENSG00000282966	cytochrome P450 family 2 subfamily D member 6	TRUE	TRUE	TRUE	TRUE
NM_000108	DLD	1738	ENSG00000091140	dihydrolipoamide dehydrogenase	TRUE	TRUE	TRUE	TRUE
NM_000110	DPYD	1806	ENSG00000188641	dihydropyrimidine dehydrogenase	TRUE	TRUE	TRUE	TRUE
NM_000112	SLC26A2	1836	ENSG00000155850	solute carrier family 26 member 2	TRUE	TRUE	TRUE	TRUE
NM_000119	EPB42	2038	ENSG00000166947	erythrocyte membrane protein band 4.2	TRUE	TRUE	TRUE	TRUE
NM_000120	EPHX1	2052	ENSG00000143819	epoxide hydrolase 1	TRUE	TRUE	TRUE	TRUE
NM_000124	ERCC6	2074	ENSG00000225830	ERCC excision repair 6, chromatin remodeling factor	TRUE	TRUE	TRUE	TRUE
NM_000127	EXT1	2131	ENSG00000182197	exostosin glycosyltransferase 1	TRUE	TRUE	TRUE	TRUE
NM_000130	F5	2153	ENSG00000198734	coagulation factor V	TRUE	TRUE	TRUE	TRUE
NM_000132	F8	2157	ENSG00000185010	coagulation factor VIII	TRUE	TRUE	TRUE	TRUE
NM_000136	FANCC	2176	ENSG00000158169	FA complementation group C	TRUE	TRUE	TRUE	TRUE
NM_000139	MS4A2	2206	ENSG00000149534	membrane spanning 4-domains A2	TRUE	TRUE	TRUE	TRUE
NM_000140	FECH	2235	ENSG00000066926	ferrochelatase	TRUE	TRUE	TRUE	TRUE
NM_000147	FUCA1	2517	ENSG00000179163	alpha-L-fucosidase 1	TRUE	TRUE	TRUE	TRUE
NM_000150	FUT6	2528	ENSG00000156413	fucosyltransferase 6	TRUE	TRUE	TRUE	TRUE
NM_000153	GALC	2581	ENSG00000054983	galactosylceramidase	TRUE	TRUE	TRUE	TRUE
NM_000156	GAMT	2593	ENSG00000130005	guanidinoacetate N-methyltransferase	TRUE	TRUE	TRUE	TRUE
NM_000158	GBE1	2632	ENSG00000114480	1,4-alpha-glucan branching enzyme 1	TRUE	TRUE	TRUE	TRUE
NM_000161	GCH1	2643	ENSG00000131979	GTP cyclohydrolase 1	TRUE	TRUE	TRUE	TRUE
NM_000164	GIPR	2696	ENSG00000010310	gastric inhibitory polypeptide receptor	TRUE	TRUE	TRUE	TRUE
NM_000167	GK	2710	ENSG00000198814	glycerol kinase	TRUE	TRUE	TRUE	TRUE
NM_000170	GLDC	2731	ENSG00000178445	glycine decarboxylase	TRUE	TRUE	TRUE	TRUE
NM_000173	GP1BA	2811	ENSG00000185245	glycoprotein Ib platelet subunit alpha	TRUE	TRUE	TRUE	TRUE
NM_000174	GP9	2815	ENSG00000169704	glycoprotein IX platelet	TRUE	TRUE	TRUE	TRUE
NM_000175	GPI	2821	ENSG00000105220	glucose-6-phosphate isomerase	TRUE	TRUE	TRUE	TRUE
NM_000175	GPI	2821	ENSG00000282019	glucose-6-phosphate isomerase	TRUE	TRUE	TRUE	TRUE
NM_000177	GSN	2934	ENSG00000148180	gelsolin	TRUE	TRUE	TRUE	TRUE
NM_000184	HBG2	3048	ENSG00000196565	hemoglobin subunit gamma 2	TRUE	TRUE	TRUE	TRUE
NM_000186	CFH	3075	ENSG00000000971	complement factor H	TRUE	TRUE	TRUE	TRUE
NM_000187	HGD	3081	ENSG00000113924	homogentisate 1,2-dioxygenase	TRUE	TRUE	TRUE	TRUE
NM_000189	HK2	3099	ENSG00000159399	hexokinase 2	TRUE	TRUE	TRUE	TRUE
NM_000190	HMBS	3145	ENSG00000256269	hydroxymethylbilane synthase	TRUE	TRUE	TRUE	TRUE
NM_000192	TBX5	6910	ENSG00000089225	T-box transcription factor 5	TRUE	TRUE	TRUE	TRUE
NM_000194	HPRT1	3251	ENSG00000165704	hypoxanthine phosphoribosyltransferase 1	TRUE	TRUE	TRUE	TRUE
NM_000208	INSR	3643	ENSG00000171105	insulin receptor	TRUE	TRUE	TRUE	TRUE
NM_000210	ITGA6	3655	ENSG00000091409	integrin subunit alpha 6	TRUE	TRUE	TRUE	TRUE
