source_feature_set	ENTREZID	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	n_refseq_features_for_entrez_in_input	pooled_rank	pooled_logFC	pooled_P.Value	pooled_adj.P.Val	Sri_Lanka_logFC	Sri_Lanka_adj.P.Val	United_States_logFC	United_States_adj.P.Val	all_three_concordant	stability_tier	recommended_use
site_aware_eligible_bacterial_higher	83999	KREMEN1	ENSG00000183762	kringle containing transmembrane protein 1	NM_001039570	2	46	2.09284144783977	4.31259134696329e-27	1.87494596408519e-24	2.16952352867676	2.71865625788185e-16	2.15199830018387	2.86526813314588e-08	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	6283	S100A12	ENSG00000163221	S100 calcium binding protein A12	NM_005621	1	82	2.31189566343272	3.57006179206776e-24	8.70703241214184e-22	2.22973879171599	5.41745727508259e-13	2.57998561078915	2.8397065281227e-08	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	762	CA4	ENSG00000167434	carbonic anhydrase 4	NR_137422	2	89	2.64325730659584	7.0980756603726e-24	1.5949934284471e-21	2.81416866651222	9.09374844206813e-16	2.63246463371614	5.46628976505366e-07	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	131540	ZDHHC19	ENSG00000163958	zinc finger DHHC-type palmitoyltransferase 19	NM_001039617	3	93	4.43643979087893	1.22581356530691e-23	2.63602639705085e-21	4.81792902057645	6.11058411748007e-16	4.06969036979201	3.5318645148876e-06	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	249	ALPL	ENSG00000162551	alkaline phosphatase, biomineralization associated	NM_001177520	3	108	2.48669449677871	1.35237618710708e-22	2.50427512647727e-20	2.50761003455918	2.48667423050668e-13	2.65525595537864	1.62447226920067e-07	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	706	TSPO	ENSG00000100300	translocator protein	NM_000714	4	114	1.43888946966934	3.26276309869372e-22	5.72385957989261e-20	1.32636432925456	1.43200974494161e-10	1.69770212539421	2.84690777765825e-08	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	8993	PGLYRP1	ENSG00000008438	peptidoglycan recognition protein 1	NM_005091	1	122	2.28338456408943	1.66817740883541e-21	2.72032937782745e-19	2.37298026371686	1.89422057194229e-13	2.30655480080793	1.74995009095689e-06	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	6279	S100A8	ENSG00000143546	S100 calcium binding protein A8	NM_001319196	5	123	1.79187334895363	1.67969005992619e-21	2.72032937782745e-19	1.83844103655869	7.80214246656229e-12	1.84034798940752	1.7442349241885e-07	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	660	BMX	ENSG00000102010	BMX non-receptor tyrosine kinase	NM_001721	3	124	2.48299077092359	1.68668854868045e-21	2.72032937782745e-19	2.54101944162657	1.25091424159912e-11	2.50179361754281	1.62447226920067e-07	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	4835	NQO2	ENSG00000124588	N-ribosyldihydronicotinamide:quinone dehydrogenase 2	NM_001318940	3	141	1.35968325195651	5.88062334812046e-21	8.34089264816035e-19	1.4072727117597	6.19614481596508e-12	1.40836886653368	1.18545938140739e-06	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	57126	CD177	ENSG00000204936	CD177 molecule	NM_020406	1	145	3.5652582353587	7.98256540998996e-21	1.10098845265096e-18	3.63867300986768	5.97833889854155e-12	3.64516630224193	8.88747792226928e-07	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	147699	PPM1N	ENSG00000213889	protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)	NM_001080401	1	146	2.34600307906814	9.83864446165054e-21	1.34769212731883e-18	2.62788460229375	6.75054755206604e-14	1.99215092235378	2.56369017312233e-05	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	5836	PYGL	ENSG00000100504	glycogen phosphorylase L	NM_002863	2	152	1.46142136220464	2.6716227043095e-20	3.51511726733458e-18	1.34688301044723	1.55486369805728e-09	1.71629316828008	4.61893848513587e-08	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	100131439	CD300LD	ENSG00000204345	CD300 molecule like family member d	NM_001115152	2	162	2.92917085408604	4.57537670118962e-20	5.64833078068465e-18	2.96834944832412	2.40171096520761e-11	3.06958073482992	9.14586142763684e-07	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	3613	IMPA2	ENSG00000141401	inositol monophosphatase 2	NM_014214	1	186	1.29975062426486	3.02586397262907e-19	3.25345449401122e-17	1.18893464074617	6.98023558943374e-09	1.57282791978035	5.91131269693614e-08	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	25906	ANAPC15	ENSG00000110200	anaphase promoting complex subunit 15	NM_001330321	1	194	1.32851102661365	9.01722501801238e-19	9.26284033739474e-17	1.58169497536412	1.93586534152592e-14	0.980051675460938	0.00139788075157092	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible_bacterial_higher	84649	DGAT2	ENSG00000062282	diacylglycerol O-acyltransferase 2	NM_032564	2	195	1.41319452152619	9.03172091500563e-19	9.26284033739474e-17	1.48082028007744	6.22428288732676e-11	1.4703763483972	2.06916251338369e-06	TRUE	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery
