feature_id	SYMBOL	ENTREZID	ENSEMBL	GENENAME	mapped_any	mapped_symbol	mapped_entrez	mapped_ensembl
NM_000060					FALSE	FALSE	FALSE	FALSE
NM_001242575					FALSE	FALSE	FALSE	FALSE
NM_001242713					FALSE	FALSE	FALSE	FALSE
NM_001242791					FALSE	FALSE	FALSE	FALSE
NM_001242804					FALSE	FALSE	FALSE	FALSE
NM_001256368					FALSE	FALSE	FALSE	FALSE
NM_001256795					FALSE	FALSE	FALSE	FALSE
NM_001291274					FALSE	FALSE	FALSE	FALSE
NM_001317033					FALSE	FALSE	FALSE	FALSE
NM_001318045					FALSE	FALSE	FALSE	FALSE
NM_001319291					FALSE	FALSE	FALSE	FALSE
NM_001322263					FALSE	FALSE	FALSE	FALSE
NM_001346813					FALSE	FALSE	FALSE	FALSE
NM_001347879					FALSE	FALSE	FALSE	FALSE
NM_001347880					FALSE	FALSE	FALSE	FALSE
NM_001348163					FALSE	FALSE	FALSE	FALSE
NM_001348164					FALSE	FALSE	FALSE	FALSE
NM_001348165					FALSE	FALSE	FALSE	FALSE
NM_001350578					FALSE	FALSE	FALSE	FALSE
NM_001351479					FALSE	FALSE	FALSE	FALSE
NM_001351480					FALSE	FALSE	FALSE	FALSE
NM_001365454					FALSE	FALSE	FALSE	FALSE
NM_006542					FALSE	FALSE	FALSE	FALSE
NM_020732					FALSE	FALSE	FALSE	FALSE
NM_182626					FALSE	FALSE	FALSE	FALSE
NM_207422					FALSE	FALSE	FALSE	FALSE
NR_003191					FALSE	FALSE	FALSE	FALSE
NR_015433					FALSE	FALSE	FALSE	FALSE
NR_024344					FALSE	FALSE	FALSE	FALSE
NR_027064					FALSE	FALSE	FALSE	FALSE
NR_027405					FALSE	FALSE	FALSE	FALSE
NR_028063					FALSE	FALSE	FALSE	FALSE
NR_029192					FALSE	FALSE	FALSE	FALSE
NR_033761					FALSE	FALSE	FALSE	FALSE
NR_033849					FALSE	FALSE	FALSE	FALSE
NR_033902					FALSE	FALSE	FALSE	FALSE
NR_033908					FALSE	FALSE	FALSE	FALSE
NR_036599					FALSE	FALSE	FALSE	FALSE
NR_036600					FALSE	FALSE	FALSE	FALSE
NR_038170					FALSE	FALSE	FALSE	FALSE
NR_045211					FALSE	FALSE	FALSE	FALSE
NR_046020					FALSE	FALSE	FALSE	FALSE
NR_049768					FALSE	FALSE	FALSE	FALSE
NR_073475					FALSE	FALSE	FALSE	FALSE
NR_073477					FALSE	FALSE	FALSE	FALSE
NR_073478					FALSE	FALSE	FALSE	FALSE
NR_073479					FALSE	FALSE	FALSE	FALSE
NR_125382					FALSE	FALSE	FALSE	FALSE
NR_134476					FALSE	FALSE	FALSE	FALSE
NR_148516					FALSE	FALSE	FALSE	FALSE
NR_156186					FALSE	FALSE	FALSE	FALSE
NR_158178					FALSE	FALSE	FALSE	FALSE
