feature_id	N
NM_001317335	2
NM_001317783	2
NM_001317889	2
NM_001317890	2
NM_001318505	2
NM_001318531	2
NM_001318762	7
NM_001318763	7
NM_001318908	7
NM_001318918	2
NM_001319292	2
NM_001320408	2
NM_001320409	2
NM_001320410	2
NM_001320458	2
NM_001320724	2
NM_001320766	2
NM_001320848	2
NM_001320849	2
NM_001321364	2
NM_001321365	2
NM_001321701	10
NM_001321702	10
NM_001321704	10
NM_001321705	10
NM_001321706	10
NM_001322168	32
NM_001322278	2
NM_001322279	2
NM_001323295	2
NM_001323296	2
NM_001324020	2
NM_001324021	2
NM_001324073	2
NM_001324076	2
NM_001324197	2
NM_001324198	2
NM_001329733	2
NM_001329857	2
NM_001329858	2
NM_001329903	2
NM_001329904	2
NM_001329905	2
NM_001329909	2
NM_001329910	2
NM_001329911	2
NM_001329976	2
NM_001330240	4
NM_001330244	4
NM_001330283	2
NM_001330284	2
NM_001330386	2
NM_001330387	2
NM_001330388	2
NM_001330389	2
NM_001330390	2
NM_001330465	2
NM_001330508	2
NM_001330650	10
NM_001334	2
NM_001346754	2
NM_001346755	2
NM_001346874	2
NM_001346876	2
NM_001346877	2
NM_001347684	2
NM_001348003	10
NM_001349440	2
NM_001349441	2
NM_001350213	2
NM_001350991	2
NM_001350992	2
NM_001350993	2
NM_001351669	2
NM_001351670	2
NM_001351671	2
NM_001351672	2
NM_001351733	2
NM_001351800	2
NM_001351967	2
NM_001351968	2
NM_001351970	2
NM_001351973	2
NM_001352000	4
NM_001352691	2
NM_001352692	2
NM_001352693	2
NM_001352769	4
NM_001353334	11
NM_001353795	2
NM_001354006	2
NM_001354008	2
NM_001354009	2
NM_001354012	2
NM_001354014	2
NM_001354346	2
NM_001354377	3
NM_001354587	2
NM_001354635	2
NM_001354636	2
NM_001354638	2
NM_001354768	2
NM_001354769	2
NM_001355197	2
NM_001359193	6
NM_001359194	6
NM_001362474	2
NM_001362475	2
NM_001362492	2
NM_001362493	2
NM_001362495	2
NM_001363072	2
NM_001363482	2
NM_001363572	2
NM_001363770	2
NM_001363805	4
NM_001364225	2
NM_001364226	2
NM_001364227	2
NM_001364228	2
NM_001364229	2
NM_001364230	2
NM_001364231	2
NM_001364232	2
NM_001364233	2
NM_001364234	2
NM_001364235	2
NM_001364236	2
NM_001364237	2
NM_001364238	2
NM_001364239	2
NM_001364240	2
NM_001364241	2
NM_001364242	2
NM_001364243	2
NM_001364244	2
NM_001364245	2
NM_001364246	2
NM_001364247	2
NM_001364248	2
NM_001364250	2
NM_001364251	2
NM_001364252	2
NM_001364253	2
NM_001364254	2
NM_001364255	2
NM_001364567	3
NM_001364568	3
NM_001364569	3
NM_001364570	3
NM_001364571	3
NM_001364572	3
NM_001364573	3
NM_001364948	2
NM_001365197	2
NM_001365276	8
NM_001365427	2
NM_001365693	2
NM_001366253	2
NM_001366254	2
NM_001366333	8
NM_001366993	2
NM_001366994	2
NM_001367834	2
NM_001368071	2
NM_001368072	2
NM_001467	2
NM_001488	2
NM_001491	2
NM_001517	6
NM_001533	2
NM_001572	2
NM_001700	2
NM_001710	7
NM_001715	2
NM_001733	2
NM_001817	2
NM_001925	2
NM_001928	2
NM_001970	2
NM_001972	2
NM_002000	12
NM_002001	2
NM_002119	7
NM_002120	6
NM_002123	7
NM_002124	6
NM_002161	2
NM_002167	2
NM_002183	2
NM_002186	2
NM_002207	2
NM_002255	41
NM_002263	4
NM_002288	4
NM_002336	2
NM_002339	2
NM_002346	2
NM_002441	8
NM_002487	2
NM_002538	2
NM_002544	2
NM_002615	2
NM_002777	2
NM_002847	2
NM_002854	2
NM_002873	2
NM_002983	3
NM_002984	3
NM_002985	2
NM_003051	2
NM_003185	2
NM_003190	5
NM_003196	2
NM_003282	2
NM_003311	2
NM_003313	2
NM_003420	2
NM_003429	2
NM_003584	2
NM_003585	2
NM_003612	2
NM_003626	2
NM_003642	2
NM_003693	2
NM_003705	2
NM_003742	2
NM_003747	2
NM_003816	2
NM_003890	2
NM_003897	6
NM_003970	2
NM_003985	2
NM_004029	2
NM_004031	2
NM_004084	2
NM_004112	2
NM_004169	2
NM_004174	2
NM_004209	2
NM_004225	2
NM_004344	2
NM_004420	4
NM_004483	2
NM_004522	2
NM_004542	10
NM_004557	7
NM_004590	2
NM_004667	3
NM_004668	2
NM_004747	2
NM_004773	2
NM_004829	16
NM_004979	2
NM_005006	2
NM_005018	2
NM_005064	2
NM_005147	2
NM_005155	8
NM_005217	2
NM_005218	2
NM_005231	2
NM_005232	2
NM_005293	3
NM_005316	2
NM_005346	5
NM_005417	2
NM_005435	2
NM_005465	2
NM_005484	2
NM_005520	2
NM_005527	5
NM_005532	2
NM_005618	2
NM_005638	2
NM_005826	2
NM_005849	2
NM_005940	2
NM_005979	2
NM_006084	2
NM_006138	2
NM_006149	2
NM_006177	2
NM_006322	2
NM_006353	2
NM_006389	2
NM_006447	2
NM_006737	37
NM_006761	2
NM_006778	8
NM_006806	2
NM_006865	4
NM_006875	2
NM_006987	3
NM_006989	2
NM_007026	2
NM_007105	2
NM_007109	7
NM_007216	2
NM_007218	2
NM_007293	4
NM_007365	2
NM_012084	2
NM_012115	2
NM_012124	2
NM_012230	2
NM_012234	2
NM_012257	2
NM_012276	4
NM_012312	13
NM_012314	33
NM_012330	2
NM_012331	2
NM_012387	2
NM_013239	4
NM_013289	32
NM_013302	2
NM_013329	2
NM_013337	3
NM_013386	2
NM_013417	2
NM_013450	2
NM_013937	8
NM_014005	2
NM_014141	2
NM_014218	34
NM_014219	13
NM_014234	6
NM_014322	2
NM_014512	12
NM_014513	9
NM_014606	2
NM_014638	2
NM_014740	2
NM_014783	2
NM_014789	2
NM_014812	2
NM_014867	2
NM_014921	2
NM_014967	2
NM_015251	2
NM_015348	2
NM_015515	2
NM_015525	2
NM_015565	2
NM_015590	2
NM_015868	31
NM_016049	2
NM_016058	2
NM_016150	2
NM_016175	2
NM_016283	2
NM_016363	10
NM_016441	2
NM_016631	2
NM_016632	4
NM_017411	3
NM_017544	2
NM_017586	2
NM_017661	2
NM_017759	2
NM_017762	2
NM_017767	2
NM_017807	2
NM_017827	2
NM_017852	10
NM_017884	3
NM_017894	2
NM_017906	2
NM_017948	2
NM_018119	2
NM_018140	2
NM_018154	2
NM_018167	2
NM_018238	2
NM_018257	2
NM_018341	2
NM_018361	2
NM_018427	2
NM_018429	3
NM_018455	2
NM_018651	2
NM_018833	8
NM_018834	2
NM_019101	7
NM_019105	8
NM_019119	2
NM_019839	2
NM_020056	8
NM_020152	2
NM_020188	2
NM_020223	4
NM_020242	2
NM_020414	2
NM_020469	2
NM_020535	8
NM_020664	2
NM_020675	2
NM_020699	2
NM_020790	8
NM_020795	2
NM_020862	2
NM_020865	2
NM_020897	2
NM_021006	4
NM_021077	2
NM_021178	2
NM_021205	2
NM_021238	2
NM_021250	5
NM_021270	4
NM_021920	2
NM_021967	5
NM_021983	3
NM_022110	4
NM_022147	2
NM_022151	2
NM_022166	2
NM_022463	3
NM_022555	3
NM_022874	5
NM_022875	3
NM_022876	3
NM_022877	3
NM_022892	3
NM_022968	5
NM_022978	3
NM_023072	2
NM_023112	2
NM_024308	2
NM_024318	5
NM_024783	2
NM_024907	2
NM_024909	7
NM_025109	2
NM_025190	2
NM_025258	6
NM_025259	8
NM_025260	7
NM_025261	7
NM_025262	7
NM_025263	7
NM_030570	2
NM_030634	2
NM_030640	2
NM_030652	7
NM_030766	2
NM_030791	2
NM_030807	2
NM_030907	2
NM_031283	2
NM_031415	2
NM_031439	2
NM_031483	2
NM_031909	2
NM_032026	2
NM_032144	2
NM_032160	2
NM_032261	2
NM_032470	8
NM_032490	2
NM_032575	2
NM_032856	2
NM_032862	2
NM_033201	2
NM_033276	2
NM_033281	2
NM_033445	2
NM_033543	2
NM_033655	3
NM_052828	8
NM_052903	3
NM_053279	2
NM_054028	2
NM_080745	2
NM_130463	7
NM_130842	2
NM_130843	2
NM_130849	2
NM_133269	12
NM_133271	12
NM_133272	12
NM_133273	12
NM_133274	12
NM_133277	12
NM_133278	12
NM_133338	2
NM_133339	2
NM_133340	2
NM_133341	2
NM_133342	2
NM_133343	2
NM_133344	2
NM_133439	2
NM_138272	7
NM_138273	7
NM_138274	7
NM_138275	7
NM_138277	7
NM_138282	7
NM_138360	2
NM_138367	2
NM_138412	10
NM_138476	2
NM_138565	2
NM_138704	2
NM_138717	8
NM_138722	2
NM_138723	2
NM_139177	2
NM_144599	2
NM_144600	2
NM_144638	2
NM_144686	10
NM_144691	2
NM_145029	7
NM_145043	2
NM_145044	2
NM_145060	2
NM_145249	2
NM_145252	2
NM_145283	2
NM_145350	2
NM_145649	2
NM_145655	2
NM_145865	2
NM_145867	2
NM_145897	2
NM_145898	2
NM_147130	8
NM_148169	2
NM_148886	2
NM_148918	2
NM_152271	2
NM_152283	2
NM_152332	2
NM_152346	2
NM_152490	2
