analysis_id	final_module_id	bacterial_n	viral_n	bootstrap_seed	requested_replicates	completed_replicates	ci_level	quantile_type	hl_bootstrap_mean	hl_bootstrap_sd	hl_bootstrap_minimum	hl_bootstrap_maximum	rank_biserial_bootstrap_mean	rank_biserial_bootstrap_sd	rank_biserial_bootstrap_minimum	rank_biserial_bootstrap_maximum
main_representative_all146_z_definite	BACT_M1	23	28	20260907	10000	10000	0.95	6	0.292271980369741	0.198616567026016	-0.510379677833207	1.26290544923014	0.285151863354037	0.15271735643528	-0.341614906832298	0.782608695652174
main_representative_all146_z_definite	BACT_M2	23	28	20260908	10000	10000	0.95	6	0.428227872264123	0.13554716883245	-0.0753711854662805	0.968656838506899	0.518981366459627	0.134338585562524	-0.0403726708074534	0.940993788819876
main_representative_all146_z_definite	VIR_M1a	23	28	20260909	10000	10000	0.95	6	-0.728358558005276	0.0793883701684154	-1.12507591105178	-0.426795658222031	-0.930810869565217	0.0680054213700501	-1	-0.590062111801242
main_representative_all146_z_definite	VIR_M1b	23	28	20260910	10000	10000	0.95	6	-0.959974255775341	0.125429004092479	-1.5575270562398	-0.511100440550851	-0.898448136645963	0.0680377102497297	-1	-0.552795031055901
main_representative_all146_z_definite	VIR_M2	23	28	20260911	10000	10000	0.95	6	-0.580464283518782	0.0524532282970944	-0.767673464463128	-0.369982832520408	-0.893825776397516	0.0753556562861404	-1	-0.515527950310559
primary_only_representative_51_z_definite	BACT_M1	23	28	20261007	10000	10000	0.95	6	0.29169697288298	0.203199259949024	-0.438134572937124	1.14185488487943	0.292051242236025	0.155363018806218	-0.338509316770186	0.795031055900621
primary_only_representative_51_z_definite	BACT_M2	23	28	20261008	10000	10000	0.95	6	0.407985571843722	0.131867306937841	-0.0265548063165873	0.9407450037348	0.496448136645963	0.135945404576655	-0.0217391304347826	0.934782608695652
primary_only_representative_51_z_definite	VIR_M1a	23	28	20261009	10000	10000	0.95	6	-0.717727005118657	0.0797745026399161	-1.06674168012126	-0.443159673488899	-0.935901242236025	0.0641589003398637	-1	-0.590062111801242
primary_only_representative_51_z_definite	VIR_M1b	23	28	20261010	10000	10000	0.95	6	-0.940375583089848	0.124785185976799	-1.46221302154366	-0.493150713425152	-0.89458447204969	0.0651794987766208	-1	-0.559006211180124
primary_only_representative_51_z_definite	VIR_M2	23	28	20261011	10000	10000	0.95	6	-0.568089510864899	0.0522510552903057	-0.769422764764279	-0.349639861557933	-0.902966770186335	0.0683122384757573	-1	-0.527950310559006
expanded_representative_all146_z_definite_probable	BACT_M1	40	35	20261107	10000	10000	0.95	6	0.21119273038632	0.169640068913578	-0.430118366677808	0.816784234009533	0.174294285714286	0.133115049404507	-0.357142857142857	0.641428571428572
expanded_representative_all146_z_definite_probable	BACT_M2	40	35	20261108	10000	10000	0.95	6	0.327421149719294	0.116231711575276	-0.128453784944214	0.724699198085474	0.382222	0.124959393065416	-0.11	0.782857142857143
expanded_representative_all146_z_definite_probable	VIR_M1a	40	35	20261109	10000	10000	0.95	6	-0.670712371289607	0.0772938231637545	-0.96652494438076	-0.377060723998777	-0.808323428571429	0.0832110219185115	-1	-0.404285714285714
expanded_representative_all146_z_definite_probable	VIR_M1b	40	35	20261110	10000	10000	0.95	6	-0.897962599862638	0.11693137701763	-1.40136207144794	-0.396706464146751	-0.773341428571429	0.0851323580223788	-0.99	-0.397142857142857
expanded_representative_all146_z_definite_probable	VIR_M2	40	35	20261111	10000	10000	0.95	6	-0.494995429945281	0.0501484758496579	-0.667154988173924	-0.273307814355182	-0.802334857142857	0.0750745141351885	-0.997142857142857	-0.471428571428571
all_probe_mean_all146_z_definite	BACT_M1	23	28	20261207	10000	10000	0.95	6	0.32817546180103	0.206243223968571	-0.389751091702119	1.20412982934731	0.320866459627329	0.154083374507831	-0.304347826086957	0.835403726708075
all_probe_mean_all146_z_definite	BACT_M2	23	28	20261208	10000	10000	0.95	6	0.394514117395847	0.133075868423322	-0.100913581206561	0.85303050691478	0.472294720496894	0.139132444548915	-0.12111801242236	0.885093167701863
all_probe_mean_all146_z_definite	VIR_M1a	23	28	20261209	10000	10000	0.95	6	-0.707696860414417	0.0794436468394851	-1.10091865503311	-0.398694581337238	-0.931531366459627	0.0679044428592553	-1	-0.571428571428571
all_probe_mean_all146_z_definite	VIR_M1b	23	28	20261210	10000	10000	0.95	6	-0.93978604789507	0.125095776543368	-1.50090046215078	-0.387278289983298	-0.888068944099379	0.0724488484573375	-1	-0.518633540372671
all_probe_mean_all146_z_definite	VIR_M2	23	28	20261211	10000	10000	0.95	6	-0.583700252720193	0.0510788797032144	-0.753574103126816	-0.366303914426131	-0.885827639751553	0.0773736084368018	-1	-0.503105590062112
