analysis_id	analysis_role	scoring_representation	z_reference_population	module_count	direction_retained_modules	nominally_significant_modules	fdr_significant_modules	hodges_lehmann_ci_excluding_zero_modules	rank_biserial_ci_excluding_zero_modules	minimum_hodges_lehmann_shift	maximum_hodges_lehmann_shift	minimum_rank_biserial_effect	maximum_rank_biserial_effect
main_representative_all146_z_definite	primary	representative_probe_all146_z	All 146 GSE72810 samples	5	5	4	4	4	4	-0.941263770728306	0.425455360908241	-0.93167701863354	0.518633540372671
primary_only_representative_51_z_definite	z_reference_sensitivity	representative_probe_primary51_z	51 definite bacterial and viral samples	5	5	4	4	4	4	-0.918024125773008	0.402687510722226	-0.934782608695652	0.493788819875777
expanded_representative_all146_z_definite_probable	expanded_case_definition_sensitivity	representative_probe_all146_z	All 146 GSE72810 samples	5	5	4	4	4	4	-0.885132610682786	0.33071425567932	-0.808571428571429	0.385714285714286
all_probe_mean_all146_z_definite	probe_collapse_sensitivity	all_authorized_probe_mean_all146_z	All 146 GSE72810 samples	5	5	4	4	5	5	-0.923423150146219	0.385915696361307	-0.93167701863354	0.472049689440994
