analysis_id	final_module_id	analysis_role	scoring_representation	z_reference_population	bacterial_categories	viral_categories	final_module_label	expected_direction_raw	expected_direction	observed_direction	direction_retained	bacterial_n	viral_n	mean_bacterial	mean_viral	mean_difference_bacterial_minus_viral	median_bacterial	median_viral	median_difference_bacterial_minus_viral	hodges_lehmann_shift_bacterial_minus_viral	hodges_lehmann_ci_low	hodges_lehmann_ci_high	hodges_lehmann_ci_excludes_zero	wilcoxon_u	rank_biserial_effect	rank_biserial_ci_low	rank_biserial_ci_high	rank_biserial_ci_excludes_zero	wilcoxon_p	bootstrap_ci_method	bootstrap_ci_level	bootstrap_quantile_type	bootstrap_seed	bootstrap_replicates_completed	wilcoxon_q	nominal_significant	fdr_significant	reference_bacterial_n	reference_viral_n	reference_mean_bacterial	reference_mean_viral	reference_mean_difference	reference_median_bacterial	reference_median_viral	reference_median_difference	reference_wilcoxon_u	reference_rank_biserial	reference_wilcoxon_p	reference_wilcoxon_q	reference_observed_direction	reference_direction_retained	reference_nominal_significant	reference_fdr_significant	bacterial_n_matches_reference	viral_n_matches_reference	mean_bacterial_abs_difference	mean_viral_abs_difference	mean_difference_abs_difference	median_bacterial_abs_difference	median_viral_abs_difference	median_difference_abs_difference	wilcoxon_u_abs_difference	rank_biserial_abs_difference	wilcoxon_p_abs_difference	wilcoxon_q_abs_difference	observed_direction_matches_reference	direction_retained_matches_reference	nominal_significance_matches_reference	fdr_significance_matches_reference
main_representative_all146_z_definite	BACT_M1	primary	representative_probe_all146_z	All 146 GSE72810 samples	Definite Bacterial	Definite Viral	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	higher_in_bacterial	higher_in_bacterial	TRUE	23	28	0.25557145532804	-0.0601126424363636	0.315684097764404	0.266969273671569	-0.251398759080015	0.518368032751584	0.265690108659873	-0.0241750409031892	0.722437228612692	FALSE	415	0.288819875776398	-0.0217391304347826	0.571428571428571	FALSE	0.0799447959260528	Stratified nonparametric percentile bootstrap; 10000 replicates	0.95	6	20260907	10000	0.0799447959260528	FALSE	FALSE	23	28	0.25557145532804	-0.0601126424363633	0.315684097764403	0.266969273671569	-0.251398759080015	0.518368032751584	415	0.288819875776398	0.0799447959260528	0.0799447959260528	higher_in_bacterial	TRUE	FALSE	FALSE	TRUE	TRUE	5.55111512312578e-17	2.84494650060196e-16	5.55111512312578e-16	0	5.55111512312578e-17	1.11022302462516e-16	0	4.44089209850063e-16	2.77555756156289e-17	2.77555756156289e-17	TRUE	TRUE	TRUE	TRUE
main_representative_all146_z_definite	BACT_M2	primary	representative_probe_all146_z	All 146 GSE72810 samples	Definite Bacterial	Definite Viral	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	higher_in_bacterial	higher_in_bacterial	TRUE	23	28	0.400895048129582	-0.0401668392263091	0.441061887355891	0.352802825302284	-0.0701323586989745	0.422935184001258	0.425455360908241	0.161149713818264	0.676441760332897	TRUE	489	0.518633540372671	0.236024844720497	0.760869565217391	TRUE	0.00162260907260411	Stratified nonparametric percentile bootstrap; 10000 replicates	0.95	6	20260908	10000	0.00202826134075514	TRUE	TRUE	23	28	0.400895048129582	-0.0401668392263094	0.441061887355891	0.352802825302284	-0.0701323586989744	0.422935184001258	489	0.518633540372671	0.00162260907260411	0.00202826134075514	higher_in_bacterial	TRUE	TRUE	TRUE	TRUE	TRUE	2.77555756156289e-16	3.19189119579733e-16	2.22044604925031e-16	0	5.55111512312578e-17	4.44089209850063e-16	0	2.22044604925031e-16	3.25260651745651e-18	1.30104260698261e-18	TRUE	TRUE	TRUE	TRUE
main_representative_all146_z_definite	VIR_M1a	primary	representative_probe_all146_z	All 146 GSE72810 samples	Definite Bacterial	Definite Viral	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	higher_in_viral	higher_in_viral	TRUE	23	28	-0.37581420072442	0.362736656338743	-0.738550857063164	-0.370451779543252	0.317450169622046	-0.687901949165298	-0.725903709842063	-0.906625603185135	-0.576921708481176	TRUE	22	-0.93167701863354	-1	-0.785714285714286	TRUE	1.4323575200407e-08	Stratified nonparametric percentile bootstrap; 10000 replicates	0.95	6	20260909	10000	7.1617876002035e-08	TRUE	TRUE	23	28	-0.37581420072442	0.362736656338743	-0.738550857063163	-0.370451779543252	0.317450169622046	-0.687901949165297	22	-0.93167701863354	1.4323575200407e-08	7.1617876002035e-08	higher_in_viral	TRUE	TRUE	TRUE	TRUE	TRUE	1.11022302462516e-16	3.33066907387547e-16	4.44089209850063e-16	0	4.44089209850063e-16	5.55111512312578e-16	0	3.33066907387547e-16	6.61744490042422e-24	2.64697796016969e-23	TRUE	TRUE	TRUE	TRUE
main_representative_all146_z_definite	VIR_M1b	primary	representative_probe_all146_z	All 146 GSE72810 samples	Definite Bacterial	Definite Viral	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	higher_in_viral	higher_in_viral	TRUE	23	28	-0.451594273881825	0.521361832054785	-0.97295610593661	-0.493915608845421	0.411279200842378	-0.905194809687799	-0.941263770728306	-1.20105879662647	-0.752210632476298	TRUE	33	-0.897515527950311	-1	-0.745341614906832	TRUE	4.72801153263495e-08	Stratified nonparametric percentile bootstrap; 10000 replicates	0.95	6	20260910	10000	8.76530992431096e-08	TRUE	TRUE	23	28	-0.451594273881825	0.521361832054785	-0.97295610593661	-0.493915608845421	0.411279200842378	-0.9051948096878	33	-0.897515527950311	4.72801153263495e-08	8.76530992431096e-08	higher_in_viral	TRUE	TRUE	TRUE	TRUE	TRUE	1.66533453693773e-16	1.11022302462516e-16	3.33066907387547e-16	0	0	8.88178419700125e-16	0	4.44089209850063e-16	4.63221143029696e-23	3.97046694025453e-23	TRUE	TRUE	TRUE	TRUE
main_representative_all146_z_definite	VIR_M2	primary	representative_probe_all146_z	All 146 GSE72810 samples	Definite Bacterial	Definite Viral	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	higher_in_viral	higher_in_viral	TRUE	23	28	-0.328085073192971	0.230195069608623	-0.558280142801594	-0.309498826489168	0.237677041357402	-0.54717586784657	-0.57637662297482	-0.68230049085019	-0.475036953058481	TRUE	34	-0.894409937888199	-1	-0.72360248447205	TRUE	5.25918595458657e-08	Stratified nonparametric percentile bootstrap; 10000 replicates	0.95	6	20260911	10000	8.76530992431096e-08	TRUE	TRUE	23	28	-0.328085073192971	0.230195069608623	-0.558280142801594	-0.309498826489168	0.237677041357401	-0.54717586784657	34	-0.894409937888199	5.25918595458657e-08	8.76530992431096e-08	higher_in_viral	TRUE	TRUE	TRUE	TRUE	TRUE	3.33066907387547e-16	5.55111512312578e-17	3.33066907387547e-16	0	4.9960036108132e-16	5.55111512312578e-16	0	2.22044604925031e-16	3.30872245021211e-23	3.97046694025453e-23	TRUE	TRUE	TRUE	TRUE
primary_only_representative_51_z_definite	BACT_M1	z_reference_sensitivity	representative_probe_primary51_z	51 definite bacterial and viral samples	Definite Bacterial	Definite Viral	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	higher_in_bacterial	higher_in_bacterial	TRUE	23	28	0.170155954023383	-0.139770962233494	0.309926916256877	0.183087395296933	-0.32670762628659	0.509795021583523	0.258984965967633	-0.0336142354921305	0.723280413174123	FALSE	416	0.291925465838509	-0.0279503105590062	0.583850931677019	FALSE	0.0767377582992696	Stratified nonparametric percentile bootstrap; 10000 replicates	0.95	6	20261007	10000	0.0767377582992696	FALSE	FALSE	23	28	0.170155954023383	-0.139770962233494	0.309926916256877	0.183087395296933	-0.32670762628659	0.509795021583523	416	0.291925465838509	0.0767377582992696	0.0767377582992696	higher_in_bacterial	TRUE	FALSE	FALSE	TRUE	TRUE	1.94289029309402e-16	2.22044604925031e-16	5.55111512312578e-17	0	0	0	0	3.33066907387547e-16	2.77555756156289e-17	2.77555756156289e-17	TRUE	TRUE	TRUE	TRUE
primary_only_representative_51_z_definite	BACT_M2	z_reference_sensitivity	representative_probe_primary51_z	51 definite bacterial and viral samples	Definite Bacterial	Definite Viral	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	higher_in_bacterial	higher_in_bacterial	TRUE	23	28	0.230937167720157	-0.189698387770128	0.420635555490285	0.205184523769586	-0.21682516494473	0.422009688714316	0.402687510722226	0.146702554067744	0.657020790023449	TRUE	481	0.493788819875777	0.214285714285714	0.745341614906832	TRUE	0.00269648958596559	Stratified nonparametric percentile bootstrap; 10000 replicates	0.95	6	20261008	10000	0.00337061198245698	TRUE	TRUE	23	28	0.230937167720157	-0.189698387770128	0.420635555490285	0.205184523769586	-0.21682516494473	0.422009688714316	481	0.493788819875777	0.00269648958596559	0.00337061198245698	higher_in_bacterial	TRUE	TRUE	TRUE	TRUE	TRUE	1.11022302462516e-16	1.38777878078145e-16	0	0	4.9960036108132e-16	4.44089209850063e-16	0	4.9960036108132e-16	2.60208521396521e-18	4.77048955893622e-18	TRUE	TRUE	TRUE	TRUE
primary_only_representative_51_z_definite	VIR_M1a	z_reference_sensitivity	representative_probe_primary51_z	51 definite bacterial and viral samples	Definite Bacterial	Definite Viral	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	higher_in_viral	higher_in_viral	TRUE	23	28	-0.400246825895426	0.3287741784141	-0.729021004309525	-0.389192742575468	0.282495570160544	-0.671688312736012	-0.710095212704151	-0.899715084985416	-0.571639885330443	TRUE	21	-0.934782608695652	-1	-0.795031055900621	TRUE	1.28231568693972e-08	Stratified nonparametric percentile bootstrap; 10000 replicates	0.95	6	20261009	10000	6.41157843469859e-08	TRUE	TRUE	23	28	-0.400246825895426	0.3287741784141	-0.729021004309525	-0.389192742575468	0.282495570160543	-0.671688312736011	21	-0.934782608695652	1.28231568693972e-08	6.41157843469859e-08	higher_in_viral	TRUE	TRUE	TRUE	TRUE	TRUE	3.88578058618805e-16	3.88578058618805e-16	2.22044604925031e-16	0	4.9960036108132e-16	4.44089209850063e-16	0	2.22044604925031e-16	2.9778502051909e-23	3.97046694025453e-23	TRUE	TRUE	TRUE	TRUE
primary_only_representative_51_z_definite	VIR_M1b	z_reference_sensitivity	representative_probe_primary51_z	51 definite bacterial and viral samples	Definite Bacterial	Definite Viral	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	higher_in_viral	higher_in_viral	TRUE	23	28	-0.524837341177113	0.431116387395485	-0.955953728572598	-0.575933500818214	0.325924173901923	-0.901857674720137	-0.918024125773008	-1.18050146957172	-0.730890236335543	TRUE	34	-0.894409937888199	-1	-0.745341614906832	TRUE	5.25918595458657e-08	Stratified nonparametric percentile bootstrap; 10000 replicates	0.95	6	20261010	10000	8.76530992431096e-08	TRUE	TRUE	23	28	-0.524837341177112	0.431116387395485	-0.955953728572597	-0.575933500818214	0.325924173901922	-0.901857674720136	34	-0.894409937888199	5.25918595458657e-08	8.76530992431096e-08	higher_in_viral	TRUE	TRUE	TRUE	TRUE	TRUE	5.55111512312578e-16	3.88578058618805e-16	9.99200722162641e-16	0	4.9960036108132e-16	5.55111512312578e-16	0	2.22044604925031e-16	3.30872245021211e-23	3.97046694025453e-23	TRUE	TRUE	TRUE	TRUE
primary_only_representative_51_z_definite	VIR_M2	z_reference_sensitivity	representative_probe_primary51_z	51 definite bacterial and viral samples	Definite Bacterial	Definite Viral	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	higher_in_viral	higher_in_viral	TRUE	23	28	-0.300538281559604	0.246870731281104	-0.547409012840708	-0.293605042946238	0.246919424558311	-0.540524467504549	-0.570241695159428	-0.661968118781906	-0.455928545802265	TRUE	31	-0.903726708074534	-1	-0.745419254658384	TRUE	3.81719894907414e-08	Stratified nonparametric percentile bootstrap; 10000 replicates	0.95	6	20261011	10000	8.76530992431096e-08	TRUE	TRUE	23	28	-0.300538281559604	0.246870731281104	-0.547409012840708	-0.293605042946238	0.246919424558311	-0.540524467504549	31	-0.903726708074534	3.81719894907414e-08	8.76530992431096e-08	higher_in_viral	TRUE	TRUE	TRUE	TRUE	TRUE	2.22044604925031e-16	4.9960036108132e-16	2.22044604925031e-16	0	0	1.11022302462516e-16	0	1.11022302462516e-16	0	3.97046694025453e-23	TRUE	TRUE	TRUE	TRUE
