feature_id	pooled_rank	pooled_logFC	pooled_AveExpr	pooled_t	pooled_P.Value	pooled_adj.P.Val	pooled_B	Sri_Lanka_rank	Sri_Lanka_logFC	Sri_Lanka_P.Value	Sri_Lanka_adj.P.Val	United_States_rank	United_States_logFC	United_States_P.Value	United_States_adj.P.Val	pooled_direction	Sri_Lanka_direction	United_States_direction	pooled_Sri_Lanka_concordant	pooled_United_States_concordant	Sri_Lanka_United_States_concordant	all_three_concordant	pooled_FDR05	pooled_FDR10	Sri_Lanka_FDR05	United_States_FDR05	site_FDR05_count	site_direction_concordance_count	min_abs_site_logFC	mean_abs_site_logFC	stability_tier	recommended_use	bacterial_higher_stable	viral_higher_stable
NM_001301409	3549	-1.04528609090814	-0.620739934691265	-4.3469615075811	2.06146354996866e-05	0.000116165707342415	2.04096389922263	3458	-1.29331652490033	7.10940789213875e-05	0.000411165553600008	7711	-0.816131954242286	0.0310152531077059	0.0804401565167954	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	1	3	0.816131954242286	1.05472423957131	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001303035	3550	0.840882431308952	-0.506451901658272	4.34685299875193	2.06240654734734e-05	0.000116186108564505	2.04052947564804	3974	0.982994958377795	0.000156453015882929	0.000787235796221228	7599	0.693165993796416	0.0291597107233761	0.0767412143703239	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	1	3	0.693165993796416	0.838080476087106	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_001130851	3551	1.31842877408834	-1.70348241302226	4.34607937252522	2.06914174492431e-05	0.000116532711227095	2.03743246941906	1477	1.99388925108221	3.58335015224108e-07	4.85195800234729e-06	14686	0.433035881303007	0.39263011344668	0.534641958525263	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	1	3	0.433035881303007	1.21346256619261	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NR_024110	3552	-1.03546834957277	0.128509231177503	-4.34512976503737	2.07743785218532e-05	0.000116943192814717	2.03363160896218	4751	-1.11875725382258	0.000406526805449088	0.00171117275860083	5841	-1.01083184299853	0.00946349181856535	0.0324020497996043	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	1.01083184299853	1.06479454841056	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NR_146921	3553	-1.48651309242439	-2.5642883465781	-4.34506923355564	2.07796775580352e-05	0.000116943192814717	2.03338935201435	7652	-1.25207622559403	0.00561243458077031	0.014668463039836	2499	-2.01327726452385	0.000324075935704131	0.00259351526136331	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	1.25207622559403	1.63267674505894	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001173464	3554	-1.11175888018518	-2.37814490600688	-4.34504448510589	2.0781844455398e-05	0.000116943192814717	2.03329030547241	6274	-1.04663038808137	0.00192442391390492	0.00613429293181135	4388	-1.29226448233216	0.00290837109061464	0.0132553585782138	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	1.04663038808137	1.16944743520677	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001346509	3555	-0.819153374231768	-1.75851327738271	-4.34468907452674	2.08129869926864e-05	0.000117085492789518	2.03186795855168	2773	-1.07889769688342	2.00023734211056e-05	0.000144258011557408	12026	-0.416616575921957	0.191004109654435	0.317636054297277	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	1	3	0.416616575921957	0.747757136402688	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NR_040085	3556	-0.66124339379825	2.99680425918271	-4.3436126838312	2.09075778020386e-05	0.000117584546811859	2.0275608644998	11215	-0.399705299042016	0.0532783897792	0.09500798191656	842	-1.12137179425507	5.20598351520241e-06	0.000123651382803483	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	1	3	0.399705299042016	0.760538546648543	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001353630	3557	-0.697533744083691	-0.856997346514189	-4.34326126386363	2.09385488964294e-05	0.000117725622541381	2.02615488092897	5867	-0.694358323075689	0.00131045446520182	0.00446698122542547	4866	-0.777211288145807	0.00439154165414931	0.018047256883683	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	0.694358323075689	0.735784805610748	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001005335	3558	0.901381540576772	5.58494085411494	4.34203173444649	2.10472552294606e-05	0.00011830355742945	2.02123646095249	3949	1.06942582334447	0.000152358640860451	0.000771592924428505	8814	0.619963734606308	0.0552987129179222	0.125472992925519	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	1	3	0.619963734606308	0.844694778975389	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_003190	3559	0.873013809167416	7.60095326964656	4.34122019096853	2.11193022105529e-05	0.0001186359258363	2.01799073541566	6895	0.813665288963474	0.00322246810601609	0.00934535907310073	3662	0.986996217711888	0.00140283369259185	0.00765928799694454	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	0.813665288963474	0.900330753337681	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_144973	3560	-0.804819058327826	-0.415541236907329	-4.34120707453632	2.11204685956602e-05	0.0001186359258363	2.01793828116483	9505	-0.583906128677256	0.0197998082743042	0.0416597964942463	2061	-1.1396697343377	0.000160988951116052	0.00156216304384761	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	0.583906128677256	0.861787931507478	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001349170	3561	-0.642597269395045	0.53268445932092	-4.34116531150889	2.11241828042935e-05	0.0001186359258363	2.01777126649801	8184	-0.529758024649316	0.00819736575604173	0.020031661504775	2820	-0.866291766982522	0.000506830716387333	0.00359382342212175	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	0.529758024649316	0.698024895815919	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001037165	3562	-0.692654357726514	3.81443240605445	-4.3409746291187	2.11411491588472e-05	0.000118697878166139	2.01700872523402	2310	-0.970948839191719	6.40306352003487e-06	5.54350075052716e-05	10602	-0.402789181228546	0.118406995666011	0.223356112650872	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	1	3	0.402789181228546	0.686869010210133	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001303499	3563	0.600710414241961	7.31793882049548	4.33974844957773	2.12505633073066e-05	0.000119278702100147	2.01210589758297	6902	0.571432058026589	0.00322680842174557	0.00934989012264412	4467	0.635378992241815	0.00314117260454642	0.0140615959057725	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	0.571432058026589	0.603405525134202	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_001290142	3564	-0.68326262443934	1.42416199624196	-4.33859029878637	2.13544051949422e-05	0.000119827931956691	2.00747616046264	11454	-0.390608494323389	0.0606331359463481	0.105867128146588	941	-1.19014888443895	7.85165327051041e-06	0.000166870577850093	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	1	3	0.390608494323389	0.79037868938117	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001322376	3565	0.788864495031367	2.1658346250684	4.33625247581636	2.15655016690594e-05	0.000120978532364521	1.99813385220505	5741	0.762146603082572	0.00117536903627166	0.00409444440975387	5611	0.840293651645537	0.00790967376452971	0.028192045199934	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	0.762146603082572	0.801220127364054	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_001261459	3566	-0.908966928748019	-1.56662925482119	-4.33547842097878	2.16358353430881e-05	0.000121296309571034	1.99504155009232	4108	-1.06725540258288	0.000183528850586296	0.000893474557661962	7619	-0.738998186913051	0.0294029955148364	0.0771794864550747	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	1	3	0.738998186913051	0.903126794747966	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_024871	3567	1.0870919466335	-0.0792729381513588	4.3354387427842	2.1639446574915e-05	0.000121296309571034	1.99488305075065	3254	1.33878887914993	5.04859624690112e-05	0.000310285422070607	8578	0.810072509072437	0.0495644977411669	0.115556119179948	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	1	3	0.810072509072437	1.07443069411118	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
