check_id	supplementary_item	pass	observed_rows	expected_rows	source_file	sha256
Q01	S6A	TRUE	1	1	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_candidate_validation_decision.tsv	01e23c33f749ebcc2fd70a21e62f1f8c7c1d780b9dd779c0ff07d76ea76f48a8
Q02	S6B	TRUE	6	6	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_sample_group_summary.tsv	b4e50ba838f59523c70ce566688072a7fa0999e402f6ba1705d08753a8756b59
Q03	S6C	TRUE	40	40	results/revision_round1/GSE72810_fixed_module_projection/GSE72810_analysis_group_summaries.tsv	a7716b41749d2b49ba1335161b635bb65c6ae8c38375d4693f979da3bf0515b4
Q04	S6D	TRUE	5	5	results/revision_round1/GSE72810_GSE73461_overlap_independence_audit/GSE72810_GSE73461_independence_dimension_assessment.tsv	2c8b0487e1d0551d50d7ef35bf67e6d8b7b863d72ada07aa7ff70fc26ad2283d
Q05	S7A	TRUE	1	1	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_entrez_reconciliation_decision.tsv	adf754c17fd42e8bb6779b844f882658986e0616de78a03fc0199af7e3f86bef
Q06	S7B	TRUE	5	5	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_locked_module_coverage_entrez_reconciled.tsv	3dd942be5007a03a09b9cc3fb856472bd0e955683f86c1a817d6bd336974fa5e
Q07	S7C	TRUE	313	313	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_locked_module_gene_mapping_entrez_reconciled.tsv	7117565dc7b1e18e7a3032afc957cf0fb8ac535eae7914be4df4a92afaa14de2
Q08	S7D	TRUE	256	256	results/revision_round1/GSE72810_probe_rule_design/GSE72810_frozen_representative_probe_choices.tsv	f8786f749f229a65158f0ba5f62fa10bfa75e1adc3dc837ccbd1078f12f7d6f1
Q09	S8A	TRUE	1715	1715	results/revision_round1/GSE72810_fixed_module_projection/GSE72810_module_scores_long.tsv	57c9c40d2b899061f61b3c595857f286f2e49e656f72ed2814aee2e665eed469
Q10	S8B	TRUE	20	20	results/revision_round1/GSE72810_fixed_module_projection/GSE72810_primary_and_sensitivity_tests.tsv	826e5868107052da8a1e015a34af342e632097925260ee01b1c02f37d9cd4a30
Q11	S8C	TRUE	20	20	results/revision_round1/GSE72810_effect_sizes_confidence_intervals/GSE72810_effect_sizes_confidence_intervals.tsv	13f43d885b110d3a5a1fc9d5232136e81d1b53c400bd2e4552cafea646a98811
Q12	S8D	TRUE	10	10	results/revision_round1/GSE72810_fixed_module_projection/GSE72810_score_concordance.tsv	dafb8b2ba2d30e03d632f20207016196bcfe1a5583189c0b0cdb7f179363b25d
Q13	S9A	TRUE	10	10	results/revision_round1/GSE73461_GSE72810_cross_cohort_validation/GSE73461_GSE72810_primary_effect_size_source_data.tsv	b6882132ed4235d7f8545255cb3827934bed72a944c5477365b0ef590d4f7965
Q14	S9B	TRUE	5	5	results/revision_round1/GSE73461_GSE72810_cross_cohort_validation/GSE73461_GSE72810_cross_cohort_summary_table.tsv	c69a4a84ea0cc5b85e8cd76b92e04cebee8dd54c5c8ae013c8c5631fe1c5953c
Q15	S10A	TRUE	10	10	results/revision_round1/GSE73461_GSVA_projection_comparison/GSE73461_GSVA_primary_projection_effects.tsv	70dc13898127ca8ecc4c79b601d528b6b7ba8c23f9dc83974c4b6bd7c1d9ed6c
Q16	S10B	TRUE	10	10	results/revision_round1/GSE73461_GSVA_projection_comparison/GSE73461_GSVA_vs_mean_z_correlations.tsv	d9ff92e0de9b9d1c08666e41463cad63c349db6c0e2ee3109762eb878fe4aec7
Q17	S10C	TRUE	20	20	results/revision_round1/GSE73461_leave_one_two_gene_robustness/GSE73461_leave_one_two_gene_summary.tsv	6705453c24d72d069e7f28275416b6540709a2df9061e6606fe498727dc88d9c
Q18	S10D	TRUE	100	100	results/revision_round1/GSE73461_leave_one_two_gene_robustness/GSE73461_leave_one_two_gene_worst_case_variants.tsv	4c59bf27c745eedabc18600316d4eacd1a46fffb20a7a9de434b92a33571b192
Q19	S10E	TRUE	29826	29826	results/revision_round1/GSE73461_leave_one_two_gene_robustness/GSE73461_leave_one_two_gene_variant_results.tsv	f2f311ccd0f54b9a966bca0bc608a2111c72643f73d5c89a45a6dc5c8aca4444
