module_direction	provisional_module_id	provisional_module_label	evidence_grade	interpretation_status	candidate_GO_groups	total_GO_terms	FDR05_GO_terms	unique_overlap_genes_across_groups	best_FDR	representative_terms	representative_GO_ids	top_symbols_union	review_decision_tier	review_decision_rationale	final_claim_status	primary_module_key
higher_in_bacterial	Bacterial_higher_translation_ribosomal_programme	Cytoplasmic translation / ribosomal protein programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	1	2	2	25	3.38676488373384e-07	cytoplasmic translation	GO:0002181	RPS15A;RPS3A;RPS9;RPL27;RPL26L1;RPLP0;RPS7;RPL23;RPS27;RPL15;RPL9;RPL31;RPL17;RPL34;RPS24;RPL29;MRPL22;RPS4Y1;MRPL13;MRPS18C;UBA52;RPL26;MRPS11;EIF4EBP2;HYDIN2	primary_candidate_module	Compact and coherent bacterial-higher translation/ribosomal programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	higher_in_bacterial | Bacterial_higher_translation_ribosomal_programme | Cytoplasmic translation / ribosomal protein programme | A_strong_GO_support
higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	1	4	4	21	0.00668877450834312	mitochondrial respiratory chain complex I assembly	GO:0032981	NDUFB1;NDUFA4;ATP5MF;NDUFC2;ATP5ME;NDUFAF1;NDUFB3;NDUFAF8;MDH2;NDUFA3;ATP5F1A;NDUFAF2;NDUFS4;NDUFAF7;TMEM186;MTFR2;TMEM126A;NDUFAF6;CAT;SLC25A14;NDUFV3	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support
higher_in_viral	Viral_higher_antiviral_interferon_programme	Antiviral / interferon-response programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	1	3	3	128	1.07328337969612e-06	defense response to virus	GO:0051607	IFI27;IFIT1;OAS2;RSAD2;AXL;OAS3;CCL8;IFIT2;IFI44L;MX1;IFIT3;OASL;TRIM14;ISG15;IFI44;HERC5;EIF2AK2;ZBP1;DHX58;OAS1;TRIM5;SAMD9;TLR7;IFIT5;DDX60;RIGI;IFIH1;MX2;NT5C3A;RTP4;DEFB1;TREX1;IRF7;TLR3;BCL2;MOV10;PMAIP1;TRIM6;STAT2;SRC	primary_candidate_module	Coherent viral-higher antiviral/interferon programme with strong/moderate GO support and recognizable overlap genes.	eligible_for_primary_manual_biological_review_not_final_claim	higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support
higher_in_viral	Viral_higher_cytokine_innate_immune_regulation_programme	Cytokine and innate immune regulation programme	B_moderate_GO_support	candidate_module_ready_for_manual_biological_review	3	3	3	106	0.000537965439937907	regulation of cytokine production | immune response | positive regulation of macrophage cytokine production	GO:0001817;GO:0006955;GO:0060907	BTN2A2;BTN3A1;ELF1;JPH4;ICOSLG;SOCS1;PATZ1;ZBTB39;HIC2;GATA3;BTN2A3P;ZBTB25;ZBTB1;ZNF131;ZBTB20;CASP8;ZBTB26;ZNF134;ZBTB6;ZBTB33;IGF2BP3;ZNF572;ZBTB49;ZBTB2;ZBTB37;ERMAP;BTN2A1;IFI44L;IFI44;CMKLR1;LIF;DEFB1;TNFSF10;SMAD3;IL7R;TRIM22;TNFSF8;CCR1;CYSLTR2;IFI6;CCR3;CCR9;CD80;CCL28;IL1RN;CTSL;TCF7;CCR7;CD1D;ETS1	primary_candidate_module	Viral-higher cytokine/innate immune regulation programme with sufficient GO support for primary manual review.	eligible_for_primary_manual_biological_review_not_final_claim	higher_in_viral | Viral_higher_cytokine_innate_immune_regulation_programme | Cytokine and innate immune regulation programme | B_moderate_GO_support
higher_in_viral	Viral_higher_antiviral_interferon_programme	Antiviral / interferon-response programme	B_moderate_GO_support	candidate_module_ready_for_manual_biological_review	3	3	3	33	0.00199381796006168	negative regulation of viral genome replication | positive regulation of interferon-beta production | type I interferon-mediated signaling pathway	GO:0045071;GO:0032728;GO:0060337	IFIT1;OAS2;RSAD2;OAS3;MX1;OASL;ISG15;EIF2AK2;OAS1;IFIT5;IFIH1;TRIM6;PLSCR1;ISG20;ZC3HAV1;APOBEC3F;IFITM3;FAM111A;TLR7;RIGI;IRF7;TLR3;DDX3X;ZBTB20;TOMM70;RIPK2;PTPN11;IFI27;TREX1;STAT2;STAT1;AZI2;TANK	primary_candidate_module	Coherent viral-higher antiviral/interferon programme with strong/moderate GO support and recognizable overlap genes.	eligible_for_primary_manual_biological_review_not_final_claim	higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | B_moderate_GO_support
