file_label	file_path	size_bytes	sha256	delimiter	n_feature_rows	first_header_field	n_sample_columns	sample_columns_are_1_to_n	first_10_sample_columns	n_preview_ids	n_ensembl_like	n_symbol_like	n_numeric_like	example_ids
raw_counts	data/expression_raw/GSE261482/GSE261482_Counts_raw_data.csv.gz	7078905	e679915d2bb2b1a948379422707e60903fd526c4cef73e735db09a6a04db971a	;	58233	Sample number 	177	True	1;2;3;4;5;6;7;8;9;10	1000	1000	1000	0	ENSG00000223972;ENSG00000227232;ENSG00000278267;ENSG00000243485;ENSG00000284332;ENSG00000237613;ENSG00000268020;ENSG00000240361;ENSG00000186092;ENSG00000238009;ENSG00000239945;ENSG00000233750;ENSG00000268903;ENSG00000269981;ENSG00000239906;ENSG00000241860;ENSG00000222623;ENSG00000241599;ENSG00000279928;ENSG00000279457
normalized	data/expression_raw/GSE261482/GSE261482_Normalized_data.csv.gz	35110835	4e929ddd5f2d92bd6084a3e88e965a73d02d4ca47b9d0b81bd510371bb10f62e	;	40516	sample	177	True	1;2;3;4;5;6;7;8;9;10	1000	0	1000	0	TSPAN6;TNMD;DPM1;SCYL3;C1orf112;FGR;CFH;FUCA2;GCLC;NFYA;STPG1;NIPAL3;LAS1L;ENPP4;SEMA3F;CFTR;ANKIB1;CYP51A1;KRIT1;RAD52
