file_label	first_5_lines
raw_counts	"Sample number ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177
ENSG00000223972;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;4;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;3;0;0
ENSG00000227232;34;38;17;19;25;12;17;25;29;26;20;28;4;19;9;7;15;10;8;12;30;16;15;10;15;15;7;47;35;21;10;29;15;15;20;14;22;8;14;16;8;3;74;55;30;24;16;9;37;44;56;29;56;21;34;20;29;19;64;8;33;17;48;31;19;83;24;18;26;16;26;31;8;57;31;30;9;22;37;35;47;6;17;21;43;12;33;9;23;19;11;12;13;19;9;10;55;19;38;79;45;24;40;22;34;25;42;33;18;54;46;25;28;9;12;13;7;10;15;26;32;14;25;19;17;17;26;17;43;18;10;18;7;23;7;4;42;14;14;35;18;39;41;13;32;16;10;67;16;19;30;9;26;21;55;33;46;133;19;6;15;3;54;14;40;31;41;35;59;19;64;23;51;10;53;30;25
ENSG00000278267;1;3;2;0;1;2;2;1;2;3;1;1;0;3;2;2;0;1;1;6;6;2;2;0;0;3;2;2;2;1;0;1;4;0;4;4;0;1;4;2;2;0;8;2;4;2;3;0;0;4;2;4;3;0;2;4;6;0;3;2;6;1;4;4;2;8;4;1;1;2;4;2;0;8;2;2;0;2;0;7;5;0;0;1;2;0;4;1;1;3;0;0;6;4;2;0;11;6;4;12;8;8;6;2;5;3;45;10;3;11;8;4;4;1;1;0;3;5;4;0;1;1;6;2;0;0;3;6;4;0;0;4;3;4;0;2;6;4;0;2;2;1;4;2;1;3;2;1;3;3;2;2;3;10;4;0;5;11;3;2;4;2;8;3;3;3;3;14;10;0;5;2;5;5;7;6;1
ENSG00000243485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0"
normalized	"sample;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177
TSPAN6;2,896951777;3,104891168;3,516510165;3,726925447;3,034961124;3,851015199;3,057226262;4,409708923;2,873406882;3,494530513;3,618808631;3,930475753;3,175406975;4,523858739;3,692378031;2,851009532;5,222784386;3,84402611;4,500314144;3,701506429;4,158295847;3,830081987;4,22711666;4,35903175;3,287426469;3,968311238;5,507412367;4,411405369;4,488205181;3,512312328;3,299974096;3,885754457;5,077325633;3,890475856;3,145347085;4,451671055;3,429777644;3,212982739;4,492716479;5,008226698;4,34539866;4,008877591;4,488978693;3,797160351;3,748257383;3,640882589;3,710612544;3,456148755;3,537188962;4,502228924;4,315607495;5,028944364;4,010888519;4,125320294;3,832340123;3,851415194;3,656208752;4,349377524;3,64791908;2,959001261;3,571284311;3,72860769;4,065338046;4,06904786;2,822699156;4,400195572;3,915093536;3,442210744;4,515522777;3,489652071;3,624491799;3,094669924;4,690383363;3,701304065;3,732169808;3,207194299;3,747336497;2,439870261;3,234237367;3,024739124;4,429757851;3,373580443;3,734095373;3,873100639;3,885897269;2,789572129;3,941796354;3,896315071;3,738926189;3,366571503;3,909840395;3,883145572;3,988970742;4,078024842;3,714173355;3,456516716;3,417591525;3,471551723;3,697938411;4,228132729;4,005984815;3,831726856;3,364407241;3,793417358;3,879470872;4,606929637;2,351641081;3,549919276;4,39006832;4,21368804;3,716724194;4,392569943;4,21353377;3,200711123;3,998122847;3,775394171;3,773481306;3,182977395;5,573534426;3,58469657;4,09367927;3,237523944;3,715012181;4,194344082;4,393124614;3,425181221;3,788141673;4,253689709;4,332776727;1,979128657;4,566005063;3,63864523;3,062606336;4,012945674;3,30616282;3,602034451;3,499139818;3,504282507;3,599287668;3,539552115;4,152556993;3,350238468;3,843266871;4,242338643;3,851714328;5,227975038;4,771868953;3,481162659;3,897680482;3,490840585;2,245059694;3,73312829;3,299445134;4,447460901;4,275635584;4,507700195;4,317110678;3,47227899;4,780657476;3,217292998;4,153050567;4,081045016;3,888914193;4,028391597;2,996661143;4,04813657;4,137977576;3,379524972;3,71005421;3,776615971;3,932456618;4,192455004;3,504615772;4,123762155;3,996793386;3,868001956;4,233847456
TNMD;2,05942289;2,063961334;2,069283304;2,073261128;2,054341899;2,058574263;2,069905572;2,066460525;2,066947178;2,067493873;2,05857469;2,040930639;2,074872815;2,013003479;2,101581504;2,065832399;2,06527163;2,060726866;2,065835541;2,058498046;2,058414296;2,072146862;2,06575965;2,946072332;2,061488983;2,055746962;2,065080263;2,053831184;2,061274601;2,076452837;2,070087766;2,067020233;2,061406007;2,065705252;2,043804249;2,055375626;2,05427618;2,176609124;2,066366647;1,996413683;2,057245738;2,069022633;2,55809731;2,063927111;2,058976662;2,056526904;2,070612824;2,074676552;2,572186004;2,061063493;2,070410514;2,059545062;2,052332193;2,070780947;2,059956639;2,062505085;2,06860783;2,067707387;2,063666515;2,06779996;2,58211549;2,083889708;2,060304774;2,062299526;2,067037407;2,049138628;2,071035573;2,075232137;2,060231705;2,067592903;2,072350203;2,069883784;2,14986953;2,064963074;2,069615719;2,054119949;2,088642169;2,075952607;2,060865128;2,053367009;2,073351349;2,072055084;2,070216871;2,060775956;2,058592713;2,070110494;2,056260839;2,074226974;2,054690318;2,061868733;2,049388255;2,061389462;2,076969101;2,053359363;2,065987111;2,062762802;2,05554671;2,046989431;2,053268548;2,029827329;2,041623509;2,055815679;2,049403711;2,06478845;2,036334075;2,065447965;2,025506195;2,047074529;2,056588814;2,054235807;2,062971171;2,063563224;2,07189939;2,072640131;2,084878881;2,084122692;2,106182654;2,079349741;2,071781017;2,081111317;2,072147744;2,124835064;2,070523098;2,09720287;2,089697741;2,082842236;2,081873877;2,092393271;2,080720667;2,088051405;2,108464166;2,090521161;2,065435527;2,074868035;2,10533249;2,13816662;2,079681445;2,09093588;2,079453628;2,081357644;2,071598439;2,079936414;2,082140352;2,068517901;2,066672772;2,070378902;2,079606341;2,088177408;2,081180309;2,086426307;2,081527036;2,072391515;2,092787445;2,081976636;2,086299076;2,085763872;2,079406071;2,058145427;2,06891446;2,104340763;2,067987826;2,074351926;2,112744931;2,069128383;2,070155047;2,072373871;2,072490937;2,072597153;2,265467076;2,061041394;2,095375756;2,081103136;2,09949995;2,084587562;1,842765843;2,068476577;2,098029562
DPM1;9,304160868;8,687570343;8,682056115;8,622515029;8,368912892;9,304204749;8,731499482;8,372744003;8,482745879;8,945961415;8,690049841;8,461266162;8,327010992;9,32195661;8,761837092;8,797649562;8,795488481;8,640253388;9,035326175;8,462336444;9,089106745;9,604814256;8,690915965;8,938539865;8,809948151;9,789671384;8,638105059;8,94749183;8,192940506;9,392339147;8,182706484;8,890990241;9,211330017;8,091567448;8,131251849;8,932790993;8,984684874;9,310516382;9,233643278;10,71083299;8,703179332;8,971828505;8,745484514;8,699497476;8,992937497;8,399858148;8,601361552;8,966901904;9,222442027;8,607387024;9,976945679;8,680514771;9,701777956;8,80273156;8,392843597;8,837863731;8,601783214;8,690854851;8,598949224;8,811604691;9,018969734;8,97011632;9,046496483;8,320564314;8,506332365;8,129526106;8,345731436;8,301036071;8,785644401;8,363300432;8,305924093;8,360935961;9,438231663;9,503550443;8,822740696;8,374743921;9,196841943;8,894052045;8,743210905;8,21508352;9,949664061;9,486091384;8,522321123;9,536668079;9,501683726;8,503228835;9,535036444;7,997739138;8,165551056;8,268709725;8,403140937;8,28413734;8,192782416;8,903596712;8,058267689;8,214947802;8,603164023;8,576074063;8,367498227;7,237415587;8,631852917;8,710431829;8,278692136;8,68023808;8,814464556;8,136838522;7,306528827;8,422123589;8,457516815;8,640639921;8,77364484;8,746421704;8,057351621;9,456938587;8,684792011;8,953733768;9,369794746;8,241488568;8,296397434;8,509664974;8,714163665;8,991880092;8,382341691;9,623565624;8,972856756;7,947524884;8,606069894;9,171875258;8,941027829;8,651259909;9,196236415;8,820659787;8,991499312;8,551259641;8,887697017;9,209308701;8,47211751;9,25751297;8,579183348;8,501446582;8,548167144;9,261098784;8,859586883;8,488592982;8,573219761;8,60908546;9,627616982;8,863786806;8,669187363;8,518292761;9,024401278;8,619783972;8,448209761;8,671834639;9,052312822;8,73197456;9,042129939;8,819040086;8,940007276;9,113196819;8,560918401;9,0903525;8,914580193;8,683361724;8,328408486;8,894320301;8,48211982;9,075345005;8,417365089;8,416846107;8,55712034;8,747601304;8,496343102;7,979122715;8,549530718;8,905269806;8,265563492
SCYL3;10,20896641;10,10466968;9,609353138;10,17534934;9,979931746;10,29976046;10,270554;9,27040043;10,05036333;9,65472908;9,638523555;10,47571591;9,62306771;10,7057728;9,94477012;9,507597413;9,215269811;9,209067757;9,386718087;9,824240313;9,519864632;11,06903755;10,17648113;10,02591015;10,15072551;10,60340127;9,77654124;10,20933747;10,21759654;11,08556135;9,500629106;9,976726863;10,41003507;9,487746948;9,998808007;9,992403963;10,62307253;9,066263655;9,397601003;11,11238415;10,08542655;9,935288858;10,80414443;9,978266092;10,54623896;9,948081386;10,24357991;9,544255877;9,443386046;9,786736689;9,44988247;9,080946826;10,23869634;9,448951517;9,796635859;9,972225844;10,12298461;8,825629726;10,02878804;10,18464719;10,06200278;9,546746236;10,33549573;9,713886398;9,591339785;9,049006172;9,630638877;9,529478112;9,996348998;9,490292256;9,335230197;9,456722505;9,010647512;10,1771502;10,16426203;9,579386401;9,724919644;9,923175124;9,996111956;9,782814876;10,58741463;10,35027369;9,853748045;9,630393536;9,481919849;9,905040376;10,2857802;9,583660948;9,564906621;9,812823647;9,994518246;10,09598382;9,520985536;9,993514749;9,461948578;9,986470125;10,19345421;9,834745179;9,934519088;8,67661916;9,944637693;10,3286745;9,878102809;9,919025541;9,790430449;9,850223672;8,534426854;9,714869384;9,791242867;10,15262701;9,832834677;10,18958324;10,04647683;10,10464012;10,4437793;9,8920722;9,479663475;9,226821839;9,5166316;9,901541799;10,03899227;9,038660207;10,09061173;9,745772449;10,11486099;9,706452043;10,52956165;10,13517232;10,36999043;9,833872453;10,17724522;9,529617819;10,26990042;10,03683773;8,460701863;9,92080092;9,681232752;9,956309333;9,519423145;9,595251445;9,100438284;10,44080368;9,937514352;9,348014513;10,31167632;10,25452425;10,10150199;9,852406411;9,896390709;9,563132765;10,24561774;9,519686713;9,529017815;9,889948936;10,30636263;10,23412692;10,17258713;9,775120116;9,770495585;9,193418099;9,858468276;10,15736661;10,39302699;9,780182862;9,835926554;10,22105693;9,472610687;10,22514632;9,949223952;9,543728905;10,40224491;10,03023793;10,27731513;9,124726617;9,848879344;10,04770454;9,76316347"
