rna_id	group	metadata_status	caution_flags	library_size	detected_genes_count_gt0	norm.factors	PC1	PC2	library_size_outlier_iqr	detected_genes_outlier_iqr	norm_factor_outlier_iqr	any_qc_outlier_iqr	caution_flagged_metadata
434596	non_covid_viral	mapped_to_sample_key	none	16320748	26834	1.40349329496384	-25.558949848473	8.80682937135728	TRUE	FALSE	FALSE	TRUE	FALSE
434597	non_covid_viral	mapped_to_sample_key	none	46090447	17038	1.00105065001943	2.97298687574548	16.7116143910292	FALSE	FALSE	FALSE	FALSE	FALSE
434602	non_covid_viral	mapped_to_sample_key	none	46587103	26991	1.10416050544046	-29.3543879361953	14.8306546396091	FALSE	FALSE	FALSE	FALSE	FALSE
434619	non_covid_viral	mapped_to_sample_key	none	44264885	22050	1.25799356271282	-29.924646367177	14.6153630387765	FALSE	FALSE	FALSE	FALSE	FALSE
434735	non_covid_viral	mapped_to_sample_key	none	43299067	13552	1.16814115875458	49.5510814787328	-27.6702610168975	FALSE	FALSE	FALSE	FALSE	FALSE
434740	non_covid_viral	mapped_to_sample_key	none	54715374	21661	1.07060955742223	-23.9392132148489	18.8746232486432	FALSE	FALSE	FALSE	FALSE	FALSE
434741	non_covid_viral	mapped_to_counts_key_only	counts_key_only_not_in_sample_key	1632403	12621	2.87086099727238	251.390099133968	46.2920310708145	TRUE	FALSE	TRUE	TRUE	TRUE
434756	non_covid_viral	mapped_to_sample_key	none	61427755	23213	1.01334213483108	-25.8904882997733	9.95559689408834	FALSE	FALSE	FALSE	FALSE	FALSE
434757	non_covid_viral	mapped_to_sample_key	none	40713763	15699	1.23469809195284	5.29116885179483	-4.40288791739951	FALSE	FALSE	FALSE	FALSE	FALSE
434766	non_covid_viral	mapped_to_sample_key	none	38642809	20335	1.04771730842821	-20.3001786056327	17.5907557484962	FALSE	FALSE	FALSE	FALSE	FALSE
434768	non_covid_viral	mapped_to_sample_key	none	40238248	21191	1.00728635944521	-21.0849887793686	13.3651432456903	FALSE	FALSE	FALSE	FALSE	FALSE
434777	non_covid_viral	mapped_to_sample_key	none	20302169	22370	1.19239639967511	-29.4742361684804	33.1997277955719	TRUE	FALSE	FALSE	TRUE	FALSE
434794	non_covid_viral	mapped_to_sample_key	none	35057445	25404	1.28416692720012	-30.9688833811891	15.6794884979569	FALSE	FALSE	FALSE	FALSE	FALSE
434809	non_covid_viral	mapped_to_sample_key	none	55622527	23074	1.00279095669009	-21.5001575244436	19.1029730197054	FALSE	FALSE	FALSE	FALSE	FALSE
434859	non_covid_viral	mapped_to_sample_key	none	29168715	20668	0.89918079854948	-1.39406769492565	25.932040928138	FALSE	FALSE	FALSE	FALSE	FALSE
94189	bacterial	mapped_to_sample_key	none	52431553	16897	0.960884921037579	10.9354008964887	3.85775222623723	FALSE	FALSE	FALSE	FALSE	FALSE
94478	bacterial	mapped_to_counts_key_only	counts_key_only_not_in_sample_key	9403540	5332	1.01965516248598	508.448038146682	53.8105251978469	TRUE	TRUE	FALSE	TRUE	TRUE
94486	bacterial	mapped_to_sample_key	none	42066586	22251	0.864716980816125	-0.0175478115506144	-55.3555179179648	FALSE	FALSE	FALSE	FALSE	FALSE
95967	bacterial	mapped_to_sample_key	none	52712744	14695	0.781242110952941	76.2350065256098	-107.766071547191	FALSE	FALSE	FALSE	FALSE	FALSE
95968	bacterial	mapped_to_sample_key	none	61786032	23696	0.717252058556865	-13.7626986224798	-80.783452785977	FALSE	FALSE	FALSE	FALSE	FALSE
