rna_id	PC1	PC2	group	metadata_status	caution_flags
96004	7.83597620504833	-91.1475846879612	bacterial	mapped_to_sample_key	none
97389	24.8080495379568	-89.109253828379	bacterial	mapped_to_sample_key	none
97392	51.9465296831076	-78.3211723858344	bacterial	mapped_to_sample_key	none
97394	32.3178100463268	-104.069053057335	bacterial	mapped_to_sample_key	none
97395	30.0894188095547	-115.555968033489	bacterial	mapped_to_sample_key	none
97403	-0.882113166448323	-59.6321990969201	bacterial	mapped_to_sample_key	none
97406	-9.83511232399257	-49.3051146259288	bacterial	mapped_to_sample_key	none
97407	-17.2962385310375	-69.1119920372994	bacterial	mapped_to_sample_key	none
DU09-02S0000141	-10.2322661697731	-1.47497691711253	non_covid_viral	mapped_to_sample_key	none
DU09-02S0000142	-1.35816808843479	-15.1947021358178	non_covid_viral	mapped_to_sample_key	none
DU09-02S0000143	-0.99034642166062	-22.5171999606631	non_covid_viral	mapped_to_sample_key	none
DU09-02S0000144	55.3717080475057	-52.8016047317315	non_covid_viral	mapped_to_sample_key	none
DU09-02S0000145	-30.3406688825843	16.6771828157696	non_covid_viral	mapped_to_sample_key	none
DU09-02S0000146	-14.6522716180188	18.0159895934748	non_covid_viral	mapped_to_sample_key	none
DU09-03S0000604	-19.3159428007511	-9.58158546320222	non_covid_viral	mapped_to_sample_key	none
DU09-03S0000611	-28.0565102249467	-0.000474621174272009	non_covid_viral	mapped_to_sample_key	none
DU09-03S0000632	-12.0281171298602	20.1932765493653	non_covid_viral	mapped_to_sample_key	none
DU09-03S0000774	-31.3141926875681	32.1302524302544	non_covid_viral	mapped_to_sample_key	none
DU09-03S0000775	-26.7497414264536	10.1885052603495	non_covid_viral	mapped_to_sample_key	none
DU09-03S19475	-4.1122489732154	-51.8015467310873	bacterial	mapped_to_sample_key	none
DU09-03S19478	-31.8459257376082	26.2396296676157	non_covid_viral	mapped_to_sample_key	none
DU09-03S19498	30.5230912598988	-77.3962275764627	bacterial	mapped_to_sample_key	none
DU10-01S0000032	-4.41157120725711	69.8644434368869	non_covid_viral	mapped_to_sample_key	none
DU10-01S0000709	5.40885708295626	17.3662312519706	non_covid_viral	mapped_to_sample_key	none
DU14-02S0000001	-8.78520458156466	49.0622341218709	non_covid_viral	mapped_to_sample_key	none
DU14-02S0000002	-14.5588953230327	57.5749773486937	non_covid_viral	mapped_to_sample_key	none
DU14-02S0000003	-6.16322225024396	44.6368545403703	non_covid_viral	mapped_to_sample_key	none
DU14-02S0000004	1.96237154806238	31.7468629425857	non_covid_viral	mapped_to_sample_key	none
DU14-02S0000005	-19.0673330330824	41.8729475783207	non_covid_viral	mapped_to_sample_key	none
DU14-02S0000006	-7.68923880339487	56.5110592656644	non_covid_viral	mapped_to_sample_key	none
DU14-02S0000007	-27.1426538680013	21.7828674784944	non_covid_viral	mapped_to_sample_key	none
DU14-02S0000008	-20.8522998809092	34.9366091665278	non_covid_viral	mapped_to_sample_key	none
DU14-02S0000009	-20.9046489848115	33.5769012879849	non_covid_viral	mapped_to_sample_key	none
DU14-03S0000878	-25.4874498936489	45.6008944193846	non_covid_viral	mapped_to_sample_key	none
DU14-03S0000889	-17.8960760817378	19.3685614394173	non_covid_viral	mapped_to_sample_key	none
