rna_id	group	metadata_status	caution_flags	library_size	detected_genes_count_gt0	norm.factors	PC1	PC2	library_size_outlier_iqr	detected_genes_outlier_iqr	norm_factor_outlier_iqr	any_qc_outlier_iqr
00943	non_covid_viral	mapped_to_sample_key	none	46205680	20361	0.984781518539984	-70.2534545202335	18.7143576888867	FALSE	FALSE	FALSE	FALSE
105791	non_covid_viral	mapped_to_sample_key	none	28647415	24540	1.05009353701165	-3.83918693584756	-48.7681618505223	FALSE	FALSE	FALSE	FALSE
105824	non_covid_viral	mapped_to_sample_key	none	41811884	16213	1.03010728454274	-6.1794782028036	46.2233879401963	FALSE	FALSE	FALSE	FALSE
105834	non_covid_viral	mapped_to_sample_key	none	46207409	23104	0.877083322988739	-31.2223129677119	-20.5182247839484	FALSE	FALSE	FALSE	FALSE
105841	non_covid_viral	mapped_to_sample_key	none	61082057	23104	1.09269161499992	-48.7808527988537	-28.6002002653196	FALSE	FALSE	FALSE	FALSE
105842	non_covid_viral	mapped_to_sample_key	none	52756032	18031	1.00002636461983	-18.1045797919022	25.629396474454	FALSE	FALSE	FALSE	FALSE
105847	non_covid_viral	mapped_to_sample_key	none	52664859	18622	1.2945916137606	-73.4238063561965	7.58852693995142	FALSE	FALSE	FALSE	FALSE
105848	non_covid_viral	mapped_to_sample_key	none	38408223	14453	1.01080066110581	-25.9404753008489	105.707597779837	FALSE	FALSE	FALSE	FALSE
105853	non_covid_viral	mapped_to_sample_key	none	51179077	22573	1.09975323657265	-48.5937779368432	-21.8568108887842	FALSE	FALSE	FALSE	FALSE
105861	non_covid_viral	mapped_to_sample_key	none	47220758	17656	0.699411508939957	45.5838293092109	41.0300417126386	FALSE	FALSE	FALSE	FALSE
105920	non_covid_viral	mapped_to_sample_key	none	53276313	23714	1.07855916961447	-56.1502627965656	-30.1446137359709	FALSE	FALSE	FALSE	FALSE
105927	non_covid_viral	mapped_to_sample_key	none	67794430	18446	0.871880274463416	-4.33960921232658	36.0314160927845	FALSE	FALSE	FALSE	FALSE
105929	non_covid_viral	mapped_to_sample_key	none	50213182	19982	0.629896292069088	-24.8083279314094	41.7095273118758	FALSE	FALSE	FALSE	FALSE
234301	non_covid_viral	mapped_to_sample_key	none	55646663	22535	1.16722276236012	-7.23249873769445	-35.1841485205939	FALSE	FALSE	FALSE	FALSE
234326	non_covid_viral	mapped_to_sample_key	none	40821453	20300	1.19053226792551	-51.4860751793263	-17.0116074959926	FALSE	FALSE	FALSE	FALSE
234330	non_covid_viral	mapped_to_sample_key	none	62653611	18208	1.00899481572019	-44.9198197444259	26.7510340926575	FALSE	FALSE	FALSE	FALSE
234376	non_covid_viral	mapped_to_sample_key	none	64543800	18417	1.07766622572427	-35.0719962964405	12.4932392568674	FALSE	FALSE	FALSE	FALSE
234377	non_covid_viral	mapped_to_sample_key	none	41763770	16441	1.07083174808258	-69.9229087794473	56.8657123451818	FALSE	FALSE	FALSE	FALSE
234432	non_covid_viral	mapped_to_sample_key	none	36945135	16459	0.900215439835457	-11.8224200849353	46.6359041958674	FALSE	FALSE	FALSE	FALSE
234435	non_covid_viral	mapped_to_sample_key	none	54000246	20637	0.855572002600557	-27.605748744612	5.01309230383373	FALSE	FALSE	FALSE	FALSE
434294	non_covid_viral	mapped_to_sample_key	none	53223902	25234	1.03223186961464	-24.1159647781214	-40.8228763670062	FALSE	FALSE	FALSE	FALSE
434316	non_covid_viral	mapped_to_sample_key	none	57165534	23818	1.070004039192	-36.9772302824422	-25.389221534864	FALSE	FALSE	FALSE	FALSE
434323	non_covid_viral	mapped_to_sample_key	none	62366818	14715	1.08050299996728	25.4208450143111	103.28372191564	FALSE	FALSE	FALSE	FALSE
434325	non_covid_viral	mapped_to_sample_key	none	130001160	17025	1.14540408059166	-1.75599796909572	60.3593584278093	TRUE	FALSE	FALSE	TRUE
434330	non_covid_viral	mapped_to_sample_key	none	32429665	23034	0.98409154592235	-72.6725545558417	4.66198976446926	FALSE	FALSE	FALSE	FALSE
434333	non_covid_viral	mapped_to_sample_key	none	57744837	23654	0.891703876257121	10.2922709052632	-40.997741028866	FALSE	FALSE	FALSE	FALSE
434335	non_covid_viral	mapped_to_sample_key	none	42697511	22543	1.00024971464339	-55.2968647019791	-4.92243220637657	FALSE	FALSE	FALSE	FALSE
434393	non_covid_viral	mapped_to_sample_key	none	53565193	21128	1.12359459184552	-55.3532711074888	-19.8456988969452	FALSE	FALSE	FALSE	FALSE
434399	non_covid_viral	mapped_to_sample_key	none	53471516	21901	0.995558551981131	-44.7277790622858	-16.5241284257327	FALSE	FALSE	FALSE	FALSE
434486	non_covid_viral	mapped_to_sample_key	none	49141014	23450	0.89841205463701	-5.80675961125613	-22.5920119882815	FALSE	FALSE	FALSE	FALSE
434517	non_covid_viral	mapped_to_sample_key	none	50965258	21634	1.04002266879827	-15.7296488102748	-23.6725886231356	FALSE	FALSE	FALSE	FALSE
434518	non_covid_viral	mapped_to_sample_key	none	56728525	20198	1.09923952801583	-69.8295209292491	0.754039514931044	FALSE	FALSE	FALSE	FALSE
434532	non_covid_viral	mapped_to_sample_key	none	43367078	21966	1.05701032471968	-52.6675398536412	-0.491418669573531	FALSE	FALSE	FALSE	FALSE
434537	non_covid_viral	mapped_to_sample_key	none	51114778	22250	1.1996754489294	-51.3894119390344	-22.3152873737151	FALSE	FALSE	FALSE	FALSE
434557	non_covid_viral	mapped_to_sample_key	none	52987709	21132	0.983578381701105	-80.784963305926	21.3018389764559	FALSE	FALSE	FALSE	FALSE
434567	non_covid_viral	mapped_to_sample_key	none	46724753	23231	0.958299548781255	-45.405790850207	-8.88192123774597	FALSE	FALSE	FALSE	FALSE
434570	non_covid_viral	mapped_to_sample_key	none	48457216	22629	0.899696518031895	1.68235160235375	-21.9150034006295	FALSE	FALSE	FALSE	FALSE
434596	non_covid_viral	mapped_to_sample_key	none	16320748	26834	1.44784761679148	-7.43397904313673	-79.4234410147702	TRUE	FALSE	TRUE	TRUE
434597	non_covid_viral	mapped_to_sample_key	none	46090447	17038	1.01691857319903	-23.77276181724	49.6246572907935	FALSE	FALSE	FALSE	FALSE
434602	non_covid_viral	mapped_to_sample_key	none	46587103	26991	1.08336586266428	-20.8199691205367	-43.2602542916384	FALSE	FALSE	FALSE	FALSE
434619	non_covid_viral	mapped_to_sample_key	none	44264885	22050	1.28583161066996	-16.7731343503445	-48.1080760857437	FALSE	FALSE	FALSE	FALSE
434735	non_covid_viral	mapped_to_sample_key	none	43299067	13552	1.17204718045504	41.3554398147131	120.733884717508	FALSE	FALSE	FALSE	FALSE
