rna_id	group	lib.size	norm.factors	metadata_status	caution_flags
DU09-02S0000143	non_covid_viral	51464819	1.07874197311504	mapped_to_sample_key	none
DU09-02S0000144	non_covid_viral	56816355	1.0520980783699	mapped_to_sample_key	none
DU09-02S0000145	non_covid_viral	60708830	1.31380513955964	mapped_to_sample_key	none
DU09-02S0000146	non_covid_viral	43597237	1.00535105253782	mapped_to_sample_key	none
DU09-03S0000604	non_covid_viral	50334983	0.876936862406027	mapped_to_sample_key	none
DU09-03S0000611	non_covid_viral	52153587	1.0280357272754	mapped_to_sample_key	none
DU09-03S0000632	non_covid_viral	50013166	1.31255898592686	mapped_to_sample_key	none
DU09-03S0000774	non_covid_viral	43601620	1.52467553204369	mapped_to_sample_key	none
DU09-03S0000775	non_covid_viral	56409486	0.974985146491566	mapped_to_sample_key	none
DU09-03S19475	bacterial	60620817	1.06925027487335	mapped_to_sample_key	none
DU09-03S19478	non_covid_viral	48507229	1.40797487945881	mapped_to_sample_key	none
DU09-03S19498	bacterial	54883637	0.835693262507101	mapped_to_sample_key	none
DU10-01S0000032	non_covid_viral	48949732	0.762122057533615	mapped_to_sample_key	none
DU10-01S0000709	non_covid_viral	40439639	1.07694484147173	mapped_to_sample_key	none
DU14-02S0000001	non_covid_viral	42261570	0.903528485244048	mapped_to_sample_key	none
DU14-02S0000002	non_covid_viral	48992608	0.868451521820363	mapped_to_sample_key	none
DU14-02S0000003	non_covid_viral	42752070	1.18755154671106	mapped_to_sample_key	none
DU14-02S0000004	non_covid_viral	39690432	1.23145751628071	mapped_to_sample_key	none
DU14-02S0000005	non_covid_viral	50826542	1.0225762863658	mapped_to_sample_key	none
DU14-02S0000006	non_covid_viral	54084547	0.918781271862435	mapped_to_sample_key	none
DU14-02S0000007	non_covid_viral	58931589	1.16069637209199	mapped_to_sample_key	none
DU14-02S0000008	non_covid_viral	63738009	0.99702610983554	mapped_to_sample_key	none
DU14-02S0000009	non_covid_viral	58972350	1.01283393758488	mapped_to_sample_key	none
DU14-03S0000878	non_covid_viral	46383048	1.14934897421408	mapped_to_sample_key	none
DU14-03S0000889	non_covid_viral	50638516	0.989379378129382	mapped_to_sample_key	none
