rna_id	PC1	PC2	group	metadata_status	caution_flags
00943	-70.2534545202335	18.7143576888867	non_covid_viral	mapped_to_sample_key	none
105791	-3.83918693584756	-48.7681618505223	non_covid_viral	mapped_to_sample_key	none
105824	-6.1794782028036	46.2233879401963	non_covid_viral	mapped_to_sample_key	none
105834	-31.2223129677119	-20.5182247839484	non_covid_viral	mapped_to_sample_key	none
105841	-48.7808527988537	-28.6002002653196	non_covid_viral	mapped_to_sample_key	none
105842	-18.1045797919022	25.629396474454	non_covid_viral	mapped_to_sample_key	none
105847	-73.4238063561965	7.58852693995142	non_covid_viral	mapped_to_sample_key	none
105848	-25.9404753008489	105.707597779837	non_covid_viral	mapped_to_sample_key	none
105853	-48.5937779368432	-21.8568108887842	non_covid_viral	mapped_to_sample_key	none
105861	45.5838293092109	41.0300417126386	non_covid_viral	mapped_to_sample_key	none
105920	-56.1502627965656	-30.1446137359709	non_covid_viral	mapped_to_sample_key	none
105927	-4.33960921232658	36.0314160927845	non_covid_viral	mapped_to_sample_key	none
105929	-24.8083279314094	41.7095273118758	non_covid_viral	mapped_to_sample_key	none
234301	-7.23249873769445	-35.1841485205939	non_covid_viral	mapped_to_sample_key	none
234326	-51.4860751793263	-17.0116074959926	non_covid_viral	mapped_to_sample_key	none
234330	-44.9198197444259	26.7510340926575	non_covid_viral	mapped_to_sample_key	none
234376	-35.0719962964405	12.4932392568674	non_covid_viral	mapped_to_sample_key	none
234377	-69.9229087794473	56.8657123451818	non_covid_viral	mapped_to_sample_key	none
234432	-11.8224200849353	46.6359041958674	non_covid_viral	mapped_to_sample_key	none
234435	-27.605748744612	5.01309230383373	non_covid_viral	mapped_to_sample_key	none
434294	-24.1159647781214	-40.8228763670062	non_covid_viral	mapped_to_sample_key	none
434316	-36.9772302824422	-25.389221534864	non_covid_viral	mapped_to_sample_key	none
434323	25.4208450143111	103.28372191564	non_covid_viral	mapped_to_sample_key	none
434325	-1.75599796909572	60.3593584278093	non_covid_viral	mapped_to_sample_key	none
434330	-72.6725545558417	4.66198976446926	non_covid_viral	mapped_to_sample_key	none
434333	10.2922709052632	-40.997741028866	non_covid_viral	mapped_to_sample_key	none
434335	-55.2968647019791	-4.92243220637657	non_covid_viral	mapped_to_sample_key	none
434393	-55.3532711074888	-19.8456988969452	non_covid_viral	mapped_to_sample_key	none
434399	-44.7277790622858	-16.5241284257327	non_covid_viral	mapped_to_sample_key	none
434486	-5.80675961125613	-22.5920119882815	non_covid_viral	mapped_to_sample_key	none
434517	-15.7296488102748	-23.6725886231356	non_covid_viral	mapped_to_sample_key	none
434518	-69.8295209292491	0.754039514931044	non_covid_viral	mapped_to_sample_key	none
