supplementary_table_section	Module	Conservative module label	Discovery direction	Locked genes	Genes scored in GSE73461	Main projection result	Primary-only z-score sensitivity result	Expected direction in main analysis	Expected direction in sensitivity	Interpretation tier	Missing genes
S5C_manuscript_projection_summary	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	Higher in bacterial	25	24	+0.2067; BH P = 0.0799	+0.2211; BH P = 0.0778	True	True	Directionally concordant but borderline	HYDIN2
S5C_manuscript_projection_summary	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	Higher in bacterial	21	21	+0.3328; BH P = 0.0202	+0.3504; BH P = 0.0165	True	True	Robustly externally transported	
S5C_manuscript_projection_summary	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	Higher in viral	128	128	-0.4629; BH P = 4.77e-06	-0.4441; BH P = 7.57e-06	True	True	Strongly and robustly externally transported	
S5C_manuscript_projection_summary	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	Higher in viral	33	33	-0.6739; BH P = 1.41e-06	-0.6445; BH P = 2.22e-06	True	True	Strongly and robustly externally transported	
S5C_manuscript_projection_summary	VIR_M2	Viral-higher cytokine and innate immune regulation programme	Higher in viral	106	105	-0.2596; BH P = 0.00848	-0.2626; BH P = 0.00796	True	True	Robustly externally transported	BTN2A3P
