supplementary_table_section	SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
S3D_gene_probe_choice_for_projection	DDX60	DDX60	55601	7610053	ILMN_1795181	179.7632
S3D_gene_probe_choice_for_projection	DDX60L	DDX60L	91351	6510735	ILMN_3243928	225.6101
S3D_gene_probe_choice_for_projection	DEAF1	DEAF1	10522	7610279	ILMN_1658902	122.7604
S3D_gene_probe_choice_for_projection	DECR1	DECR1	1666	510291	ILMN_1720838	2507.547
S3D_gene_probe_choice_for_projection	DECR2	DECR2	26063	380148	ILMN_1783337	49.21496
S3D_gene_probe_choice_for_projection	DEDD	DEDD	9191	870364	ILMN_2313074	868.3739
S3D_gene_probe_choice_for_projection	DEDD2	DEDD2	162989	3890521	ILMN_1768031	2829.086
S3D_gene_probe_choice_for_projection	DEF6	DEF6	50619	1570255	ILMN_2145280	1306.632
S3D_gene_probe_choice_for_projection	DEF8	DEF8	54849	5820768	ILMN_1767509	1295.56
S3D_gene_probe_choice_for_projection	DEFA1	DEFA1	1667	4540239	ILMN_2193213	5436.167
S3D_gene_probe_choice_for_projection	DEFA1B	DEFA1B	728358	4540239	ILMN_2193213	5436.167
S3D_gene_probe_choice_for_projection	DEFA3	DEFA3	1668	4540239	ILMN_2193213	5436.167
S3D_gene_probe_choice_for_projection	DEFA4	DEFA4	1669	6550164	ILMN_1753347	186.4912
S3D_gene_probe_choice_for_projection	DEFA5	DEFA5	1670	2230341	ILMN_1770424	5.724061
S3D_gene_probe_choice_for_projection	DEFA6	DEFA6	1671	1770497	ILMN_1759089	-7.32759
S3D_gene_probe_choice_for_projection	DEFB1	DEFB1	1672	4920040	ILMN_1686573	12.94676
S3D_gene_probe_choice_for_projection	DEFB103A	DEFB103A	414325	6900707	ILMN_1684308	12.03751
S3D_gene_probe_choice_for_projection	DEFB103B	DEFB103B	55894	6900707	ILMN_1684308	12.03751
S3D_gene_probe_choice_for_projection	DEFB104A	DEFB104A	140596	6450180	ILMN_2177234	2.670382
S3D_gene_probe_choice_for_projection	DEFB104B	DEFB104B	503618	6450180	ILMN_2177234	2.670382
S3D_gene_probe_choice_for_projection	DEFB105A	DEFB105A	245908	70719	ILMN_3249677	-2.518209
S3D_gene_probe_choice_for_projection	DEFB105B	DEFB105B	504180	70719	ILMN_3249677	-2.518209
S3D_gene_probe_choice_for_projection	DEFB106A	DEFB106A	245909	3850047	ILMN_2044081	11.18029
S3D_gene_probe_choice_for_projection	DEFB106B	DEFB106B	503841	3850047	ILMN_2044081	11.18029
S3D_gene_probe_choice_for_projection	DEFB107A	DEFB107A	245910	5080767	ILMN_2214594	-1.286625
S3D_gene_probe_choice_for_projection	DEFB107B	DEFB107B	503614	5080767	ILMN_2214594	-1.286625
S3D_gene_probe_choice_for_projection	DEFB108B	DEFB108B	245911	730397	ILMN_3246424	134.6188
S3D_gene_probe_choice_for_projection	DEFB109A	DEFB109A	245912	6590064	ILMN_3241026	-4.314145
S3D_gene_probe_choice_for_projection	DEFB109B	DEFB109B	641517	6900156	ILMN_2069067	-15.24912
S3D_gene_probe_choice_for_projection	DEFB110	DEFB110	245913	160138	ILMN_2190069	-3.579284
S3D_gene_probe_choice_for_projection	DEFB112	DEFB112	245915	5310167	ILMN_2086654	0.9260081
S3D_gene_probe_choice_for_projection	DEFB113	DEFB113	245927	5080039	ILMN_3248356	-6.906429
S3D_gene_probe_choice_for_projection	DEFB114	DEFB114	245928	4150064	ILMN_1800476	-7.138179
S3D_gene_probe_choice_for_projection	DEFB115	DEFB115	245929	3370193	ILMN_3248525	-3.153173
S3D_gene_probe_choice_for_projection	DEFB116	DEFB116	245930	5130561	ILMN_3238684	13.7233
S3D_gene_probe_choice_for_projection	DEFB118	DEFB118	117285	4200246	ILMN_1731598	-5.079881
S3D_gene_probe_choice_for_projection	DEFB119	DEFB119	245932	4560731	ILMN_1725640	0.04908384
S3D_gene_probe_choice_for_projection	DEFB121	DEFB121	245934	4150592	ILMN_1677178	-14.24669
S3D_gene_probe_choice_for_projection	DEFB122	DEFB122	245935	4780328	ILMN_2197228	7.453666
S3D_gene_probe_choice_for_projection	DEFB123	DEFB123	245936	5670162	ILMN_1722538	41.7916
S3D_gene_probe_choice_for_projection	DEFB124	DEFB124	245937	580008	ILMN_2104732	-8.628261
S3D_gene_probe_choice_for_projection	DEFB125	DEFB125	245938	2970196	ILMN_1706077	13.16661
S3D_gene_probe_choice_for_projection	DEFB126	DEFB126	81623	1580767	ILMN_1792172	-13.93775
S3D_gene_probe_choice_for_projection	DEFB127	DEFB127	140850	3420703	ILMN_1694973	-2.748867
S3D_gene_probe_choice_for_projection	DEFB128	DEFB128	245939	2100091	ILMN_2070583	8.983597
S3D_gene_probe_choice_for_projection	DEFB129	DEFB129	140881	4570209	ILMN_2229865	-7.511122
S3D_gene_probe_choice_for_projection	DEFB130A	DEFB130A	245940	6220017	ILMN_3238931	1.340434
S3D_gene_probe_choice_for_projection	DEFB130B	DEFB130B	100133267	6220017	ILMN_3238931	1.340434
S3D_gene_probe_choice_for_projection	DEFB131A	DEFB131A	644414	3370397	ILMN_1655905	6.680084
S3D_gene_probe_choice_for_projection	DEFB131B	DEFB131B	100129216	2120010	ILMN_3269123	-10.76629
S3D_gene_probe_choice_for_projection	DEFB132	DEFB132	400830	5340315	ILMN_1683887	5.045488
S3D_gene_probe_choice_for_projection	DEFB133	DEFB133	403339	650386	ILMN_3308325	-8.532771
S3D_gene_probe_choice_for_projection	DEFB134	DEFB134	613211	870521	ILMN_1673987	-1.512314
S3D_gene_probe_choice_for_projection	DEFB135	DEFB135	613209	4390397	ILMN_1711790	-12.7104
S3D_gene_probe_choice_for_projection	DEFB136	DEFB136	613210	50377	ILMN_1778631	-16.94393
S3D_gene_probe_choice_for_projection	DEFB4A	DEFB4A	1673	580709	ILMN_1680965	1.411385
S3D_gene_probe_choice_for_projection	DEFB4B	DEFB4B	100289462	580709	ILMN_1680965	1.411385
S3D_gene_probe_choice_for_projection	DEGS1	DEGS1	8560	5220632	ILMN_1780058	1617.636
S3D_gene_probe_choice_for_projection	DEGS2	DEGS2	123099	990164	ILMN_1768772	-8.589352
S3D_gene_probe_choice_for_projection	DEK	DEK	7913	4480180	ILMN_1747630	526.2577
S3D_gene_probe_choice_for_projection	DELE1	DELE1	9812	7510086	ILMN_1762990	210.0146
S3D_gene_probe_choice_for_projection	DELEC1	DELEC1	50514	3830482	ILMN_1659893	0.3147658
S3D_gene_probe_choice_for_projection	DENND10	DENND10	404636	990711	ILMN_1691760	699.7403
S3D_gene_probe_choice_for_projection	DENND10P1	DENND10P1	55855	1340719	ILMN_1797116	21.93311
S3D_gene_probe_choice_for_projection	DENND11	DENND11	57189	1050082	ILMN_2355033	549.7968
S3D_gene_probe_choice_for_projection	DENND1A	DENND1A	57706	60524	ILMN_1727315	106.7148
S3D_gene_probe_choice_for_projection	DENND1B	DENND1B	163486	4860575	ILMN_1789436	795.0074
S3D_gene_probe_choice_for_projection	DENND1C	DENND1C	79958	3710601	ILMN_1767020	317.1369
S3D_gene_probe_choice_for_projection	DENND2A	DENND2A	27147	6100072	ILMN_1666503	2.472826
S3D_gene_probe_choice_for_projection	DENND2B	DENND2B	6764	6510307	ILMN_1686988	11.44529
S3D_gene_probe_choice_for_projection	DENND2C	DENND2C	163259	7550519	ILMN_2106573	-8.061075
S3D_gene_probe_choice_for_projection	DENND2D	DENND2D	79961	1500703	ILMN_1707088	1254.775
S3D_gene_probe_choice_for_projection	DENND3	DENND3	22898	2320722	ILMN_1692742	348.0285
S3D_gene_probe_choice_for_projection	DENND4A	DENND4A	10260	6420184	ILMN_2041161	86.91447
S3D_gene_probe_choice_for_projection	DENND4B	DENND4B	9909	5690324	ILMN_3245066	690.1137
S3D_gene_probe_choice_for_projection	DENND4C	DENND4C	55667	2640240	ILMN_1669599	365.8255
S3D_gene_probe_choice_for_projection	DENND5A	DENND5A	23258	2640408	ILMN_1785356	1690.941
S3D_gene_probe_choice_for_projection	DENND5B	DENND5B	160518	1190047	ILMN_1791593	136.9654
S3D_gene_probe_choice_for_projection	DENND6A	DENND6A	201627	1740685	ILMN_1713178	320.9197
S3D_gene_probe_choice_for_projection	DENND6B	DENND6B	414918	6520241	ILMN_1659029	639.4672
S3D_gene_probe_choice_for_projection	DENR	DENR	8562	5260575	ILMN_2168952	1482.924
S3D_gene_probe_choice_for_projection	DEPDC1	DEPDC1	55635	6200201	ILMN_1802819	-4.230259
S3D_gene_probe_choice_for_projection	DEPDC1B	DEPDC1B	55789	7330338	ILMN_1814600	14.1143
S3D_gene_probe_choice_for_projection	DEPDC4	DEPDC4	120863	2140743	ILMN_2135527	-0.2339009
S3D_gene_probe_choice_for_projection	DEPDC5	DEPDC5	9681	1090291	ILMN_1658717	65.26747
S3D_gene_probe_choice_for_projection	DEPDC7	DEPDC7	91614	2630669	ILMN_2383163	-2.714499
S3D_gene_probe_choice_for_projection	DEPP1	DEPP1	11067	2900747	ILMN_1767556	11.88348
S3D_gene_probe_choice_for_projection	DEPTOR	DEPTOR	64798	3800095	ILMN_1756685	7.595741
S3D_gene_probe_choice_for_projection	DERA	DERA	51071	1770279	ILMN_1811551	781.5358
S3D_gene_probe_choice_for_projection	DERL1	DERL1	79139	2370129	ILMN_2209748	770.7338
S3D_gene_probe_choice_for_projection	DERL2	DERL2	51009	4010189	ILMN_1761969	228.953
S3D_gene_probe_choice_for_projection	DERL3	DERL3	91319	6270408	ILMN_1651415	28.81761
S3D_gene_probe_choice_for_projection	DES	DES	1674	10296	ILMN_1698995	-2.192548
S3D_gene_probe_choice_for_projection	DESI1	DESI1	27351	380541	ILMN_1737580	447.7471
S3D_gene_probe_choice_for_projection	DESI2	DESI2	51029	3870255	ILMN_1660840	195.0368
S3D_gene_probe_choice_for_projection	DET1	DET1	55070	3990605	ILMN_2145423	88.98909
S3D_gene_probe_choice_for_projection	DEUP1	DEUP1	159989	5700379	ILMN_1663062	-10.26715
S3D_gene_probe_choice_for_projection	DEXI	DEXI	28955	1500619	ILMN_1793287	948.0764
S3D_gene_probe_choice_for_projection	DFFA	DFFA	1676	50224	ILMN_2385220	467.7819
S3D_gene_probe_choice_for_projection	DFFB	DFFB	1677	3830095	ILMN_1678962	194.9919
S3D_gene_probe_choice_for_projection	DGAT1	DGAT1	8694	3610039	ILMN_1704091	260.9342
S3D_gene_probe_choice_for_projection	DGAT2	DGAT2	84649	3450537	ILMN_1681520	125.9768
S3D_gene_probe_choice_for_projection	DGAT2L6	DGAT2L6	347516	160577	ILMN_1739830	-5.402386
S3D_gene_probe_choice_for_projection	DGCR11	DGCR11	25786	7570142	ILMN_3236211	138.7973
S3D_gene_probe_choice_for_projection	DGCR2	DGCR2	9993	5670167	ILMN_1713301	236.1353
S3D_gene_probe_choice_for_projection	DGCR5	DGCR5	26220	6130392	ILMN_1804833	6.495285
S3D_gene_probe_choice_for_projection	DGCR6	DGCR6	8214	1010364	ILMN_1791396	800.508
S3D_gene_probe_choice_for_projection	DGCR6L	DGCR6L	85359	1010364	ILMN_1791396	800.508
S3D_gene_probe_choice_for_projection	DGCR8	DGCR8	54487	290053	ILMN_1694223	191.5487
S3D_gene_probe_choice_for_projection	DGKA	DGKA	1606	6940088	ILMN_2319913	341.6041
S3D_gene_probe_choice_for_projection	DGKB	DGKB	1607	1770273	ILMN_1730678	7235.671
S3D_gene_probe_choice_for_projection	DGKD	DGKD	8527	4120491	ILMN_1765326	495.3836
S3D_gene_probe_choice_for_projection	DGKE	DGKE	8526	3180543	ILMN_1717946	9.609632
S3D_gene_probe_choice_for_projection	DGKG	DGKG	1608	6350521	ILMN_1741960	5.984289
S3D_gene_probe_choice_for_projection	DGKH	DGKH	160851	1010162	ILMN_1714087	4.233423
S3D_gene_probe_choice_for_projection	DGKI	DGKI	9162	2120025	ILMN_1718266	-12.91446
S3D_gene_probe_choice_for_projection	DGKK	DGKK	139189	5700435	ILMN_1707799	-14.83396
S3D_gene_probe_choice_for_projection	DGKQ	DGKQ	1609	7510356	ILMN_1793017	353.4681
S3D_gene_probe_choice_for_projection	DGKZ	DGKZ	8525	4830102	ILMN_1757143	19.78472
S3D_gene_probe_choice_for_projection	DGLUCY	DGLUCY	80017	130020	ILMN_1721106	876.9885
S3D_gene_probe_choice_for_projection	DGUOK	DGUOK	1716	430242	ILMN_1743432	1607.998
S3D_gene_probe_choice_for_projection	DHCR24	DHCR24	1718	4480341	ILMN_1725510	25.50417
S3D_gene_probe_choice_for_projection	DHCR7	DHCR7	1717	6550048	ILMN_1815626	95.88765
S3D_gene_probe_choice_for_projection	DHDDS	DHDDS	79947	3440403	ILMN_1789535	312.9244
S3D_gene_probe_choice_for_projection	DHDH	DHDH	27294	6770630	ILMN_1689200	10.09837
S3D_gene_probe_choice_for_projection	DHFR	DHFR	1719	5340154	ILMN_1759872	28549.79
S3D_gene_probe_choice_for_projection	DHFR2	DHFR2	200895	2480768	ILMN_1762426	254.5349
S3D_gene_probe_choice_for_projection	DHFRP3	DHFRP3	1720	4230048	ILMN_1654171	-7.653415
S3D_gene_probe_choice_for_projection	DHH	DHH	50846	610039	ILMN_1799996	14.35293
S3D_gene_probe_choice_for_projection	DHODH	DHODH	1723	630475	ILMN_2381206	6.985141
S3D_gene_probe_choice_for_projection	DHPS	DHPS	1725	6450458	ILMN_2326997	1023.896
S3D_gene_probe_choice_for_projection	DHRS1	DHRS1	115817	1470017	ILMN_1807206	451.5876
S3D_gene_probe_choice_for_projection	DHRS11	DHRS11	79154	6980300	ILMN_1756701	53.8978
S3D_gene_probe_choice_for_projection	DHRS12	DHRS12	79758	5050274	ILMN_1669177	71.75858
S3D_gene_probe_choice_for_projection	DHRS13	DHRS13	147015	5550553	ILMN_1790781	207.1287
S3D_gene_probe_choice_for_projection	DHRS2	DHRS2	10202	2850020	ILMN_1725726	9.542469
S3D_gene_probe_choice_for_projection	DHRS3	DHRS3	9249	7040670	ILMN_1752478	193.4673
S3D_gene_probe_choice_for_projection	DHRS4	DHRS4	10901	1340274	ILMN_2185884	869.3149
S3D_gene_probe_choice_for_projection	DHRS4-AS1	DHRS4-AS1	55449	2370402	ILMN_3187771	133.5555
S3D_gene_probe_choice_for_projection	DHRS4L1	DHRS4L1	728635	3990521	ILMN_1676014	295.7895
S3D_gene_probe_choice_for_projection	DHRS4L2	DHRS4L2	317749	1070414	ILMN_1761450	163.1752
S3D_gene_probe_choice_for_projection	DHRS7	DHRS7	51635	3930731	ILMN_1807455	2961.794
S3D_gene_probe_choice_for_projection	DHRS7B	DHRS7B	25979	670561	ILMN_1707901	187.478
S3D_gene_probe_choice_for_projection	DHRS7C	DHRS7C	201140	6100722	ILMN_3237936	4.32358
S3D_gene_probe_choice_for_projection	DHRS9	DHRS9	10170	630315	ILMN_1733998	1817.646
S3D_gene_probe_choice_for_projection	DHRSX	DHRSX	207063	5270762	ILMN_1704139	132.0563
S3D_gene_probe_choice_for_projection	DHTKD1	DHTKD1	55526	6250075	ILMN_1664369	83.39874
S3D_gene_probe_choice_for_projection	DHX15	DHX15	1665	2900735	ILMN_2168449	1599.874
S3D_gene_probe_choice_for_projection	DHX16	DHX16	8449	1570520	ILMN_1716922	815.1268
S3D_gene_probe_choice_for_projection	DHX29	DHX29	54505	5130458	ILMN_2090123	306.8947
S3D_gene_probe_choice_for_projection	DHX30	DHX30	22907	1340193	ILMN_1795218	327.1814
S3D_gene_probe_choice_for_projection	DHX32	DHX32	55760	1980164	ILMN_1713688	117.6493
S3D_gene_probe_choice_for_projection	DHX33	DHX33	56919	2450286	ILMN_1744308	179.9536
S3D_gene_probe_choice_for_projection	DHX34	DHX34	9704	3310725	ILMN_1747506	294.5768
S3D_gene_probe_choice_for_projection	DHX35	DHX35	60625	20192	ILMN_1733667	57.04019
S3D_gene_probe_choice_for_projection	DHX36	DHX36	170506	150050	ILMN_1738272	174.4922
S3D_gene_probe_choice_for_projection	DHX37	DHX37	57647	4260142	ILMN_2192683	378.8689
S3D_gene_probe_choice_for_projection	DHX38	DHX38	9785	2060546	ILMN_1735679	116.2077
S3D_gene_probe_choice_for_projection	DHX40	DHX40	79665	5220433	ILMN_2248589	423.789
S3D_gene_probe_choice_for_projection	DHX57	DHX57	90957	730180	ILMN_1796082	5.796222
S3D_gene_probe_choice_for_projection	DHX58	DHX58	79132	3930681	ILMN_1678422	148.8548
S3D_gene_probe_choice_for_projection	DHX8	DHX8	1659	870246	ILMN_1687419	84.45789
S3D_gene_probe_choice_for_projection	DHX9	DHX9	1660	6900725	ILMN_1656016	133.1351
S3D_gene_probe_choice_for_projection	DIABLO	DIABLO	56616	4890717	ILMN_2310589	1141.649
S3D_gene_probe_choice_for_projection	DIAPH1	DIAPH1	1729	3940670	ILMN_2321416	798.7448
S3D_gene_probe_choice_for_projection	DIAPH2	DIAPH2	1730	5270181	ILMN_1744046	310.0453
S3D_gene_probe_choice_for_projection	DIAPH3	DIAPH3	81624	5390672	ILMN_2373689	13.70656
S3D_gene_probe_choice_for_projection	DICER1	DICER1	23405	5130091	ILMN_1772692	328.5052
S3D_gene_probe_choice_for_projection	DICER1-AS1	DICER1-AS1	400242	6330653	ILMN_1764619	99.7855
S3D_gene_probe_choice_for_projection	DIDO1	DIDO1	11083	5390707	ILMN_1763605	210.1528
S3D_gene_probe_choice_for_projection	DIMT1	DIMT1	27292	1110114	ILMN_1803312	515.4576
S3D_gene_probe_choice_for_projection	DIO1	DIO1	1733	3140465	ILMN_2414786	4.109661
S3D_gene_probe_choice_for_projection	DIO2	DIO2	1734	2190326	ILMN_1737650	2.120623
S3D_gene_probe_choice_for_projection	DIO3	DIO3	1735	6180348	ILMN_2075067	14.21115
S3D_gene_probe_choice_for_projection	DIO3OS	DIO3OS	64150	130746	ILMN_3245591	29.63376
S3D_gene_probe_choice_for_projection	DIP2A	DIP2A	23181	2490685	ILMN_2277523	78.05544
S3D_gene_probe_choice_for_projection	DIP2B	DIP2B	57609	7510392	ILMN_2180352	905.582
S3D_gene_probe_choice_for_projection	DIP2C	DIP2C	22982	6620703	ILMN_1676062	28.93076
S3D_gene_probe_choice_for_projection	DIP2C-AS1	DIP2C-AS1	414235	70064	ILMN_1654413	1.039164
S3D_gene_probe_choice_for_projection	DIPK1A	DIPK1A	388650	2970433	ILMN_3307791	250.4271
S3D_gene_probe_choice_for_projection	DIPK1B	DIPK1B	138311	3450114	ILMN_1757440	81.47675
S3D_gene_probe_choice_for_projection	DIPK1C	DIPK1C	125704	6660427	ILMN_2173500	-1.627921
S3D_gene_probe_choice_for_projection	DIPK2A	DIPK2A	205428	4060131	ILMN_1797372	169.9104
S3D_gene_probe_choice_for_projection	DIPK2B	DIPK2B	79742	3780215	ILMN_2047480	30.35178
S3D_gene_probe_choice_for_projection	DIRAS1	DIRAS1	148252	6560280	ILMN_1775048	-1.809384
S3D_gene_probe_choice_for_projection	DIRAS2	DIRAS2	54769	5340605	ILMN_1742846	20.86246
S3D_gene_probe_choice_for_projection	DIRAS3	DIRAS3	9077	6370221	ILMN_1688877	12.70809
S3D_gene_probe_choice_for_projection	DIRC1	DIRC1	116093	1660553	ILMN_1766986	22.45589
S3D_gene_probe_choice_for_projection	DIRC3	DIRC3	729582	5720286	ILMN_1890253	2.767115
S3D_gene_probe_choice_for_projection	DIS3	DIS3	22894	4640719	ILMN_1799796	34.26133
S3D_gene_probe_choice_for_projection	DIS3L	DIS3L	115752	4280300	ILMN_1795822	299.1071
S3D_gene_probe_choice_for_projection	DIS3L2	DIS3L2	129563	4780102	ILMN_1745737	67.94827
S3D_gene_probe_choice_for_projection	DISC1	DISC1	27185	1300246	ILMN_1676632	80.93738
S3D_gene_probe_choice_for_projection	DISC2	DISC2	27184	6520465	ILMN_1744752	4.730603
S3D_gene_probe_choice_for_projection	DISP1	DISP1	84976	5570246	ILMN_1695745	37.49663
S3D_gene_probe_choice_for_projection	DISP2	DISP2	85455	7200348	ILMN_1813517	13.37389
S3D_gene_probe_choice_for_projection	DISP3	DISP3	57540	4570156	ILMN_1767927	-5.556329
S3D_gene_probe_choice_for_projection	DIXDC1	DIXDC1	85458	2340246	ILMN_2375830	21.06173
S3D_gene_probe_choice_for_projection	DKC1	DKC1	1736	6980327	ILMN_1671257	584.6121
S3D_gene_probe_choice_for_projection	DKFZP434A062	DKFZP434A062	26102	4480376	ILMN_3266133	-5.479672
S3D_gene_probe_choice_for_projection	DKFZP586I1420	DKFZP586I1420	222161	7050139	ILMN_2216838	217.092
S3D_gene_probe_choice_for_projection	DKK1	DKK1	22943	5570102	ILMN_1773337	11.09749
S3D_gene_probe_choice_for_projection	DKK2	DKK2	27123	4900050	ILMN_2194688	14.14554
S3D_gene_probe_choice_for_projection	DKK3	DKK3	27122	3130681	ILMN_1739759	5.455739
S3D_gene_probe_choice_for_projection	DKK4	DKK4	27121	7040100	ILMN_1712729	-15.21276
S3D_gene_probe_choice_for_projection	DKKL1	DKKL1	27120	990400	ILMN_1789148	17.49516
S3D_gene_probe_choice_for_projection	DLAT	DLAT	1737	6330689	ILMN_1706583	75.95986
S3D_gene_probe_choice_for_projection	DLC1	DLC1	10395	2370142	ILMN_1729409	-2.490225
S3D_gene_probe_choice_for_projection	DLD	DLD	1738	1260195	ILMN_1664577	167.2925
S3D_gene_probe_choice_for_projection	DLEC1	DLEC1	9940	7200035	ILMN_2401987	9.39854
S3D_gene_probe_choice_for_projection	DLEU1	DLEU1	10301	5490053	ILMN_2043918	108.4073
S3D_gene_probe_choice_for_projection	DLEU2	DLEU2	8847	4480487	ILMN_1784046	20.53379
S3D_gene_probe_choice_for_projection	DLEU2L	DLEU2L	79469	1500661	ILMN_1658607	63.69177
S3D_gene_probe_choice_for_projection	DLEU7	DLEU7	220107	1190278	ILMN_3307752	36.05355
S3D_gene_probe_choice_for_projection	DLG1	DLG1	1739	4210541	ILMN_1701958	15.95595
S3D_gene_probe_choice_for_projection	DLG2	DLG2	1740	450528	ILMN_1733043	-4.641639
S3D_gene_probe_choice_for_projection	DLG3	DLG3	1741	540379	ILMN_1811515	-1.642321
S3D_gene_probe_choice_for_projection	DLG4	DLG4	1742	5560110	ILMN_1768595	58.52884
S3D_gene_probe_choice_for_projection	DLG5	DLG5	9231	6510215	ILMN_1744709	16.65228
S3D_gene_probe_choice_for_projection	DLG5-AS1	DLG5-AS1	100128292	6760014	ILMN_3249338	-9.440751
S3D_gene_probe_choice_for_projection	DLGAP1	DLGAP1	9229	1740091	ILMN_1805654	17.27798
S3D_gene_probe_choice_for_projection	DLGAP1-AS1	DLGAP1-AS1	649446	3130332	ILMN_3307940	87.96389
S3D_gene_probe_choice_for_projection	DLGAP1-AS5	DLGAP1-AS5	284215	6450743	ILMN_1864588	8.476696
S3D_gene_probe_choice_for_projection	DLGAP2	DLGAP2	9228	650161	ILMN_1713139	-9.512096
S3D_gene_probe_choice_for_projection	DLGAP3	DLGAP3	58512	450048	ILMN_1671626	-2.646267
S3D_gene_probe_choice_for_projection	DLGAP4	DLGAP4	22839	5810008	ILMN_1754842	92.40237
S3D_gene_probe_choice_for_projection	DLGAP5	DLGAP5	9787	5220095	ILMN_3239771	56.04197
S3D_gene_probe_choice_for_projection	DLK1	DLK1	8788	3370561	ILMN_1652975	-0.4353898
S3D_gene_probe_choice_for_projection	DLK2	DLK2	65989	1070037	ILMN_1662010	29.61526
S3D_gene_probe_choice_for_projection	DLL1	DLL1	28514	4050687	ILMN_1743373	28.80128
S3D_gene_probe_choice_for_projection	DLL3	DLL3	10683	4210382	ILMN_1736096	-6.737885
S3D_gene_probe_choice_for_projection	DLL4	DLL4	54567	3140682	ILMN_1690174	-2.104853
S3D_gene_probe_choice_for_projection	DLST	DLST	1743	6450681	ILMN_1773228	279.6332
S3D_gene_probe_choice_for_projection	DLX1	DLX1	1745	1450341	ILMN_2388445	14.12406
S3D_gene_probe_choice_for_projection	DLX2	DLX2	1746	3780553	ILMN_1692368	13.44131
S3D_gene_probe_choice_for_projection	DLX3	DLX3	1747	6380193	ILMN_1789357	13.22529
S3D_gene_probe_choice_for_projection	DLX4	DLX4	1748	2570301	ILMN_1771113	24.82084
S3D_gene_probe_choice_for_projection	DLX5	DLX5	1749	3370767	ILMN_1759598	-7.831328
S3D_gene_probe_choice_for_projection	DLX6	DLX6	1750	1770639	ILMN_2225151	-11.05466
S3D_gene_probe_choice_for_projection	DLX6-AS1	DLX6-AS1	285987	510477	ILMN_3242922	1.176561
S3D_gene_probe_choice_for_projection	DMAC1	DMAC1	90871	70753	ILMN_1769409	171.6753
S3D_gene_probe_choice_for_projection	DMAC2	DMAC2	55101	1990274	ILMN_1809027	464.8235
S3D_gene_probe_choice_for_projection	DMAC2L	DMAC2L	27109	5560053	ILMN_1679188	163.024
S3D_gene_probe_choice_for_projection	DMAP1	DMAP1	55929	5490646	ILMN_1773885	541.0845
S3D_gene_probe_choice_for_projection	DMBT1	DMBT1	1755	4880458	ILMN_1681612	5.706602
S3D_gene_probe_choice_for_projection	DMBT1L1	DMBT1L1	375940	940437	ILMN_1719635	-0.7714997
S3D_gene_probe_choice_for_projection	DMBX1	DMBX1	127343	2940187	ILMN_1765993	5.928891
S3D_gene_probe_choice_for_projection	DMC1	DMC1	11144	5670435	ILMN_2162367	9903.245
S3D_gene_probe_choice_for_projection	DMD	DMD	1756	1820224	ILMN_1656315	23.53585
S3D_gene_probe_choice_for_projection	DMGDH	DMGDH	29958	520202	ILMN_1717853	-5.850642
S3D_gene_probe_choice_for_projection	DMKN	DMKN	93099	990743	ILMN_2391264	9.636683
S3D_gene_probe_choice_for_projection	DMP1	DMP1	1758	6270162	ILMN_2300022	-6.524076
S3D_gene_probe_choice_for_projection	DMPK	DMPK	1760	3930164	ILMN_1689828	-1.201738
S3D_gene_probe_choice_for_projection	DMRT1	DMRT1	1761	5570703	ILMN_2209221	-5.459411
S3D_gene_probe_choice_for_projection	DMRT2	DMRT2	10655	1190091	ILMN_1751785	-1.620024
S3D_gene_probe_choice_for_projection	DMRT3	DMRT3	58524	2370768	ILMN_1687220	-12.66124
S3D_gene_probe_choice_for_projection	DMRTA1	DMRTA1	63951	6290717	ILMN_1655521	-3.794506
S3D_gene_probe_choice_for_projection	DMRTA2	DMRTA2	63950	7380609	ILMN_1699491	15.89664
S3D_gene_probe_choice_for_projection	DMRTB1	DMRTB1	63948	1070341	ILMN_1754187	26.01104
S3D_gene_probe_choice_for_projection	DMRTC1	DMRTC1	63947	780577	ILMN_1678217	16.21321
S3D_gene_probe_choice_for_projection	DMRTC1B	DMRTC1B	728656	780577	ILMN_1678217	16.21321
S3D_gene_probe_choice_for_projection	DMRTC2	DMRTC2	63946	5130398	ILMN_2178771	-9.858327
S3D_gene_probe_choice_for_projection	DMTF1	DMTF1	9988	2850064	ILMN_2119486	435.0312
S3D_gene_probe_choice_for_projection	DMTN	DMTN	2039	4610670	ILMN_1671686	997.4903
S3D_gene_probe_choice_for_projection	DMWD	DMWD	1762	3850731	ILMN_1714352	116.653
S3D_gene_probe_choice_for_projection	DMXL1	DMXL1	1657	6450438	ILMN_1663646	7.314851
S3D_gene_probe_choice_for_projection	DMXL2	DMXL2	23312	4860438	ILMN_1705663	57.98925
S3D_gene_probe_choice_for_projection	DNA2	DNA2	1763	6380452	ILMN_2282959	65.97277
S3D_gene_probe_choice_for_projection	DNAAF1	DNAAF1	123872	5550035	ILMN_1776967	17.29116
S3D_gene_probe_choice_for_projection	DNAAF10	DNAAF10	116143	7560136	ILMN_1662065	82.65143
S3D_gene_probe_choice_for_projection	DNAAF11	DNAAF11	23639	2350477	ILMN_1739683	50.24462
S3D_gene_probe_choice_for_projection	DNAAF2	DNAAF2	55172	2490408	ILMN_1769757	34.01287
