supplementary_table_section	SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
S3D_gene_probe_choice_for_projection	AAMP	AAMP	14	4610048	ILMN_1653165	192.5088
S3D_gene_probe_choice_for_projection	AANAT	AANAT	15	1070703	ILMN_1729835	-16.9805
S3D_gene_probe_choice_for_projection	AAR2	AAR2	25980	5130129	ILMN_1721225	488.2968
S3D_gene_probe_choice_for_projection	AARD	AARD	441376	1980349	ILMN_2159290	-6.53224
S3D_gene_probe_choice_for_projection	AARS1	AARS1	16	290603	ILMN_1662364	986.8609
S3D_gene_probe_choice_for_projection	AARS2	AARS2	57505	540255	ILMN_1674698	159.3008
S3D_gene_probe_choice_for_projection	AASDH	AASDH	132949	4150561	ILMN_1784269	106.8077
S3D_gene_probe_choice_for_projection	AASDHPPT	AASDHPPT	60496	7040717	ILMN_2096191	237.3462
S3D_gene_probe_choice_for_projection	AASS	AASS	10157	60280	ILMN_1678323	6.245543
S3D_gene_probe_choice_for_projection	AATBC	AATBC	284837	5220427	ILMN_1756131	104.8073
S3D_gene_probe_choice_for_projection	AATF	AATF	26574	6020372	ILMN_1703743	332.1674
S3D_gene_probe_choice_for_projection	AATK	AATK	9625	7400300	ILMN_1699334	103.2114
S3D_gene_probe_choice_for_projection	ABAT	ABAT	18	1230592	ILMN_1805104	16.95941
S3D_gene_probe_choice_for_projection	ABCA1	ABCA1	19	4060358	ILMN_1766054	967.4985
S3D_gene_probe_choice_for_projection	ABCA10	ABCA10	10349	3190541	ILMN_1753388	7.120396
S3D_gene_probe_choice_for_projection	ABCA11P	ABCA11P	79963	2320403	ILMN_2232084	3.19703
S3D_gene_probe_choice_for_projection	ABCA12	ABCA12	26154	4900711	ILMN_2361400	-9.959236
S3D_gene_probe_choice_for_projection	ABCA13	ABCA13	154664	1780537	ILMN_1704579	-13.01447
S3D_gene_probe_choice_for_projection	ABCA17P	ABCA17P	650655	1690110	ILMN_1823245	-1.904505
S3D_gene_probe_choice_for_projection	ABCA2	ABCA2	20	2320243	ILMN_1747627	139.9886
S3D_gene_probe_choice_for_projection	ABCA3	ABCA3	21	430402	ILMN_1758523	17.40941
