scoring_population	final_module_id	deletion_order	final_module_label	final_module_direction	deleted_gene_1	deleted_gene_2	available_gene_count	retained_gene_count	n_bacterial	n_viral	mean_bacterial	mean_viral	median_bacterial	median_viral	median_difference_bacterial_minus_viral	full_module_median_difference	effect_change_from_full	abs_effect_change_from_full	wilcox_W	wilcox_p	nominal_p_lt_0_05	full_module_wilcox_p	full_module_nominal_p_lt_0_05	same_nominal_significance_state_as_full	expected_direction_match	effect_sign_preserved_vs_full	pearson_correlation_with_full_scores	spearman_correlation_with_full_scores	mean_abs_score_deviation	max_abs_score_deviation	absolute_median_difference	worst_case_criterion
main_all_projected_reference	BACT_M1	leave_one	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPS9	none	24	23	52	94	0.086163702361509	-0.060693072607468	-0.0651008501499189	-0.242550470297953	0.177449620148034	0.206714010970064	-0.0292643908220296	0.0292643908220296	2841	0.105156541069169	FALSE	0.0799243564652853	FALSE	TRUE	TRUE	TRUE	0.999678374988622	0.999054233781587	0.0165437465661892	0.0705930340021799	0.177449620148034	largest_absolute_effect_change
main_all_projected_reference	BACT_M1	leave_one	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	EIF4EBP2	none	24	23	52	94	0.0897948837977252	-0.0645923412181934	-0.0857457619276656	-0.264500890087421	0.178755128159755	0.206714010970064	-0.0279588828103086	0.0279588828103086	2874	0.0792230895325722	FALSE	0.0799243564652853	FALSE	TRUE	TRUE	TRUE	0.998854614191587	0.997388798581351	0.0356377591612228	0.175114668072869	0.178755128159755	largest_sample_score_deviation
main_all_projected_reference	BACT_M1	leave_one	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPS9	none	24	23	52	94	0.086163702361509	-0.060693072607468	-0.0651008501499189	-0.242550470297953	0.177449620148034	0.206714010970064	-0.0292643908220296	0.0292643908220296	2841	0.105156541069169	FALSE	0.0799243564652853	FALSE	TRUE	TRUE	TRUE	0.999678374988622	0.999054233781587	0.0165437465661892	0.0705930340021799	0.177449620148034	largest_wilcox_p
main_all_projected_reference	BACT_M1	leave_one	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	UBA52	none	24	23	52	94	0.123620042870083	-0.0690515465251733	-0.0203479904510598	-0.255846267027925	0.235498276576865	0.206714010970064	0.0287842656068013	0.0287842656068013	2943	0.0416310130896972	TRUE	0.0799243564652853	FALSE	FALSE	TRUE	TRUE	0.998797711530136	0.996007093246638	0.0392455522038621	0.120054245625695	0.235498276576865	lowest_pearson_correlation
main_all_projected_reference	BACT_M1	leave_one	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPS9	none	24	23	52	94	0.086163702361509	-0.060693072607468	-0.0651008501499189	-0.242550470297953	0.177449620148034	0.206714010970064	-0.0292643908220296	0.0292643908220296	2841	0.105156541069169	FALSE	0.0799243564652853	FALSE	TRUE	TRUE	TRUE	0.999678374988622	0.999054233781587	0.0165437465661892	0.0705930340021799	0.177449620148034	smallest_absolute_median_difference
main_all_projected_reference	BACT_M1	leave_two	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPL27	RPS9	24	22	52	94	0.0768223247719878	-0.0543081698860262	-0.0761786259444491	-0.225212914232461	0.149034288288012	0.206714010970064	-0.0576797226820519	0.0576797226820519	2807	0.138498172802768	FALSE	0.0799243564652853	FALSE	TRUE	TRUE	TRUE	0.999373940295572	0.998443919018768	0.0239332425286964	0.116552356834874	0.149034288288012	largest_absolute_effect_change
main_all_projected_reference	BACT_M1	leave_two	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	EIF4EBP2	RPS4Y1	24	22	52	94	0.104524781818889	-0.0713896968617162	-0.0963873540090645	-0.298189294827283	0.201801940818219	0.206714010970064	-0.0049120701518453	0.0049120701518453	2903	0.0609684301340829	FALSE	0.0799243564652853	FALSE	TRUE	TRUE	TRUE	0.997258889246092	0.994566277523275	0.0576965598015006	0.362637759688433	0.201801940818219	largest_sample_score_deviation
main_all_projected_reference	BACT_M1	leave_two	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPL27	RPS9	24	22	52	94	0.0768223247719878	-0.0543081698860262	-0.0761786259444491	-0.225212914232461	0.149034288288012	0.206714010970064	-0.0576797226820519	0.0576797226820519	2807	0.138498172802768	FALSE	0.0799243564652853	FALSE	TRUE	TRUE	TRUE	0.999373940295572	0.998443919018768	0.0239332425286964	0.116552356834874	0.149034288288012	largest_wilcox_p
main_all_projected_reference	BACT_M1	leave_two	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPS4Y1	UBA52	24	22	52	94	0.139887448121808	-0.0760515933190134	-0.0165666888574501	-0.270655362450524	0.254088673593074	0.206714010970064	0.0473746626230099	0.0473746626230099	2978	0.0292409861238451	TRUE	0.0799243564652853	FALSE	FALSE	TRUE	TRUE	0.996860496644585	0.992263927885326	0.066529702116519	0.280047423110852	0.254088673593074	lowest_pearson_correlation
main_all_projected_reference	BACT_M1	leave_two	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	RPL27	RPS9	24	22	52	94	0.0768223247719878	-0.0543081698860262	-0.0761786259444491	-0.225212914232461	0.149034288288012	0.206714010970064	-0.0576797226820519	0.0576797226820519	2807	0.138498172802768	FALSE	0.0799243564652853	FALSE	TRUE	TRUE	TRUE	0.999373940295572	0.998443919018768	0.0239332425286964	0.116552356834874	0.149034288288012	smallest_absolute_median_difference
main_all_projected_reference	BACT_M2	leave_one	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	SLC25A14	none	21	20	52	94	0.218964865429285	-0.0275176655744365	0.276469029454703	-0.134191375006186	0.410660404460888	0.332836499835232	0.0778239046256558	0.0778239046256558	3095	0.00785221603112061	TRUE	0.0161730187854322	TRUE	TRUE	TRUE	TRUE	0.998928079114503	0.998398108467563	0.0258490652520514	0.0920454547070084	0.410660404460888	largest_absolute_effect_change
main_all_projected_reference	BACT_M2	leave_one	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	NDUFAF7	none	21	20	52	94	0.19657851870449	-0.0113755614712309	0.188731731494826	-0.128483498786391	0.317215230281218	0.332836499835232	-0.0156212695540148	0.0156212695540148	2995	0.0244683008851874	TRUE	0.0161730187854322	TRUE	TRUE	TRUE	TRUE	0.997873301863221	0.996094281069898	0.0323520624676376	0.242087574426518	0.317215230281218	largest_sample_score_deviation
