scoring_population	final_module_id	final_module_label	final_module_direction	n_bacterial	n_viral	mean_bacterial	sd_bacterial	q1_bacterial	median_bacterial	q3_bacterial	iqr_bacterial	mean_viral	sd_viral	q1_viral	median_viral	q3_viral	iqr_viral	median_difference_bacterial_minus_viral	hodges_lehmann_bacterial_minus_viral	hodges_lehmann_ci_lower	hodges_lehmann_ci_upper	rank_biserial_bacterial_vs_viral	rank_biserial_ci_lower	rank_biserial_ci_upper	wilcox_W	wilcox_p	bootstrap_replicates	bootstrap_seed	wilcox_p_BH	expected_direction_match
main_all_projected_reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	52	94	0.287990957121414	0.372512657756485	0.0966076508499451	0.386974518202842	0.610998943759946	0.514391292910001	-0.132407578402225	0.511741159593085	-0.573020617545091	-0.31759509909481	0.394661155341903	0.967681772886994	0.704569617297652	0.445508833789883	0.251312452373754	0.678397266645666	0.466448445171849	0.299918166939444	0.621941489361702	3584	3.21277543005381e-06	10000	20302806	4.01596928756726e-06	TRUE
main_all_projected_reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	52	94	0.350578404079403	0.286487208084603	0.309251205612887	0.43482482667855	0.537729657503114	0.228478451890227	-0.109548520937793	0.378521508177625	-0.425787061878418	-0.180947247684453	0.188009540327	0.613796602205418	0.615772074363003	0.477544967124374	0.348977481181908	0.637712771550629	0.653436988543372	0.51759410801964	0.77823240589198	4041	6.83105513071542e-11	10000	20302807	3.41552756535771e-10	TRUE
main_all_projected_reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	52	94	-0.177987595832506	0.21774282900821	-0.324312343017668	-0.234516892894495	-0.0751178479459447	0.249194495071723	0.158564069712753	0.282172775048392	-0.109811274993636	0.2280980867206	0.399798241091262	0.509609516084898	-0.462614979615095	-0.354578490651028	-0.465959396165608	-0.250066641433702	-0.638707037643208	-0.765139116202946	-0.492225859247136	883	1.80353271064987e-10	10000	20302808	4.50883177662468e-10	TRUE
main_all_projected_reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	52	94	-0.111358490153579	0.295080234870689	-0.347611605918184	-0.189992887943887	0.0721926373344408	0.419804243252625	0.19450931015835	0.342369892712288	-0.00155369001378307	0.266434667207044	0.491460726851469	0.493014416865252	-0.456427555150931	-0.338747040347214	-0.475973141266774	-0.206679907049569	-0.496317512274959	-0.648936170212766	-0.3310147299509	1231	7.23114240049217e-07	10000	20302809	1.20519040008203e-06	TRUE
main_all_projected_reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	52	94	-0.0637277423318132	0.156627962746737	-0.182508451679889	-0.0698670527011173	0.0165717819358318	0.199080233615721	-0.0553384381700055	0.159231812604281	-0.177511995090494	-0.067231307705093	0.0485721822923172	0.226084177382811	-0.00263574499602431	-0.00986999168751061	-0.0678919081167231	0.045968532158052	-0.0335515548281505	-0.231198854337152	0.161211129296236	2362	0.739088131179405	10000	20302810	0.739088131179405	TRUE
primary_only_reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	52	94	0.298100817521494	0.381266599105083	0.120784448616818	0.384323400140486	0.621242291415725	0.500457842798907	-0.135216464789528	0.532450028575319	-0.592610360313508	-0.288813745934725	0.422834343552854	1.01544470386636	0.67313714607521	0.457928342466951	0.244997535688227	0.698348452416874	0.465220949263502	0.302373158756138	0.618657937806874	3581	3.40957029534052e-06	10000	20302811	4.26196286917565e-06	TRUE
primary_only_reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	52	94	0.302243028761795	0.315021854794463	0.201105283011808	0.375590963431733	0.526723866346405	0.325618583334598	-0.17236057295411	0.388539148311912	-0.508113230899021	-0.280504212419009	0.105065357611284	0.613178588510305	0.656095175850742	0.521265312216722	0.361546463709169	0.680750552987627	0.631751227495908	0.486497545008183	0.760638297872341	3988	2.83160386981339e-10	10000	20302812	7.07900967453348e-10	TRUE
primary_only_reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	52	94	-0.22494291162921	0.221107833391407	-0.376553737999001	-0.310899992221744	-0.123742856474696	0.252810881524305	0.117711062345033	0.295967801175424	-0.176819162354541	0.145806878263062	0.381011790576199	0.55783095293074	-0.456706870484806	-0.355522051699045	-0.469748538128787	-0.242795698544368	-0.637888707037643	-0.767195171849427	-0.495488952536825	885	1.90229782686463e-10	10000	20302813	7.07900967453348e-10	TRUE
primary_only_reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	52	94	-0.227252411442778	0.286333364334255	-0.434257975410435	-0.276613972559846	-0.11911912496473	0.315138850445705	0.0986053251380207	0.365127416406858	-0.18840432729505	0.161522750357228	0.421089763437052	0.609494090732103	-0.438136722917074	-0.344462738393105	-0.484256003809237	-0.209564890237484	-0.501636661211129	-0.65671031096563	-0.337551145662848	1218	5.49479819469469e-07	10000	20302814	9.15799699115782e-07	TRUE
primary_only_reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	52	94	-0.015967085389929	0.163796170360525	-0.119308002496809	-0.0163584870878684	0.0691383936660669	0.188446396162876	0.0075040388959933	0.166773462561917	-0.0938315432073011	0.0177217543445526	0.120385018492829	0.21421656170013	-0.034080241432421	-0.0350186564301096	-0.0889918819213673	0.0263101395729792	-0.114157119476268	-0.303610883797054	0.0826513911620295	2165	0.255066546945129	10000	20302815	0.255066546945129	TRUE
