supplementary_table_section	final_module_id	final_module_label	final_module_direction	ENTREZID	SYMBOL	SYMBOL_UPPER	symbol_match	entrez_match	any_match
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	91942	NDUFAF2	NDUFAF2	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	137682	NDUFAF6	NDUFAF6	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	55471	NDUFAF7	NDUFAF7	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	284184	NDUFAF8	NDUFAF8	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	4707	NDUFB1	NDUFB1	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	4709	NDUFB3	NDUFB3	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	4718	NDUFC2	NDUFC2	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	4724	NDUFS4	NDUFS4	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	4731	NDUFV3	NDUFV3	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	9016	SLC25A14	SLC25A14	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	84233	TMEM126A	TMEM126A	True	True	True
S3B_matched_locked_module_genes	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	25880	TMEM186	TMEM186	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	59	ACTA2	ACTA2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	575	ADGRB1	ADGRB1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	9582	APOBEC3B	APOBEC3B	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	200316	APOBEC3F	APOBEC3F	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	164668	APOBEC3H	APOBEC3H	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	481	ATP1B1	ATP1B1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	558	AXL	AXL	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	64343	AZI2	AZI2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	596	BCL2	BCL2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	640	BLK	BLK	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	665	BNIP3L	BNIP3L	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	717	C2	C2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	64170	CARD9	CARD9	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	6355	CCL8	CCL8	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	11126	CD160	CD160	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	912	CD1D	CD1D	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	958	CD40	CD40	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	1021	CDK6	CDK6	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10462	CLEC10A	CLEC10A	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	58487	CREBZF	CREBZF	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	1435	CSF1	CSF1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10521	DDX17	DDX17	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	9188	DDX21	DDX21	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	1654	DDX3X	DDX3X	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	55601	DDX60	DDX60	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	91351	DDX60L	DDX60L	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	1672	DEFB1	DEFB1	True	True	True
