requested_entrez	requested_symbol	authorized_probe_count	authorized_probe_ids	reference_population	reference_n	reference_mean	reference_sd
1654	DDX3X	2	ILMN_1728870;ILMN_1794392	All 146 GSE72810 samples	146	7.6729858542911	0.278675171280295
55601	DDX60	1	ILMN_1795181	All 146 GSE72810 samples	146	7.26887634077397	0.835051151742947
1672	DEFB1	1	ILMN_1686573	All 146 GSE72810 samples	146	6.13380502176712	0.602735839585023
79132	DHX58	1	ILMN_1678422	All 146 GSE72810 samples	146	7.28206635492466	0.932260492677946
151636	DTX3L	1	ILMN_1784380	All 146 GSE72810 samples	146	6.48564149389041	0.343581249650892
5610	EIF2AK2	1	ILMN_1706502	All 146 GSE72810 samples	146	10.1747712692466	1.05505766755381
1979	EIF4EBP2	1	ILMN_1728083	All 146 GSE72810 samples	146	8.24339392005479	0.38069934496724
1997	ELF1	1	ILMN_1664010	All 146 GSE72810 samples	146	9.81954629493836	0.61354087819093
23052	ENDOD1	1	ILMN_1699022	All 146 GSE72810 samples	146	6.63236950406164	0.328595152200951
5167	ENPP1	1	ILMN_1700888	All 146 GSE72810 samples	146	6.13188084734247	0.0960217389294761
114625	ERMAP	2	ILMN_1715013;ILMN_1785387	All 146 GSE72810 samples	146	6.25308598746575	0.234476270220418
2113	ETS1	2	ILMN_1687538;ILMN_2122103	All 146 GSE72810 samples	146	10.1036878549966	0.811215035636009
5393	EXOSC9	2	ILMN_1721713;ILMN_2312719	All 146 GSE72810 samples	146	6.70378295742808	0.231692846328606
63901	FAM111A	2	ILMN_1778845;ILMN_2410038	All 146 GSE72810 samples	146	8.21692426869863	0.418222233317479
355	FAS	2	ILMN_1808132;ILMN_2319077	All 146 GSE72810 samples	146	6.25456424475	0.239610827766415
2213	FCGR2B	3	ILMN_1660027;ILMN_1804174;ILMN_2382403	All 146 GSE72810 samples	146	6.29131785081735	0.189701686059676
2214	FCGR3A	2	ILMN_1703679;ILMN_2112580	All 146 GSE72810 samples	146	6.78744175487671	0.476227997848041
2215	FCGR3B	2	ILMN_1728639;ILMN_2134453	All 146 GSE72810 samples	146	9.7521140512911	0.939849312422578
50943	FOXP3	1	ILMN_1768049	All 146 GSE72810 samples	146	5.90015888341096	0.147354743200051
2444	FRK	1	ILMN_1727605	All 146 GSE72810 samples	146	5.77476115694521	0.127998772042001
10146	G3BP1	2	ILMN_2344455;ILMN_2357809	All 146 GSE72810 samples	146	6.46525094839384	0.1794154483191
9908	G3BP2	4	ILMN_1720422;ILMN_1759622;ILMN_2381753;ILMN_2381758	All 146 GSE72810 samples	146	7.02900912178254	0.190170898978177
2625	GATA3	1	ILMN_2406656	All 146 GSE72810 samples	146	6.22840007293836	0.154545728128182
2633	GBP1	2	ILMN_1701114;ILMN_2148785	All 146 GSE72810 samples	146	8.48392970448288	1.3291888917828
2635	GBP3	1	ILMN_1725314	All 146 GSE72810 samples	146	6.20408645980822	0.151677918913247
1880	GPR183	2	ILMN_1798706;ILMN_2168217	All 146 GSE72810 samples	146	7.58226158791096	0.601781193692454
51191	HERC5	1	ILMN_1729749	All 146 GSE72810 samples	146	10.0202211233767	1.71871940693554
23119	HIC2	1	ILMN_1652762	All 146 GSE72810 samples	146	6.51704603056164	0.157231127091612
29851	ICOS	1	ILMN_1669927	All 146 GSE72810 samples	146	7.23024718828082	0.627787196659302
23308	ICOSLG	1	ILMN_1675671	All 146 GSE72810 samples	146	6.19477618536301	0.132964957305575
3429	IFI27	1	ILMN_2058782	All 146 GSE72810 samples	146	10.7911372623288	2.72614870952157
3430	IFI35	1	ILMN_1745374	All 146 GSE72810 samples	146	9.78822636769178	1.09241578781206
10561	IFI44	1	ILMN_1760062	All 146 GSE72810 samples	146	9.06046147309589	1.76082520395362
10964	IFI44L	1	ILMN_1723912	All 146 GSE72810 samples	146	9.66868060043836	2.12891962422684
2537	IFI6	2	ILMN_1687384;ILMN_2347798	All 146 GSE72810 samples	146	10.7237190299829	1.28121582905088
64135	IFIH1	1	ILMN_1781373	All 146 GSE72810 samples	146	7.97883609533562	1.04342251983872
3434	IFIT1	2	ILMN_1699331;ILMN_1707695	All 146 GSE72810 samples	146	7.52652982777397	1.10971407252059
439996	IFIT1B	1	ILMN_1759155	All 146 GSE72810 samples	146	8.29610291456849	1.85422352764997
3433	IFIT2	1	ILMN_1739428	All 146 GSE72810 samples	146	10.3171785193014	1.73877422930899
3437	IFIT3	3	ILMN_1664543;ILMN_1701789;ILMN_2239754	All 146 GSE72810 samples	146	8.45765883593151	1.50115076930273
24138	IFIT5	1	ILMN_1696654	All 146 GSE72810 samples	146	6.74478334109589	0.534738684633067
10410	IFITM3	1	ILMN_1805750	All 146 GSE72810 samples	146	12.2551041544795	1.28542899014951
10643	IGF2BP3	1	ILMN_1807423	All 146 GSE72810 samples	146	7.26615223323288	0.7182568370828
3600	IL15	4	ILMN_1724181;ILMN_1785312;ILMN_2273053;ILMN_2369221	All 146 GSE72810 samples	146	6.23286917379452	0.149404405604049
3557	IL1RN	3	ILMN_1689734;ILMN_1774874;ILMN_1806249	All 146 GSE72810 samples	146	7.92770298476027	0.706487506909173
246778	IL27	1	ILMN_1753758	All 146 GSE72810 samples	146	6.13488797965069	0.330949900564156
3559	IL2RA	2	ILMN_1683774;ILMN_2108699	All 146 GSE72810 samples	146	6.06029635628082	0.12720762438294
3575	IL7R	2	ILMN_1691341;ILMN_2342579	All 146 GSE72810 samples	146	10.1744310388527	0.951500367689337
10527	IPO7	1	ILMN_1652378	All 146 GSE72810 samples	146	6.10329192705479	0.12496544375545
3665	IRF7	3	ILMN_1674646;ILMN_1798181;ILMN_2349061	All 146 GSE72810 samples	146	8.24832384690639	0.849301180579955
10379	IRF9	1	ILMN_1745471	All 146 GSE72810 samples	146	10.575692482774	0.604184116721942
9636	ISG15	1	ILMN_2054019	All 146 GSE72810 samples	146	9.18550530482877	1.79927686551104
3669	ISG20	1	ILMN_1659913	All 146 GSE72810 samples	146	11.3561145184452	0.774332087721877
84502	JPH4	1	ILMN_1758829	All 146 GSE72810 samples	146	5.87541874008904	0.129415369554034
3802	KIR2DL1	2	ILMN_1678882;ILMN_1786810	All 146 GSE72810 samples	146	6.33656873238014	0.321441627778077
3806	KIR2DS1	2	ILMN_1722506;ILMN_2166812	All 146 GSE72810 samples	146	5.88818486783219	0.0841541913202073
3810	KIR2DS5	1	ILMN_1691803	All 146 GSE72810 samples	146	6.31857183660959	0.26015869458692
3811	KIR3DL1	2	ILMN_1733245;ILMN_2131828	All 146 GSE72810 samples	146	6.33831391552055	0.25557099669173
10219	KLRG1	2	ILMN_1658399;ILMN_2124920	All 146 GSE72810 samples	146	6.76880199384932	0.377987375794374
54900	LAX1	1	ILMN_1769782	All 146 GSE72810 samples	146	7.55988716847945	0.580740532575085
3976	LIF	1	ILMN_1738725	All 146 GSE72810 samples	146	5.83249673589041	0.142138507929958
23547	LILRA4	1	ILMN_1702385	All 146 GSE72810 samples	146	6.00817681553425	0.16427113815853
4063	LY9	3	ILMN_1731928;ILMN_1756275;ILMN_1812278	All 146 GSE72810 samples	146	6.76422173541553	0.331076215612819
10892	MALT1	2	ILMN_1730986;ILMN_2387791	All 146 GSE72810 samples	146	6.30837693559589	0.18308208920604
55016	MARCHF1	2	ILMN_1681101;ILMN_2094942	All 146 GSE72810 samples	146	6.39089612308904	0.234997892155232
9782	MATR3	4	ILMN_1660179;ILMN_1815107;ILMN_2296369;ILMN_2411076	All 146 GSE72810 samples	146	6.81069519331336	0.227802463383914
255231	MCOLN2	1	ILMN_1660462	All 146 GSE72810 samples	146	6.79392975891781	0.455158630813058
4191	MDH2	1	ILMN_2079004	All 146 GSE72810 samples	146	11.100425829589	0.337044480217233
4210	MEFV	2	ILMN_1804738;ILMN_2115752	All 146 GSE72810 samples	146	7.10202683333562	0.534492588373188
9258	MFHAS1	1	ILMN_1745686	All 146 GSE72810 samples	146	6.97987485512329	0.368025706821601
11043	MID2	3	ILMN_1760180;ILMN_2264597;ILMN_2382648	All 146 GSE72810 samples	146	5.98197286084247	0.0828813014506125
