analysis_id	analysis_role	scoring_representation	z_reference_population	bacterial_categories	viral_categories	bacterial_n	viral_n	representative_probe_reselection	module_reselection	gene_reweighting	module_renaming	direction_flipping	diagnostic_model_training
main_representative_all146_z_definite	primary	representative_probe_all146_z	All 146 GSE72810 samples	Definite Bacterial	Definite Viral	23	28	Not permitted	Not permitted	Not permitted	Not permitted	Not permitted	Not permitted
primary_only_representative_51_z_definite	z_reference_sensitivity	representative_probe_primary51_z	51 definite bacterial and viral samples	Definite Bacterial	Definite Viral	23	28	Not permitted	Not permitted	Not permitted	Not permitted	Not permitted	Not permitted
expanded_representative_all146_z_definite_probable	expanded_case_definition_sensitivity	representative_probe_all146_z	All 146 GSE72810 samples	Definite Bacterial;Probable Bacterial	Definite Viral;Probable Viral	40	35	Not permitted	Not permitted	Not permitted	Not permitted	Not permitted	Not permitted
all_probe_mean_all146_z_definite	probe_collapse_sensitivity	all_authorized_probe_mean_all146_z	All 146 GSE72810 samples	Definite Bacterial	Definite Viral	23	28	Not permitted	Not permitted	Not permitted	Not permitted	Not permitted	Not permitted
