requested_entrez	requested_symbol	selected_probe_id	candidate_probe_count	reference_population	reference_n	reference_mean	reference_sd
57007	ACKR3	ILMN_1798360	2	51 definite bacterial and viral samples	51	6.42192514511765	0.300144706601188
59	ACTA2	ILMN_1671703	1	51 definite bacterial and viral samples	51	7.81328135507843	0.668545901302061
575	ADGRB1	ILMN_1729529	4	51 definite bacterial and viral samples	51	5.96274308127451	0.145028780104305
326	AIRE	ILMN_2261519	3	51 definite bacterial and viral samples	51	11.940977815098	0.326600096911135
9582	APOBEC3B	ILMN_2219466	1	51 definite bacterial and viral samples	51	6.2226429724902	0.298001659547087
200316	APOBEC3F	ILMN_2296950	4	51 definite bacterial and viral samples	51	7.31653760252941	0.403561349625268
164668	APOBEC3H	ILMN_1664828	1	51 definite bacterial and viral samples	51	6.42887873380392	0.357295809032481
481	ATP1B1	ILMN_2407824	3	51 definite bacterial and viral samples	51	6.26445113366667	0.137534976939995
498	ATP5F1A	ILMN_1764494	2	51 definite bacterial and viral samples	51	11.2594261566667	0.391491171923044
521	ATP5ME	ILMN_1726603	3	51 definite bacterial and viral samples	51	10.242056103	0.707886157249088
9551	ATP5MF	ILMN_2310621	2	51 definite bacterial and viral samples	51	9.59055239464706	0.475937098850945
558	AXL	ILMN_2364521	2	51 definite bacterial and viral samples	51	6.10943173921569	0.29080588447626
64343	AZI2	ILMN_1733680	1	51 definite bacterial and viral samples	51	6.85912219341177	0.353852956273252
596	BCL2	ILMN_2246956	4	51 definite bacterial and viral samples	51	7.69478034101961	0.689024577595646
640	BLK	ILMN_1668277	1	51 definite bacterial and viral samples	51	7.85950676394118	0.665644735548937
654	BMP6	ILMN_1747650	1	51 definite bacterial and viral samples	51	6.3749343182549	0.30562618276744
657	BMPR1A	ILMN_1706957	2	51 definite bacterial and viral samples	51	6.0666027654902	0.063894036642663
665	BNIP3L	ILMN_1718961	2	51 definite bacterial and viral samples	51	8.76296123121569	1.14141817227934
11120	BTN2A1	ILMN_2364852	2	51 definite bacterial and viral samples	51	8.37512210143137	0.579278259821631
10385	BTN2A2	ILMN_1752758	2	51 definite bacterial and viral samples	51	6.24584108778431	0.0964513206293849
54718	BTN2A3P	ILMN_1721813	1	51 definite bacterial and viral samples	51	5.83068510211765	0.114718874212704
11119	BTN3A1	ILMN_1802708	2	51 definite bacterial and viral samples	51	8.02148984233333	0.647416157951891
717	C2	ILMN_1710740	1	51 definite bacterial and viral samples	51	6.32209950617647	0.306662445195073
64170	CARD9	ILMN_1712532	1	51 definite bacterial and viral samples	51	7.47164838217647	0.453967201786394
841	CASP8	ILMN_1673757	5	51 definite bacterial and viral samples	51	6.4602698894902	0.238687108943592
847	CAT	ILMN_1651705	2	51 definite bacterial and viral samples	51	9.14353065980392	0.737048320001056
868	CBLB	ILMN_1685580	1	51 definite bacterial and viral samples	51	8.15866112594118	0.6840967332553
56477	CCL28	ILMN_1774087	3	51 definite bacterial and viral samples	51	6.17113884207843	0.110231877634052
6355	CCL8	ILMN_1772964	1	51 definite bacterial and viral samples	51	6.64372844347059	1.26680045545746
1230	CCR1	ILMN_1678833	1	51 definite bacterial and viral samples	51	8.63821017421569	0.744476599722414
1232	CCR3	ILMN_1763322	2	51 definite bacterial and viral samples	51	6.84489460292157	0.779862951405147
1233	CCR4	ILMN_2086143	1	51 definite bacterial and viral samples	51	5.92442544533333	0.169200509191316
1234	CCR5	ILMN_2145033	2	51 definite bacterial and viral samples	51	5.97076580556863	0.156945600662906
1235	CCR6	ILMN_2387696	3	51 definite bacterial and viral samples	51	13.0810656888235	0.243820985957341
1236	CCR7	ILMN_1715131	1	51 definite bacterial and viral samples	51	10.1345133175294	1.02101616539583
10803	CCR9	ILMN_2337386	2	51 definite bacterial and viral samples	51	6.14585113035294	0.268989783434414
11126	CD160	ILMN_1742001	1	51 definite bacterial and viral samples	51	6.2793680647451	0.292112308682129
8763	CD164	ILMN_1783852	1	51 definite bacterial and viral samples	51	6.53036159713726	0.263597547118667
912	CD1D	ILMN_1719433	2	51 definite bacterial and viral samples	51	7.81334034247059	0.707864392430664
958	CD40	ILMN_1779257	2	51 definite bacterial and viral samples	51	6.54038947264706	0.300467924388678
941	CD80	ILMN_1716736	1	51 definite bacterial and viral samples	51	5.92592305784314	0.1493813021026
10225	CD96	ILMN_2415786	2	51 definite bacterial and viral samples	51	8.10570450956863	0.874446258640459
1021	CDK6	ILMN_1802615	1	51 definite bacterial and viral samples	51	7.20989434394118	0.505792151279205
10462	CLEC10A	ILMN_2415303	3	51 definite bacterial and viral samples	51	6.17240121945098	0.194496427241392
1240	CMKLR1	ILMN_1673030	1	51 definite bacterial and viral samples	51	6.2214656435098	0.296334206783857
1380	CR2	ILMN_2369666	3	51 definite bacterial and viral samples	51	6.34282273329412	0.261964685522094
58487	CREBZF	ILMN_1784847	1	51 definite bacterial and viral samples	51	6.21662219296078	0.141041984935936
1435	CSF1	ILMN_1733402	3	51 definite bacterial and viral samples	51	5.90433770807843	0.126293601775844
