requested_entrez	requested_symbol	selected_probe_id	candidate_probe_count	reference_population	reference_n	reference_mean	reference_sd
57007	ACKR3	ILMN_1798360	2	All 146 GSE72810 samples	146	6.43301516713014	0.278312020725267
59	ACTA2	ILMN_1671703	1	All 146 GSE72810 samples	146	7.8376118709589	0.777914645617953
575	ADGRB1	ILMN_1729529	4	All 146 GSE72810 samples	146	5.97631615760274	0.13982460544434
326	AIRE	ILMN_2261519	3	All 146 GSE72810 samples	146	11.9835745270548	0.385459885852451
9582	APOBEC3B	ILMN_2219466	1	All 146 GSE72810 samples	146	6.14649124817123	0.281969742780409
200316	APOBEC3F	ILMN_2296950	4	All 146 GSE72810 samples	146	7.30479982407534	0.429846652315016
164668	APOBEC3H	ILMN_1664828	1	All 146 GSE72810 samples	146	6.33830235956849	0.313962306824867
481	ATP1B1	ILMN_2407824	3	All 146 GSE72810 samples	146	6.25465086671918	0.144570640053123
498	ATP5F1A	ILMN_1764494	2	All 146 GSE72810 samples	146	11.2271065141096	0.382020322817413
521	ATP5ME	ILMN_1726603	3	All 146 GSE72810 samples	146	10.0271742969384	0.735740242059253
9551	ATP5MF	ILMN_2310621	2	All 146 GSE72810 samples	146	9.4770770764863	0.440643137139532
558	AXL	ILMN_2364521	2	All 146 GSE72810 samples	146	6.03663328828082	0.263793426737197
64343	AZI2	ILMN_1733680	1	All 146 GSE72810 samples	146	6.75400669830822	0.357857475673752
596	BCL2	ILMN_2246956	4	All 146 GSE72810 samples	146	7.76421646059589	0.6184258329129
640	BLK	ILMN_1668277	1	All 146 GSE72810 samples	146	8.00989971618493	0.674042581316441
654	BMP6	ILMN_1747650	1	All 146 GSE72810 samples	146	6.38681309345206	0.300883894260552
657	BMPR1A	ILMN_1706957	2	All 146 GSE72810 samples	146	6.08121790633562	0.0759378397502157
665	BNIP3L	ILMN_1718961	2	All 146 GSE72810 samples	146	8.94721962695891	1.30213676473138
11120	BTN2A1	ILMN_2364852	2	All 146 GSE72810 samples	146	8.41307286623288	0.560926426370188
10385	BTN2A2	ILMN_1752758	2	All 146 GSE72810 samples	146	6.25813356492466	0.111537327385871
54718	BTN2A3P	ILMN_1721813	1	All 146 GSE72810 samples	146	5.80923574770548	0.115766356349582
11119	BTN3A1	ILMN_1802708	2	All 146 GSE72810 samples	146	8.14189685015069	0.625989434093106
717	C2	ILMN_1710740	1	All 146 GSE72810 samples	146	6.28631382688356	0.268040534353127
64170	CARD9	ILMN_1712532	1	All 146 GSE72810 samples	146	7.50884254116438	0.439799107324059
841	CASP8	ILMN_1673757	5	All 146 GSE72810 samples	146	6.50233340943151	0.285930814839273
847	CAT	ILMN_1651705	2	All 146 GSE72810 samples	146	9.20831012007534	0.684447109368754
868	CBLB	ILMN_1685580	1	All 146 GSE72810 samples	146	8.20326484628082	0.641260220920514
56477	CCL28	ILMN_1774087	3	All 146 GSE72810 samples	146	6.20208450665753	0.117647643787368
6355	CCL8	ILMN_1772964	1	All 146 GSE72810 samples	146	6.49136821865069	1.12081936006417
1230	CCR1	ILMN_1678833	1	All 146 GSE72810 samples	146	8.51279156520548	0.830345990588826
1232	CCR3	ILMN_1763322	2	All 146 GSE72810 samples	146	7.02284654985617	0.791848520566098
1233	CCR4	ILMN_2086143	1	All 146 GSE72810 samples	146	5.93611188350685	0.163535783825483
1234	CCR5	ILMN_2145033	2	All 146 GSE72810 samples	146	5.99365195691781	0.135333024562141
1235	CCR6	ILMN_2387696	3	All 146 GSE72810 samples	146	13.1129131602055	0.275041098031909
1236	CCR7	ILMN_1715131	1	All 146 GSE72810 samples	146	10.1619044489178	0.912246894446242
10803	CCR9	ILMN_2337386	2	All 146 GSE72810 samples	146	6.12146288900685	0.213673438678042
11126	CD160	ILMN_1742001	1	All 146 GSE72810 samples	146	6.32724193939726	0.383419947109503
8763	CD164	ILMN_1783852	1	All 146 GSE72810 samples	146	6.49293741810274	0.258610173441181
912	CD1D	ILMN_1719433	2	All 146 GSE72810 samples	146	7.85834808134247	0.604150536951101
958	CD40	ILMN_1779257	2	All 146 GSE72810 samples	146	6.50874886376712	0.321411736252833
941	CD80	ILMN_1716736	1	All 146 GSE72810 samples	146	5.94391638138356	0.141066274701504
10225	CD96	ILMN_2415786	2	All 146 GSE72810 samples	146	8.21057127519178	0.744282330974423
1021	CDK6	ILMN_1802615	1	All 146 GSE72810 samples	146	7.21603165808904	0.451990765747573
10462	CLEC10A	ILMN_2415303	3	All 146 GSE72810 samples	146	6.2011807759726	0.223100844759152
1240	CMKLR1	ILMN_1673030	1	All 146 GSE72810 samples	146	6.2103209994589	0.272903430710194
1380	CR2	ILMN_2369666	3	All 146 GSE72810 samples	146	6.36182000204795	0.241831577266928
58487	CREBZF	ILMN_1784847	1	All 146 GSE72810 samples	146	6.22534161500685	0.149164805354881
1435	CSF1	ILMN_1733402	3	All 146 GSE72810 samples	146	5.91443921265753	0.129704243316599
1514	CTSL	ILMN_1812995	3	All 146 GSE72810 samples	146	7.49180048452055	0.806857442135152
643	CXCR5	ILMN_2337928	3	All 146 GSE72810 samples	146	8.07759876315068	0.754104007454907
57105	CYSLTR2	ILMN_1773204	1	All 146 GSE72810 samples	146	5.89617682941096	0.142592007735126
10521	DDX17	ILMN_2371590	3	All 146 GSE72810 samples	146	9.32379185328082	0.534352367377529
9188	DDX21	ILMN_1735461	1	All 146 GSE72810 samples	146	7.99404112120548	0.461598607817612
1654	DDX3X	ILMN_1794392	2	All 146 GSE72810 samples	146	9.34037866027397	0.532995544456306
55601	DDX60	ILMN_1795181	1	All 146 GSE72810 samples	146	7.26887634077397	0.835051151742947
1672	DEFB1	ILMN_1686573	1	All 146 GSE72810 samples	146	6.13380502176712	0.602735839585023
79132	DHX58	ILMN_1678422	1	All 146 GSE72810 samples	146	7.28206635492466	0.932260492677946
151636	DTX3L	ILMN_1784380	1	All 146 GSE72810 samples	146	6.48564149389041	0.343581249650892
5610	EIF2AK2	ILMN_1706502	1	All 146 GSE72810 samples	146	10.1747712692466	1.05505766755381
1979	EIF4EBP2	ILMN_1728083	1	All 146 GSE72810 samples	146	8.24339392005479	0.38069934496724
